slope_cog	slope_emo	sum_emo	max_emo	sum_cog	slope_age	homecog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.3)	(0.0, 0.56)						('slope_cog', 'slope_emo', 'slope_cog')	94.92	-inf	0.27	0.27	[0.        0.6515405]	-1.2392013994882283	315.27908394378284	357.2363839285714	0.7104816380395893	2	1	-87.38921941463657	481.6463720417846	315.27908394378284	224
(0.0, 0.29)		(0.0, 0.53)					('sum_emo', 'slope_cog')	94.69	85.39008928571431	0.28	0.28	[0.         0.64131011]	-1.1573809571549933	325.52948025425496	367.0723144104804	0.7034693135046922	2	1	-91.41384830404877	492.2201168298163	325.52948025425496	229
(0.0, 0.29)			(0.0, 0.61)				('max_emo', 'slope_cog')	92.7	68.31444705882355	0.25	0.25	[0.         0.60279647]	-0.9079003192466306	284.6672786536683	316.9323076923077	0.7306775860707785	2	1	-75.94193501224994	444.5182550158532	284.6672786536683	208
(0.0, 0.31)		(0.0, 0.53)		(0.0, 0.41)			('sum_emo', 'sum_cog', 'slope_cog')	89.81	61.8149842413793	0.29	0.29	[0.         0.64973438]	-1.1888650293762022	353.598494062952	398.9795780590718	0.670251723294405	2	1	-105.7602778694387	516.5133785790023	353.598494062952	237
(0.0, 0.31)		(0.0, 0.53)					('sum_emo', 'slope_cog', 'slope_cog')	89.81	45.741317842862074	0.29	0.29	[0.         0.64973438]	-1.1888650293762022	353.598494062952	398.9795780590718	0.670251723294405	2	1	-105.7602778694387	516.5133785790023	353.598494062952	237
(0.0, 0.31)	(0.0, 0.56)			(0.0, 0.45)			('sum_cog', 'slope_emo', 'slope_cog')	89.87	38.37240641371501	0.28	0.28	[0.       0.658302]	-1.258027474598316	343.4572451445753	389.1489655172413	0.6754843675006524	2	1	-101.91293598336365	505.9396337909707	343.4572451445753	232
		(0.0, 0.53)		(0.0, 0.41)			('sum_emo', 'sum_cog')	78.67	51.42775283921052	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1	-217.24473047524754	787.1362199809406	627.457913192301	347
			(0.0, 0.61)	(0.0, 0.28)			('max_emo', 'sum_cog')	94.29	76.8413873684211	0.23	0.23	[0.         0.56578853]	-0.6947032094055627	264.70727856212744	290.21484536082477	0.7328850232369706	2	1	-70.82440707356737	430.3703484789021	264.70727856212744	194
			(0.0, 0.61)		(0.0, 0.85)		('max_emo', 'slope_age')	77.36	56.412229210810814	0.37	0.37	[0.         0.55493368]	-0.35447086446640563	644.6564693712402	690.8575487465181	0.5568857477691139	2	1	-221.9235146830104	799.6750387145196	644.6564693712402	359
			(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)	('max_emo', 'slope_age', 'homecog')	75.73	42.72253696636293	0.29	0.29	[0.         0.55268889]	-0.394454240705127	500.2387773654085	538.0477739726027	0.5837212411598057	2	1	-168.5463747769296	648.3518432530349	500.2387773654085	292
