slope_emo	slope_age	max_emo	max_age	sum_age	slope_cog	sum_emo	sum_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.54)	(0.0, 0.83)							('slope_emo', 'slope_emo', 'slope_age')	-2.1	-inf	0.38	0.38	[0.         0.56320001]	-0.3967231502731816	660.0791272292707	710.1697560975609	0.5590238878616021	2	1		810.6938166746356	660.0791272292707	369
(0.0, 0.54)	(0.0, 0.83)	(0.0, 0.61)						('max_emo', 'slope_emo', 'slope_age')	-2.18	-0.218	0.36	0.36	[0.         0.54455864]	-0.26748671715957384	618.6264074397026	661.6887209302325	0.5560706686022446	2	1		759.8177087321376	618.6264074397026	344
(0.0, 0.54)			(0.0, 0.63)					('slope_emo', 'slope_emo', 'max_age')	-2.37	-0.03904532374100719	0.34	0.34	[0.         0.62638627]	-0.8214181643281946	581.7586237427698	632.3827884615386	0.5363048990881033	2	1		709.8650932430911	581.7586237427698	312
(0.0, 0.56)				(0.0, 0.67)	(0.0, 0.33)			('sum_age', 'slope_emo', 'slope_cog')	-2.34	-0.022588513761467886	0.27	0.27	[0.         0.75570287]	-1.9669135724404372	314.6512941294774	369.76075471698107	0.6737617291119836	2	1		474.8256832454689	314.6512941294774	212
(0.0, 0.51)					(0.0, 0.33)	(0.0, 0.53)		('sum_emo', 'slope_emo', 'slope_cog')	-2.29	-0.04324869464285717	0.28	0.28	[0.         0.67319802]	-1.3641978920678874	338.55745133431935	385.2006222222222	0.6645843980489343	2	1		498.1051762048062	338.55745133431935	225
(0.0, 0.56)					(0.0, 0.31)		(0.0, 0.45)	('sum_cog', 'slope_emo', 'slope_cog')	-2.21	-0.023505908947368398	0.28	0.28	[0.       0.658302]	-1.258027474598316	343.4572451445753	389.1489655172413	0.6754843675006524	2	1		505.9396337909707	343.4572451445753	232
(0.0, 0.56)					(0.0, 0.3)			('slope_cog', 'slope_emo', 'slope_cog')	-2.15	-0.0023699215454545466	0.27	0.27	[0.        0.6515405]	-1.2392013994882283	315.27908394378284	357.2363839285714	0.7104816380395893	2	1		481.6463720417846	315.27908394378284	224
(0.0, 0.54)							(0.0, 0.26)	('slope_emo', 'slope_emo', 'sum_cog')	-2.39	-0.0003334472063829788	0.23	0.23	[0.         0.68506145]	-1.4949917265846149	266.78814763905814	303.5642328042329	0.7084272733723578	2	1		421.5174348986437	266.78814763905814	189
(0.0, 0.56)					(0.0, 0.57)		(0.0, 0.29)	('slope_cog', 'slope_emo', 'sum_cog')	-2.36	-0.00032576559783783766	0.27	0.27	[0.         0.54507341]	-0.434287298004822	369.27625479312087	400.89236051502155	0.6309639381782977	2	1		520.1507741359595	369.27625479312087	233
	(0.0, 0.51)							('slope_age',)	-2.65	-0.004520588235294118	0.25	0.25	[0.         0.84518889]	-2.5047309978334003	298.99505501268027	357.41494736842094	0.63546201455386	2	1		419.3710356017265	298.99505501268027	190
