slope_emo	slope_age	slope_cog	sum_emo	max_emo	momage	sum_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.54)	(0.0, 0.83)						('slope_emo', 'slope_emo', 'slope_age')	-2.1	-inf	0.38	0.38	[0.         0.56320001]	-0.3967231502731816	660.0791272292707	710.1697560975609	0.5590238878616021	2	1		810.6938166746356	660.0791272292707	369
(0.0, 0.62)		(0.0, 0.3)					('slope_emo', 'slope_cog')	-2.11	-1.9085045045045055	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1		485.31207468969035	316.28906064363275	227
(0.0, 0.56)		(0.0, 0.3)					('slope_cog', 'slope_emo', 'slope_cog')	-2.15	-1.573682727272727	0.27	0.27	[0.        0.6515405]	-1.2392013994882283	315.27908394378284	357.2363839285714	0.7104816380395893	2	1		481.6463720417846	315.27908394378284	224
(0.0, 0.62)		(0.0, 0.3)			(21.0, 27.0)		('slope_emo', 'slope_cog', 'momage')	-2.22	-1.3300620847826092	0.23	0.23	[0.         0.67380548]	-1.4265713484696945	247.71211564968326	286.7580952380952	0.7629824625424683	2	1		400.4213722599157	247.71211564968326	189
		(0.0, 0.29)	(0.0, 0.53)				('sum_emo', 'slope_cog')	-2.14	-1.7456285714285722	0.28	0.28	[0.         0.64131011]	-1.1573809571549933	325.52948025425496	367.0723144104804	0.7034693135046922	2	1		492.2201168298163	325.52948025425496	229
		(0.0, 0.29)		(0.0, 0.61)			('max_emo', 'slope_cog')	-2.18	-1.4398194705882352	0.25	0.25	[0.         0.60279647]	-0.9079003192466306	284.6672786536683	316.9323076923077	0.7306775860707785	2	1		444.5182550158532	284.6672786536683	208
		(0.0, 0.29)		(0.0, 0.61)	(21.0, 27.0)		('max_emo', 'slope_cog', 'momage')	-2.26	-1.2090811489411766	0.21	0.21	[0.         0.61997811]	-1.06259043228666	220.22293154907888	249.2713218390805	0.7901084540835946	2	1		365.6337913428724	220.22293154907888	174
		(0.0, 0.29)	(0.0, 0.53)		(21.0, 27.0)		('sum_emo', 'slope_cog', 'momage')	-2.26	-1.1168845128387095	0.23	0.23	[0.         0.66272677]	-1.3370687109516877	257.13174340142234	295.0597905759162	0.7428098820993079	2	1		407.3294144000415	257.13174340142234	191
				(0.0, 0.61)	(21.0, 27.0)	(0.0, 0.28)	('max_emo', 'sum_cog', 'momage')	-2.31	-1.0285536388050003	0.2	0.2	[0.         0.58196494]	-0.8409494895645389	204.93431188256406	227.68798780487808	0.8002564260394758	2	1		356.261634631433	204.93431188256406	164
				(0.0, 0.61)		(0.0, 0.28)	('max_emo', 'sum_cog')	-2.27	-0.9792487221612635	0.23	0.23	[0.         0.56578853]	-0.6947032094055627	264.70727856212744	290.21484536082477	0.7328850232369706	2	1		430.3703484789021	264.70727856212744	194
