sum_emo	sum_cog	slope_age	max_age	sum_age	min_emo	homeemo	max_emo	max_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.32)	(0.0, 0.28)								('sum_emo', 'sum_cog')	0.79	-inf	0.19	0.19	[0.         0.54388754]	-0.6487473143693778	213.43391668806035	230.26359712230223	0.6512554431691022	2	1		360.9555771840501	213.43391668806035	139
(0.71, 1.0)									('sum_emo',)	0.37	0.2291153846153846	0.26	0.26	[0.         0.50408064]	1.054966328952712	1060.8345203779966	1103.1183653846156	0.3921441016566569	2	1		1128.0794493082312	1060.8345203779966	416
	(0.0, 0.25)				(0.0, 0.74)	(9.0, 11.0)			('sum_cog', 'min_emo', 'homeemo')	0.7	0.1288	0.07	0.07	[ 0.         -0.12657274]	3.781243183169958	134.8641824843553	135.25072463768117	0.5116258351842545	2	1		219.07405700136658	134.8641824843553	69
	(0.0, 0.45)			(0.0, 0.6)					('sum_cog', 'sum_age')	0.67	0.008247171052631579	0.38	0.38	[0.         0.61071468]	-0.6978489773362293	717.8495642561631	773.5811077844312	0.4652785439050747	2	1		845.0764872559994	717.8495642561631	334
		(0.9, 1.0)							('slope_age',)	0.52	0.52	0.21	0.21	[0.         0.60708181]	0.43556019128057333	869.1943815594539	913.9344411764706	0.3911668174729724	2	1		952.6861656319213	869.1943815594539	340
		(0.0, 0.83)					(0.0, 0.53)		('slope_age', 'max_emo')	0.65	0.12076635514018691	0.26	0.26	[0.         0.39008077]	0.7341135614060659	478.94499526383066	494.20807086614155	0.5303322980963233	2	1		603.9608781239384	478.94499526383066	254
			(0.0, 0.64)	(0.0, 0.61)					('max_age', 'sum_age')	0.68	0.37605369127516786	0.37	0.37	[0.         0.59146124]	-0.5886624357308197	666.8802744164811	716.2317664670659	0.5008395251940078	2	1		806.76293001379	666.8802744164811	334
				(0.0, 0.67)					('sum_age',)	0.43	0.08461708542713567	0.49	0.49	[0.         0.53011367]	0.03240860209638852	1132.2484613562676	1194.0442315369262	0.44248238535901874	2	1		1231.6233467466807	1132.2484613562676	501
				(0.67, 1.0)					('sum_age',)	0.21	0.06724077669902911	0.51	0.51	[0.         0.33209991]	2.125399131638443	2129.9010941077554	2162.5875728155347	0.38687242439545527	2	1		2198.338534477708	2129.9010941077554	824
								(0.67, 1.0)	('max_cog',)	0.23	0.006818173076923078	0.26	0.26	[0.        0.5646887]	0.5452893123986691	1007.5845473624928	1053.839298245614	0.3959965454456837	2	1		1048.9923837548508	1007.5845473624928	399
