sum_emo	sum_cog	max_age	sum_age	homecog	slope_age	max_emo	min_emo	homeemo	max_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.32)	(0.0, 0.28)									('sum_emo', 'sum_cog')	0.79	-inf	0.19	0.19	[0.         0.54388754]	-0.6487473143693778	213.43391668806035	230.26359712230223	0.6512554431691022	2	1		360.9555771840501	213.43391668806035	139
(0.71, 1.0)										('sum_emo',)	0.37	0.29173076923076924	0.26	0.26	[0.         0.50408064]	1.054966328952712	1060.8345203779966	1103.1183653846156	0.3921441016566569	2	1		1128.0794493082312	1060.8345203779966	416
(0.0, 0.53)	(0.0, 0.41)						(0.0, 0.74)			('sum_emo', 'sum_cog', 'min_emo')	0.69	0.1266796875	0.28	0.28	[0.        0.4169575]	0.5324738356367145	507.5876557626552	528.2544525547445	0.539808241767252	2	1		647.2621064281418	507.5876557626552	274
	(0.0, 0.45)		(0.0, 0.6)							('sum_cog', 'sum_age')	0.67	0.22425164473684214	0.38	0.38	[0.         0.61071468]	-0.6978489773362293	717.8495642561631	773.5811077844312	0.4652785439050747	2	1		845.0764872559994	717.8495642561631	334
	(0.0, 0.25)						(0.0, 0.74)	(9.0, 11.0)		('sum_cog', 'min_emo', 'homeemo')	0.7	0.16333333333333333	0.07	0.07	[ 0.         -0.12657274]	3.781243183169958	134.8641824843553	135.25072463768117	0.5116258351842545	2	1		219.07405700136658	134.8641824843553	69
		(0.0, 0.64)	(0.0, 0.61)	(1.0, 10.0)						('max_age', 'sum_age', 'homecog')	0.73	0.5232743362831859	0.28	0.28	[0.         0.65582354]	-1.1270952782451888	474.42158948357815	521.8292549019608	0.5374966183085702	2	1		616.4721869038088	474.42158948357815	255
			(0.67, 1.0)							('sum_age',)	0.21	0.09365898058252427	0.51	0.51	[0.         0.33209991]	2.125399131638443	2129.9010941077554	2162.5875728155347	0.38687242439545527	2	1		2198.338534477708	2129.9010941077554	824
					(0.9, 1.0)					('slope_age',)	0.52	0.52	0.21	0.21	[0.         0.60708181]	0.43556019128057333	869.1943815594539	913.9344411764706	0.3911668174729724	2	1		952.6861656319213	869.1943815594539	340
					(0.0, 0.85)	(0.0, 0.61)				('max_emo', 'slope_age')	0.65	0.35684121621621623	0.37	0.37	[0.         0.55493368]	-0.35447086446640563	644.6564693712402	690.8575487465181	0.5568857477691139	2	1		799.6750387145196	644.6564693712402	359
									(0.67, 1.0)	('max_cog',)	0.23	0.13103365384615384	0.26	0.26	[0.        0.5646887]	0.5452893123986691	1007.5845473624928	1053.839298245614	0.3959965454456837	2	1		1048.9923837548508	1007.5845473624928	399
