sum_emo	sum_cog	sum_age	max_age	max_emo	min_emo	homecog	slope_age	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.32)	(0.0, 0.28)							('sum_emo', 'sum_cog')	0.79	-inf	0.19	0.19	[0.         0.54388754]	-0.6487473143693778	213.43391668806035	230.26359712230223	0.6512554431691022	2	1		360.9555771840501	213.43391668806035	139
(0.0, 0.53)	(0.0, 0.41)							('sum_emo', 'sum_cog')	0.69	0.47664061500000005	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1		787.1362199809406	627.457913192301	347
	(0.0, 0.24)	(0.0, 0.6)						('sum_cog', 'sum_age', 'sum_cog')	0.78	0.7168101265822788	0.2	0.2	[0.         0.61860863]	-1.1370739254846436	226.02062374586058	250.87641891891897	0.6548075018428956	2	1		375.63133094942896	226.02062374586058	148
	(0.0, 0.38)	(0.0, 0.67)			(0.0, 0.77)			('sum_age', 'sum_cog', 'min_emo')	0.73	0.6018850000000001	0.28	0.28	[0.         0.39194973]	0.6959110202513004	514.054052200826	531.4014559386974	0.50772870845503	2	1		648.3949986420033	514.054052200826	261
	(0.0, 0.25)							('sum_cog',)	0.75	0.5119763636363637	0.24	0.24	[0.         0.45512383]	0.13337035183442403	340.4242974362659	357.83923809523816	0.6168772369701847	2	1		494.5774836348612	340.4242974362659	210
	(0.0, 0.45)	(0.0, 0.6)						('sum_cog', 'sum_age')	0.67	0.40114505760789476	0.38	0.38	[0.         0.61071468]	-0.6978489773362293	717.8495642561631	773.5811077844312	0.4652785439050747	2	1		845.0764872559994	717.8495642561631	334
		(0.0, 0.61)	(0.0, 0.64)	(0.0, 0.58)				('max_age', 'sum_age', 'max_emo')	0.75	0.6599336283185842	0.28	0.28	[0.         0.75576899]	-1.8336994371562776	425.07600084210947	481.5899159663865	0.55989987561872	2	1		571.9432009934243	425.07600084210947	238
		(0.0, 0.61)	(0.0, 0.64)			(1.0, 10.0)		('max_age', 'sum_age', 'homecog')	0.73	0.5585094336283186	0.28	0.28	[0.         0.65582354]	-1.1270952782451888	474.42158948357815	521.8292549019608	0.5374966183085702	2	1		616.4721869038088	474.42158948357815	255
		(0.0, 0.61)	(0.0, 0.64)		(0.0, 0.77)			('max_age', 'sum_age', 'min_emo')	0.71	0.4343283552920354	0.28	0.28	[0.         0.47061699]	0.18279482458889662	536.9815055707169	558.9016603773583	0.49349930537803466	2	1		665.6433320040011	536.9815055707169	265
							(0.9, 1.0)	('slope_age',)	0.52	0.5193953488372094	0.21	0.21	[0.         0.60708181]	0.43556019128057333	869.1943815594539	913.9344411764706	0.3911668174729724	2	1		952.6861656319213	869.1943815594539	340
