slope_emo	slope_cog	max_emo	slope_age	sum_age	sum_cog	max_age	sum_emo	homecog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.62)	(0.0, 0.3)								('slope_emo', 'slope_cog')	97.19	-inf	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1	-86.14728162990913	485.31207468969035	316.28906064363275	227
(0.0, 0.56)				(0.0, 0.67)					('sum_age', 'slope_emo')	68.23	1.456704094734694	0.36	0.36	[0.         0.62551067]	-0.8371047168110937	622.7848558761675	680.372990936556	0.5314837007947653	2	1	-220.82362637053416	765.3491003592288	622.7848558761675	331
	(0.0, 0.57)	(0.0, 0.63)							('slope_cog', 'max_emo')	68.27	6.354987549668872	0.37	0.37	[0.         0.56155693]	-0.36266070907865133	696.3537141411625	748.0173913043477	0.5284670599536722	2	1	-246.51729339633536	838.3018230912021	696.3537141411625	368
	(0.0, 0.57)				(0.0, 0.35)				('slope_cog', 'sum_cog')	62.03	3.01723978918919	0.37	0.37	[0.         0.56808205]	-0.39546458377759297	650.4812222654326	700.9398260869568	0.5303765707462971	2	1	-230.47505362515716	778.6205870151675	650.4812222654326	345
		(0.0, 0.61)	(0.0, 0.85)						('max_emo', 'slope_age')	77.36	31.257621621621624	0.37	0.37	[0.         0.55493368]	-0.35447086446640563	644.6564693712402	690.8575487465181	0.5568857477691139	2	1	-221.9235146830104	799.6750387145196	644.6564693712402	359
		(0.0, 0.65)	(0.0, 0.83)						('slope_age', 'max_emo')	68.18	4.9895585	0.41	0.41	[0.         0.54624046]	-0.22172992999759433	830.2373841181599	884.5624586288415	0.5094928367376413	2	1	-297.3403468575759	975.4473440771981	830.2373841181599	423
			(0.0, 0.83)				(0.0, 0.55)		('slope_age', 'sum_emo')	73.06	0.61944417808	0.41	0.41	[0.         0.54343567]	-0.23503761559869218	746.3127681635833	796.4377329974811	0.531948556872314	2	1	-262.55764385537714	897.1164629020183	746.3127681635833	397
				(0.0, 0.67)	(0.0, 0.38)				('sum_age', 'sum_cog')	63.15	11.044892617449666	0.37	0.37	[0.         0.51518959]	-0.06194756287137526	660.7168078871773	702.3941492537314	0.5070250915384673	2	1	-239.15851450819102	797.7734233639726	660.7168078871773	335
				(0.0, 0.61)		(0.0, 0.64)			('max_age', 'sum_age')	63.6	2.4390100590604016	0.37	0.37	[0.         0.59146124]	-0.5886624357308197	666.8802744164811	716.2317664670659	0.5008395251940078	2	1	-242.57310774513806	806.76293001379	666.8802744164811	334
					(0.0, 0.41)		(0.0, 0.53)	(1.0, 10.0)	('sum_emo', 'sum_cog', 'homecog')	72.25	0.3064548104107142	0.31	0.31	[0.         0.49329044]	0.028116985988201115	543.5425259564026	576.6096345514949	0.5537745174038933	2	1	-189.30452322730898	690.9903125783418	543.5425259564026	301
