slope_emo	slope_cog	max_emo	slope_age	sum_emo	sum_cog	max_age	sum_age	momage	homecog	min_emo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.62)	(0.0, 0.3)										('slope_emo', 'slope_cog')	97.19	-inf	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1	-86.14728162990913	485.31207468969035	316.28906064363275	227
	(0.0, 0.57)	(0.0, 0.63)									('slope_cog', 'max_emo')	68.27	16.72841059602649	0.37	0.37	[0.         0.56155693]	-0.36266070907865133	696.3537141411625	748.0173913043477	0.5284670599536722	2	1	-246.51729339633536	838.3018230912021	696.3537141411625	368
		(0.0, 0.61)	(0.0, 0.85)								('max_emo', 'slope_age')	77.36	51.74756756756757	0.37	0.37	[0.         0.55493368]	-0.35447086446640563	644.6564693712402	690.8575487465181	0.5568857477691139	2	1	-221.9235146830104	799.6750387145196	644.6564693712402	359
		(0.0, 0.61)	(0.0, 0.85)						(1.0, 10.0)		('max_emo', 'slope_age', 'homecog')	75.73	4.034377020474138	0.29	0.29	[0.         0.55268889]	-0.394454240705127	500.2387773654085	538.0477739726027	0.5837212411598057	2	1	-168.5463747769296	648.3518432530349	500.2387773654085	292
			(0.0, 0.83)	(0.0, 0.53)							('sum_emo', 'slope_age')	70.37	7.416713897515528	0.4	0.4	[0.         0.56060371]	-0.35580236842144686	724.5405910899124	776.1987434554975	0.5272306406261722	2	1	-256.4156031879362	871.0903460335323	724.5405910899124	382
				(0.0, 0.53)	(0.0, 0.41)						('sum_emo', 'sum_cog')	78.67	30.795164473684213	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1	-217.24473047524754	787.1362199809406	627.457913192301	347
				(0.0, 0.53)	(0.0, 0.41)				(1.0, 10.0)		('sum_emo', 'sum_cog', 'homecog')	72.25	3.205287388392857	0.31	0.31	[0.         0.49329044]	0.028116985988201115	543.5425259564026	576.6096345514949	0.5537745174038933	2	1	-189.30452322730898	690.9903125783418	543.5425259564026	301
					(0.0, 0.25)			(21.0, 27.0)			('sum_cog', 'momage')	72.11	6.02726656626506	0.2	0.2	[0.         0.43923213]	0.2141882282444203	278.2136985982802	291.6548876404494	0.6397959586347282	2	1	-89.85942942128881	417.1745532991878	278.2136985982802	178
					(0.0, 0.25)					(0.0, 0.74)	('sum_cog', 'min_emo')	64.69	2.4438752140410958	0.18	0.18	[0.]	3.163030303030303	284.30448484848483	284.30448484848483	0.5803636903158031	1	0	-94.88249822244926	407.964641860309	284.30448484848483	165
						(0.0, 0.64)	(0.0, 0.61)				('max_age', 'sum_age')	63.6	12.191778523489933	0.37	0.37	[0.         0.59146124]	-0.5886624357308197	666.8802744164811	716.2317664670659	0.5008395251940078	2	1	-242.57310774513806	806.76293001379	666.8802744164811	334
