slope_emo	slope_age	max_emo	min_age	momage	max_age	sum_age	slope_cog	sum_emo	sum_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.54)	(0.0, 0.83)									('slope_emo', 'slope_emo', 'slope_age')	-2.1	-inf	0.38	0.38	[0.         0.56320001]	-0.3967231502731816	660.0791272292707	710.1697560975609	0.5590238878616021	2	1		810.6938166746356	660.0791272292707	369
(0.0, 0.54)	(0.0, 0.83)	(0.0, 0.61)								('max_emo', 'slope_emo', 'slope_age')	-2.18	-0.218	0.36	0.36	[0.         0.54455864]	-0.26748671715957384	618.6264074397026	661.6887209302325	0.5560706686022446	2	1		759.8177087321376	618.6264074397026	344
(0.0, 0.54)	(0.0, 0.83)	(0.0, 0.61)	(0.29, 1.0)							('max_emo', 'slope_emo', 'slope_age', 'min_age')	-2.36	-0.02360000000000001	0.26	0.26	[0.         0.63820533]	-0.9666245311278381	401.580160390358	436.7339837398374	0.6125800631208337	2	1		508.78315740994003	401.580160390358	246
(0.0, 0.54)	(0.0, 0.83)	(0.0, 0.61)	(0.29, 1.0)	(22.0, 27.0)						('max_emo', 'slope_emo', 'slope_age', 'min_age', 'momage')	-2.49	-0.0024900000000000013	0.21	0.21	[0.         0.65555025]	-1.1056077769202126	319.61594062764203	348.0852912621358	0.6445235478414185	2	1		411.5433742820469	319.61594062764203	206
(0.0, 0.54)	(0.0, 0.83)		(0.29, 1.0)	(22.0, 27.0)						('slope_emo', 'slope_emo', 'slope_age', 'min_age', 'momage')	-2.39	-0.020559085106382977	0.23	0.23	[0.         0.69085745]	-1.366092983561075	351.26597900715115	386.11245535714284	0.6376934100852385	2	1		452.45757420898417	351.26597900715115	224
(0.0, 0.54)	(0.0, 0.83)		(0.29, 1.0)							('slope_emo', 'slope_emo', 'slope_age', 'min_age')	-2.23	-0.0076403230769230765	0.29	0.29	[0.         0.66248476]	-1.1406193396387736	442.5627095957046	483.96833948339486	0.6123425994195655	2	1		559.6592653524378	442.5627095957046	271
(0.0, 0.54)					(0.0, 0.63)					('slope_emo', 'slope_emo', 'max_age')	-2.37	-0.006988482086330938	0.34	0.34	[0.         0.62638627]	-0.8214181643281946	581.7586237427698	632.3827884615386	0.5363048990881033	2	1		709.8650932430911	581.7586237427698	312
(0.0, 0.56)						(0.0, 0.67)	(0.0, 0.33)			('sum_age', 'slope_emo', 'slope_cog')	-2.34	-0.02200408910091742	0.27	0.27	[0.         0.75570287]	-1.9669135724404372	314.6512941294774	369.76075471698107	0.6737617291119836	2	1		474.8256832454689	314.6512941294774	212
(0.0, 0.51)							(0.0, 0.33)	(0.0, 0.53)		('sum_emo', 'slope_emo', 'slope_cog')	-2.29	-0.04298858908214284	0.28	0.28	[0.         0.67319802]	-1.3641978920678874	338.55745133431935	385.2006222222222	0.6645843980489343	2	1		498.1051762048062	338.55745133431935	225
(0.0, 0.56)							(0.0, 0.31)		(0.0, 0.45)	('sum_cog', 'slope_emo', 'slope_cog')	-2.21	-0.02346186341473686	0.28	0.28	[0.       0.658302]	-1.258027474598316	343.4572451445753	389.1489655172413	0.6754843675006524	2	1		505.9396337909707	343.4572451445753	232
