slope_emo	slope_age	slope_cog	max_emo	momage	homeemo	min_age	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.54)	(0.0, 0.83)						('slope_emo', 'slope_emo', 'slope_age')	-2.1	-inf	0.38	0.38	[0.         0.56320001]	-0.3967231502731816	660.0791272292707	710.1697560975609	0.5590238878616021	2	1		810.6938166746356	660.0791272292707	369
(0.0, 0.62)		(0.0, 0.3)					('slope_emo', 'slope_cog')	-2.11	-1.1025225225225224	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1		485.31207468969035	316.28906064363275	227
(0.0, 0.56)		(0.0, 0.3)					('slope_cog', 'slope_emo', 'slope_cog')	-2.15	-0.5570454545454545	0.27	0.27	[0.        0.6515405]	-1.2392013994882283	315.27908394378284	357.2363839285714	0.7104816380395893	2	1		481.6463720417846	315.27908394378284	224
(0.0, 0.62)		(0.0, 0.3)		(21.0, 27.0)			('slope_emo', 'slope_cog', 'momage')	-2.22	-0.0897350543478261	0.23	0.23	[0.         0.67380548]	-1.4265713484696945	247.71211564968326	286.7580952380952	0.7629824625424683	2	1		400.4213722599157	247.71211564968326	189
(0.0, 0.62)	(0.26, 0.97)	(0.0, 0.3)		(22.0, 27.0)	(0.0, 11.0)		('slope_emo', 'slope_cog', 'slope_age', 'momage', 'homeemo')	-2.55	-0.047199519230769225	0.16	0.16	[0.         0.63279074]	-1.1077169763138892	193.03031910348344	220.62174496644292	0.771899464768129	2	1		303.89912745033257	193.03031910348344	149
(0.0, 0.62)	(0.26, 0.97)	(0.0, 0.3)		(22.0, 27.0)			('slope_emo', 'slope_cog', 'slope_age', 'momage')	-2.39	-0.03146083047945206	0.18	0.18	[0.         0.66996302]	-1.3430562233712648	213.4221928348065	247.6379393939394	0.7731154750514331	2	1		329.80095541960833	213.4221928348065	165
(0.0, 0.56)	(0.26, 0.97)	(0.0, 0.3)		(22.0, 27.0)			('slope_cog', 'slope_emo', 'slope_cog', 'slope_age', 'momage')	-2.45	-0.01581759982638889	0.18	0.18	[0.         0.67067193]	-1.3484578943161907	212.4139482122976	245.88944444444445	0.762661780751275	2	1		326.13525277170265	212.4139482122976	162
(0.0, 0.62)		(0.0, 0.3)				(0.0, 0.68)	('slope_emo', 'slope_cog', 'min_age')	-2.39	-0.02738916603915663	0.2	0.2	[0.         0.74492005]	-1.8318466884760332	233.58775570444806	267.4845977011495	0.7449020582232797	2	1		362.9208401514645	233.58775570444806	174
		(0.0, 0.29)	(0.0, 0.61)				('max_emo', 'slope_cog')	-2.18	-0.29120098039215686	0.25	0.25	[0.         0.60279647]	-0.9079003192466306	284.6672786536683	316.9323076923077	0.7306775860707785	2	1		444.5182550158532	284.6672786536683	208
		(0.0, 0.29)	(0.0, 0.61)	(21.0, 27.0)			('max_emo', 'slope_cog', 'momage')	-2.26	-0.1512205882352941	0.21	0.21	[0.         0.61997811]	-1.06259043228666	220.22293154907888	249.2713218390805	0.7901084540835946	2	1		365.6337913428724	220.22293154907888	174
