slope_emo	slope_age	slope_cog	sum_emo	sum_cog	max_emo	momage	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.54)	(0.0, 0.83)						('slope_emo', 'slope_emo', 'slope_age')	-2.1	-inf	0.38	0.38	[0.         0.56320001]	-0.3967231502731816	660.0791272292707	710.1697560975609	0.5590238878616021	2	1		810.6938166746356	660.0791272292707	369
(0.0, 0.62)		(0.0, 0.3)					('slope_emo', 'slope_cog')	-2.11	-1.9085045045045055	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1		485.31207468969035	316.28906064363275	227
(0.0, 0.56)		(0.0, 0.3)					('slope_cog', 'slope_emo', 'slope_cog')	-2.15	-1.573682727272727	0.27	0.27	[0.        0.6515405]	-1.2392013994882283	315.27908394378284	357.2363839285714	0.7104816380395893	2	1		481.6463720417846	315.27908394378284	224
(0.0, 0.54)		(0.0, 0.29)		(0.0, 0.4)			('slope_emo', 'slope_emo', 'sum_cog', 'slope_cog')	-2.15	-1.4163144545454542	0.27	0.27	[0.        0.6515405]	-1.2392013994882283	315.27908394378284	357.2363839285714	0.7104816380395893	2	1		481.6463720417846	315.27908394378284	224
(0.0, 0.62)		(0.0, 0.3)				(21.0, 27.0)	('slope_emo', 'slope_cog', 'momage')	-2.22	-1.198814985	0.23	0.23	[0.         0.67380548]	-1.4265713484696945	247.71211564968326	286.7580952380952	0.7629824625424683	2	1		400.4213722599157	247.71211564968326	189
(0.0, 0.56)		(0.0, 0.3)				(21.0, 27.0)	('slope_cog', 'slope_emo', 'slope_cog', 'momage')	-2.27	-0.9983714866120883	0.22	0.22	[0.         0.67603762]	-1.4435518979679944	246.68455485612492	285.1997849462367	0.7539993742554403	2	1		396.75566961200997	246.68455485612492	186
(0.0, 0.54)		(0.0, 0.29)		(0.0, 0.4)		(21.0, 27.0)	('slope_emo', 'slope_emo', 'sum_cog', 'slope_cog', 'momage')	-2.27	-0.8985343379508794	0.22	0.22	[0.         0.67603762]	-1.4435518979679944	246.68455485612492	285.1997849462367	0.7539993742554403	2	1		396.75566961200997	246.68455485612492	186
		(0.0, 0.29)	(0.0, 0.53)				('sum_emo', 'slope_cog')	-2.14	-1.7456285714285722	0.28	0.28	[0.         0.64131011]	-1.1573809571549933	325.52948025425496	367.0723144104804	0.7034693135046922	2	1		492.2201168298163	325.52948025425496	229
		(0.0, 0.29)			(0.0, 0.61)		('max_emo', 'slope_cog')	-2.18	-1.2975687000000007	0.25	0.25	[0.         0.60279647]	-0.9079003192466306	284.6672786536683	316.9323076923077	0.7306775860707785	2	1		444.5182550158532	284.6672786536683	208
		(0.0, 0.29)			(0.0, 0.61)	(21.0, 27.0)	('max_emo', 'slope_cog', 'momage')	-2.26	-1.0899174881647056	0.21	0.21	[0.         0.61997811]	-1.06259043228666	220.22293154907888	249.2713218390805	0.7901084540835946	2	1		365.6337913428724	220.22293154907888	174
