sum_emo	sum_cog	max_age	sum_age	min_emo	homeemo	slope_emo	max_emo	homecog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.32)	(0.0, 0.28)								('sum_emo', 'sum_cog')	0.79	-inf	0.19	0.19	[0.         0.54388754]	-0.6487473143693778	213.43391668806035	230.26359712230223	0.6512554431691022	2	1		360.9555771840501	213.43391668806035	139
(0.0, 0.53)	(0.0, 0.41)								('sum_emo', 'sum_cog')	0.69	0.3835855263157894	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1		787.1362199809406	627.457913192301	347
(0.0, 0.32)									('sum_emo',)	0.68	0.055710312871287124	0.25	0.25	[0.         0.63223593]	-0.9995465814780231	389.603250616034	426.69925581395347	0.5518434449919134	2	1		515.9318836177123	389.603250616034	215
(0.0, 0.53)			(0.0, 0.59)						('sum_emo', 'sum_age')	0.66	0.02545136914285714	0.38	0.38	[0.         0.66901785]	-1.0995718740300422	690.6637061502523	755.7434210526314	0.49517586772628047	2	1		825.6603320844157	690.6637061502523	342
	(0.0, 0.25)			(0.0, 0.74)	(9.0, 11.0)				('sum_cog', 'min_emo', 'homeemo')	0.7	0.11998	0.07	0.07	[ 0.         -0.12657274]	3.781243183169958	134.8641824843553	135.25072463768117	0.5116258351842545	2	1		219.07405700136658	134.8641824843553	69
	(0.0, 0.45)		(0.0, 0.6)						('sum_cog', 'sum_age')	0.67	0.0630249605263158	0.38	0.38	[0.         0.61071468]	-0.6978489773362293	717.8495642561631	773.5811077844312	0.4652785439050747	2	1		845.0764872559994	717.8495642561631	334
	(0.0, 0.38)		(0.0, 0.67)	(0.47, 0.77)				(2.0, 10.0)	('sum_age', 'sum_cog', 'min_emo', 'min_emo', 'homecog')	0.7	0.012779255164179102	0.17	0.17	[0.         0.28224914]	1.3767523360014666	322.5409993043694	328.10941558441556	0.4774586807014763	2	1		422.0215641377974	322.5409993043694	154
	(0.0, 0.25)			(0.0, 0.74)	(9.0, 11.0)				('sum_cog', 'min_emo', 'homeemo', 'homeemo', 'homeemo')	0.7	0.009566933320000002	0.07	0.07	[ 0.         -0.12657274]	3.781243183169958	134.8641824843553	135.25072463768117	0.5116258351842545	2	1		219.07405700136658	134.8641824843553	69
		(0.0, 0.64)	(0.0, 0.61)	(0.0, 0.77)					('max_age', 'sum_age', 'min_emo')	0.71	0.13546548672566372	0.28	0.28	[0.         0.47061699]	0.18279482458889662	536.9815055707169	558.9016603773583	0.49349930537803466	2	1		665.6433320040011	536.9815055707169	265
			(0.0, 0.67)		(6.0, 12.0)	(0.0, 0.56)	(0.0, 0.54)	(2.0, 10.0)	('sum_age', 'slope_emo', 'max_emo', 'homeemo', 'homecog')	0.72	0.037093061408450714	0.18	0.18	[0.         0.55921976]	-0.5568953376723704	307.75208757109317	328.53660493827164	0.5263977290245894	2	1		421.66906032432746	307.75208757109317	162
