max_emo	slope_age	max_age	sum_age	homecog	sum_emo	sum_cog	min_emo	homeemo	slope_emo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.54)	(0.0, 0.63)									('max_emo', 'slope_age', 'slope_age', 'max_emo')	0.82	-inf	0.21	0.21	[0.         0.70718995]	-1.6491098510965063	296.36944689747367	330.96514970059883	0.5634858847571158	2	1		437.3069557646055	296.36944689747367	167
(0.0, 0.61)					(0.0, 0.32)					('max_emo', 'sum_emo')	0.68	0.119	0.25	0.25	[0.         0.64034857]	-1.0652952922293029	380.7758170103758	418.71305164319244	0.5593842636130327	2	1		509.02384147758625	380.7758170103758	213
(0.0, 0.54)			(0.0, 0.67)	(1.0, 10.0)				(6.0, 12.0)	(0.0, 0.56)	('sum_age', 'slope_emo', 'max_emo', 'homecog', 'homeemo')	0.72	0.07621478873239437	0.18	0.18	[0.         0.55921976]	-0.5568953376723704	307.75208757109317	328.53660493827164	0.5263977290245894	2	1		421.66906032432746	307.75208757109317	162
		(0.0, 0.64)	(0.0, 0.61)	(1.0, 10.0)						('max_age', 'sum_age', 'homecog')	0.73	0.5200442477876106	0.28	0.28	[0.         0.65582354]	-1.1270952782451888	474.42158948357815	521.8292549019608	0.5374966183085702	2	1		616.4721869038088	474.42158948357815	255
		(0.0, 0.64)	(0.0, 0.61)							('max_age', 'sum_age')	0.68	0.17598993288590606	0.37	0.37	[0.         0.59146124]	-0.5886624357308197	666.8802744164811	716.2317664670659	0.5008395251940078	2	1		806.76293001379	666.8802744164811	334
		(0.0, 0.64)	(0.0, 0.61)				(0.0, 0.77)			('max_age', 'sum_age', 'min_emo')	0.71	0.04265694137168141	0.28	0.28	[0.         0.47061699]	0.18279482458889662	536.9815055707169	558.9016603773583	0.49349930537803466	2	1		665.6433320040011	536.9815055707169	265
			(0.0, 0.6)			(0.0, 0.45)				('sum_cog', 'sum_age')	0.67	0.09325452302631579	0.38	0.38	[0.         0.61071468]	-0.6978489773362293	717.8495642561631	773.5811077844312	0.4652785439050747	2	1		845.0764872559994	717.8495642561631	334
					(0.0, 0.53)	(0.0, 0.41)				('sum_emo', 'sum_cog')	0.69	0.34840460526315786	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1		787.1362199809406	627.457913192301	347
						(0.0, 0.25)	(0.0, 0.74)	(9.0, 11.0)		('sum_cog', 'min_emo', 'homeemo')	0.7	0.21291666666666664	0.07	0.07	[ 0.         -0.12657274]	3.781243183169958	134.8641824843553	135.25072463768117	0.5116258351842545	2	1		219.07405700136658	134.8641824843553	69
						(0.0, 0.25)	(0.0, 0.74)			('sum_cog', 'min_emo')	0.72	0.06164383561643835	0.18	0.18	[0.        0.3190716]	1.0183470482412367	278.3183884023081	284.30448484848483	0.592846203756732	2	1		407.964641860309	278.3183884023081	165
