sum_emo	sum_cog	sum_age	slope_emo	max_emo	max_age	homecog	min_emo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.32)	(0.0, 0.28)							('sum_emo', 'sum_cog')	0.79	-inf	0.19	0.19	[0.         0.54388754]	-0.6487473143693778	213.43391668806035	230.26359712230223	0.6512554431691022	2	1		360.9555771840501	213.43391668806035	139
(0.0, 0.53)	(0.0, 0.41)							('sum_emo', 'sum_cog')	0.69	0.4655035129342106	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1		787.1362199809406	627.457913192301	347
	(0.0, 0.24)	(0.0, 0.6)						('sum_cog', 'sum_age', 'sum_cog')	0.78	0.6651721518987346	0.2	0.2	[0.         0.61860863]	-1.1370739254846436	226.02062374586058	250.87641891891897	0.6548075018428956	2	1		375.63133094942896	226.02062374586058	148
	(0.0, 0.25)							('sum_cog',)	0.75	0.5309669696969698	0.24	0.24	[0.         0.45512383]	0.13337035183442403	340.4242974362659	357.83923809523816	0.6168772369701847	2	1		494.5774836348612	340.4242974362659	210
	(0.0, 0.38)	(0.0, 0.67)					(0.0, 0.77)	('sum_age', 'sum_cog', 'min_emo')	0.73	0.4997550408928573	0.28	0.28	[0.         0.39194973]	0.6959110202513004	514.054052200826	531.4014559386974	0.50772870845503	2	1		648.3949986420033	514.054052200826	261
		(0.0, 0.45)	(0.0, 0.56)	(0.0, 0.54)				('sum_age', 'slope_emo', 'max_emo', 'sum_age')	0.79	0.7258125	0.2	0.2	[0.         0.46560547]	0.0003092013476333477	278.19587308188466	290.6120394736843	0.5463776234928548	2	1		405.4995945379164	278.19587308188466	152
		(0.0, 0.61)			(0.0, 0.64)	(1.0, 10.0)	(0.0, 0.77)	('max_age', 'sum_age', 'homecog', 'min_emo')	0.76	0.621026046511628	0.21	0.21	[0.         0.57974416]	-0.6631609115685122	378.80832390350787	405.8120398009951	0.5306113601959809	2	1		510.58266799685947	378.80832390350787	201
		(0.0, 0.61)		(0.0, 0.58)	(0.0, 0.64)			('max_age', 'sum_age', 'max_emo')	0.75	0.5750880530973452	0.28	0.28	[0.         0.75576899]	-1.8336994371562776	425.07600084210947	481.5899159663865	0.55989987561872	2	1		571.9432009934243	425.07600084210947	238
		(0.0, 0.61)			(0.0, 0.64)	(1.0, 10.0)		('max_age', 'sum_age', 'homecog')	0.73	0.4232552252371682	0.28	0.28	[0.         0.65582354]	-1.1270952782451888	474.42158948357815	521.8292549019608	0.5374966183085702	2	1		616.4721869038088	474.42158948357815	255
		(0.0, 0.61)			(0.0, 0.64)			('max_age', 'sum_age')	0.68	0.3914754171806712	0.37	0.37	[0.         0.59146124]	-0.5886624357308197	666.8802744164811	716.2317664670659	0.5008395251940078	2	1		806.76293001379	666.8802744164811	334
