max_emo	min_cog	slope_age	homecog	min_emo	slope_emo	slope_cog	momage	homeemo	kidgen	sum_emo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(0.0, 0.37)	(0.29, 0.97)	(1.0, 6.0)								('max_emo', 'min_cog', 'slope_age', 'homecog')	76.5	-inf	0.08	0.08	[ 0.          1.1356273  -0.03682884]	-3.7958531912379376	56.770487282312466	164.26872727272723	1.937626489851741	3	2	58.65957307452993	113.80521923484123	56.770487282312466	110
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)	(0.0, 0.72)	(0.21, 0.62)						('max_emo', 'slope_age', 'min_emo', 'homecog', 'slope_emo')	72.82	70.59837288135591	0.15	0.15	[ 0.          1.61046276 -0.06111435]	-5.938306746609482	163.60978599191046	359.66236559139793	1.1368513128499331	3	2	8.179572843667021	242.01642871250124	163.60978599191046	186
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)	(0.0, 0.59)							('max_emo', 'slope_age', 'min_emo', 'min_emo', 'homecog')	69.72	62.188329863013706	0.18	0.18	[ 0.          1.7048774  -0.06708703]	-6.224153590133827	187.96710069425444	390.58444444444444	1.1012565456159495	3	2	3.967374925840911	263.24799627409203	187.96710069425444	207
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)	(0.0, 0.72)							('max_emo', 'slope_age', 'min_emo', 'homecog')	69.34	54.23009823225808	0.23	0.23	[ 0.          1.78553069 -0.07098939]	-6.575135077455776	227.95632135769915	475.7529600000001	1.0967013264252095	3	2	6.512337309613972	300.81534076622506	227.95632135769915	250
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)								('max_emo', 'slope_age', 'homecog')	64.33	48.33159317422413	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559964	272.7781895553443	538.0477739726027	1.0704668158256685	3	2	2.85342889639902	340.0074849999542	272.7781895553443	292
	(0.0, 0.39)	(0.29, 0.97)			(0.0, 0.62)	(0.05, 0.43)					('slope_emo', 'min_cog', 'slope_age', 'slope_cog')	75.82	65.24732222222221	0.09	0.09	[0.         0.42025577]	-0.4966083908579546	74.84084521515553	187.6938524590164	1.6301258978204938	2	1	50.0081423815779	133.9478709588017	74.84084521515553	122
		(0.9, 1.0)							1.0		('slope_age', 'kidgen')	47.42	47.20548095238095	0.1	0.1	[ 0.          1.67850515 -0.05445858]	-6.209404697676014	112.25657399798084	441.24279761904756	1.4965715950232175	3	2	52.36182538224437	148.86210726706034	112.25657399798084	168
		(0.3, 0.9)	(1.0, 8.0)			(0.05, 0.5)	(21.0, 26.0)			(0.0, 0.69)	('momage', 'sum_emo', 'slope_age', 'homecog', 'slope_cog')	64.65	44.43127707081819	0.14	0.14	[ 0.          1.43737888 -0.05094677]	-5.17688229459949	154.0094252386406	369.89310526315785	1.2336907283797165	3	2	24.16087885007681	216.43583617517106	154.0094252386406	190
			(1.0, 8.0)		(0.0, 0.62)		(21.0, 26.0)	(0.0, 9.0)			('momage', 'homeemo', 'homecog', 'slope_emo')	70.58	57.95095452941177	0.17	0.17	[ 0.          1.48214126 -0.05334835]	-5.409063900535168	170.1780500785845	396.40419512195126	1.2046206893623208	3	2	22.194741101791905	240.12171460732608	170.1780500785845	205
			(1.0, 8.0)		(0.46, 0.69)		(21.0, 26.0)	(0.0, 9.0)			('momage', 'homeemo', 'homecog', 'slope_emo')	71.47	49.25876781	0.07	0.07	[0.        0.4076749]	-0.45593831545400043	79.99843271881215	180.4675229357798	1.362526693280679	2	1	24.335455660601514	147.62135228472735	79.99843271881215	109
