homeemo	min_age	sum_emo	sum_cog	sum_age	min_cog	slope_age	max_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(10.0, 13.0)	(0.09, 0.68)							('homeemo', 'min_age')	-0.91	-inf	0.39	0.39	[0.         0.61588912]	-1.58406343587317	460.84978008772214	1485.6580842911872	1.1326901358196113	2	1		452.1746959534025	460.84978008772214	522
(10.0, 13.0)	(0.09, 0.68)	(0.42, 0.95)	(0.22, 0.72)	(0.61, 0.88)				('homeemo', 'min_age', 'sum_emo', 'sum_cog', 'sum_age')	-0.94	-0.09399999999999996	0.17	0.17	[0.         0.63320018]	-1.734485183977573	191.36589479141026	769.1922826086955	1.442263263790245	2	1		193.370003423861	191.36589479141026	276
(10.0, 13.0)	(0.09, 0.68)			(0.61, 0.88)	(0.18, 0.68)	(0.56, 1.0)		('homeemo', 'min_age', 'min_cog', 'slope_age', 'sum_age')	-0.96	-0.009600000000000001	0.16	0.16	[0.         0.63043625]	-1.7257283233612073	170.60161679434304	694.6142857142859	1.4771255087446278	2	1		170.1743386230949	170.60161679434304	252
(10.0, 13.0)	(0.12, 0.67)			(0.61, 0.86)			(0.17, 0.71)	('homeemo', 'max_cog', 'min_age', 'sum_age')	-0.97	-0.0009700000000000002	0.14	0.14	[0.         0.63707442]	-1.7414949554047556	151.2136064411287	643.8365086206898	1.5342534673976147	2	1		154.06730739801714	151.2136064411287	232
(10.0, 13.0)	(0.09, 0.68)		(0.51, 0.68)				(0.51, 0.63)	('homeemo', 'min_age', 'sum_cog', 'sum_cog', 'max_cog')	-1.07	-0.00010699999999999999	0.07	0.07	[0.         0.64650811]	-1.8342751966371589	53.184064868176186	307.04715517241374	2.1811044396008747	2	1		55.92749426201771	53.184064868176186	116
(10.0, 13.0)	(0.09, 0.68)		(0.51, 0.75)		(0.47, 0.65)			('homeemo', 'min_age', 'sum_cog', 'sum_cog', 'min_cog')	-1.04	-5.593513513513515e-05	0.09	0.09	[0.         0.64520031]	-1.8110531416106026	77.75050561817724	398.6402702702703	1.9035245986284515	2	1		80.43096268112835	77.75050561817724	148
(10.0, 13.0)	(0.09, 0.68)		(0.51, 0.75)				(0.51, 0.72)	('homeemo', 'min_age', 'sum_cog', 'sum_cog', 'max_cog')	-1.06	-3.7073500000000003e-05	0.1	0.1	[0.         0.65177836]	-1.8997688066796607	90.13118810547331	443.9184375	1.7751901795942688	2	1		95.46588111426252	90.13118810547331	160
(10.0, 13.0)	(0.09, 0.68)		(0.5, 0.94)		(0.47, 0.67)		(0.51, 0.78)	('homeemo', 'min_age', 'sum_cog', 'max_cog', 'min_cog')	-0.99	-7.165478571428574e-05	0.1	0.1	[0.         0.65959607]	-1.9658519114700672	91.69196155518598	472.99994047619043	1.8322216817107468	2	1		99.06384254172039	91.69196155518598	168
(10.0, 13.0)	(0.09, 0.68)			(0.59, 0.88)			(0.17, 0.7)	('homeemo', 'min_age', 'max_cog', 'sum_age')	-0.98	-0.00020280745172413797	0.14	0.14	[0.        0.6309199]	-1.6907915071356054	152.5599600054847	636.5137931034483	1.5207135606987532	2	1		152.452456946037	152.5599600054847	232
(10.0, 13.0)	(0.12, 0.67)		(0.04, 0.7)	(0.55, 0.86)				('homeemo', 'sum_cog', 'min_age', 'sum_age')	-0.96	-0.0016303938549152542	0.15	0.15	[0.         0.63712309]	-1.7466083915831705	151.66847802039896	652.7544680851062	1.549432044596592	2	1		154.1583633432513	151.66847802039896	235
