homeemo	slope_age	min_age	sum_cog	sum_age	sum_emo	slope_emo	max_age	max_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(10.0, 13.0)	(0.32, 1.0)	(0.09, 0.68)	(0.17, 0.72)	(0.53, 0.88)					('homeemo', 'slope_age', 'min_age', 'sum_cog', 'sum_age')	-0.9	-inf	0.18	0.18	[0.         0.63318544]	-1.7522595903136757	196.20035044836735	806.6521875	1.4678872863470798	2	1		199.74417300710945	196.20035044836735	288
(10.0, 13.0)	(0.32, 1.0)	(0.09, 0.68)	(0.17, 0.72)		(0.6, 0.93)				('homeemo', 'slope_age', 'min_age', 'sum_cog', 'sum_emo')	-0.91	-0.4612328767123288	0.18	0.18	[0.         0.63657799]	-1.7764489660254847	197.82326401437723	814.0194444444444	1.455844950465831	2	1		204.15091237354443	197.82326401437723	288
(10.0, 13.0)		(0.09, 0.66)	(0.2, 0.72)	(0.55, 0.86)		(0.31, 1.0)			('homeemo', 'slope_emo', 'min_age', 'sum_cog', 'sum_age')	-0.93	-0.23586956521739133	0.17	0.17	[0.         0.63585071]	-1.752233424443177	189.02779631660673	771.6354181818182	1.4548124950861543	2	1		191.9197994664433	189.02779631660673	275
(10.0, 13.0)		(0.09, 0.68)	(0.2, 0.72)	(0.61, 0.86)			(0.45, 0.85)		('homeemo', 'min_age', 'max_age', 'sum_cog', 'sum_age')	-0.95	-0.11875	0.17	0.17	[0.         0.63582973]	-1.7482534461691674	188.61141499347934	762.8476470588234	1.4421184423509232	2	1		191.82874352120905	188.61141499347934	272
(10.0, 13.0)		(0.12, 0.67)		(0.61, 0.86)				(0.17, 0.71)	('homeemo', 'max_cog', 'min_age', 'sum_age')	-0.97	-0.060625	0.14	0.14	[0.         0.63707442]	-1.7414949554047556	151.2136064411287	643.8365086206898	1.5342534673976147	2	1		154.06730739801714	151.2136064411287	232
(10.0, 12.0)		(0.12, 0.67)		(0.61, 0.86)				(0.17, 0.71)	('homeemo', 'max_cog', 'min_age', 'sum_age', 'homeemo')	-1.0	-0.03125	0.14	0.14	[0.         0.63606993]	-1.7340462926305502	150.7709884294063	633.5836842105264	1.5122272684890814	2	1		153.44053546262984	150.7709884294063	228
(10.0, 12.0)		(0.12, 0.67)	(0.04, 0.7)		(0.65, 0.89)				('homeemo', 'sum_cog', 'min_age', 'sum_emo', 'homeemo')	-1.01	-0.01578125	0.14	0.14	[0.         0.63386732]	-1.7123496459227852	147.9893792826112	618.6792857142857	1.5136221334656283	2	1		150.29089354714728	147.9893792826112	224
(10.0, 12.0)		(0.12, 0.67)			(0.66, 0.89)			(0.17, 0.71)	('homeemo', 'max_cog', 'min_age', 'sum_emo', 'homeemo')	-1.01	-0.007890625	0.14	0.14	[0.         0.63040988]	-1.6907576653340586	144.66882582375004	601.7797727272728	1.5207146304486212	2	1		146.08218510874715	144.66882582375004	220
(10.0, 13.0)		(0.12, 0.67)	(0.04, 0.7)	(0.55, 0.86)					('homeemo', 'sum_cog', 'min_age', 'sum_age')	-0.96	-0.008453389830508475	0.15	0.15	[0.         0.63712309]	-1.7466083915831705	151.66847802039896	652.7544680851062	1.549432044596592	2	1		154.1583633432513	151.66847802039896	235
(10.0, 13.0)		(0.09, 0.68)		(0.59, 0.88)				(0.17, 0.7)	('homeemo', 'min_age', 'max_cog', 'sum_age')	-0.98	-0.007491244612068965	0.14	0.14	[0.        0.6309199]	-1.6907915071356054	152.5599600054847	636.5137931034483	1.5207135606987532	2	1		152.452456946037	152.5599600054847	232
