homeemo	min_age	sum_emo	sum_cog	max_age	min_cog	slope_emo	sum_age	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(10.0, 13.0)	(0.09, 0.68)							('homeemo', 'min_age')	-0.91	-inf	0.39	0.39	[0.         0.61588912]	-1.58406343587317	460.84978008772214	1485.6580842911872	1.1326901358196113	2	1		452.1746959534025	460.84978008772214	522
(10.0, 13.0)	(0.09, 0.68)	(0.64, 1.0)	(0.22, 0.75)					('sum_emo', 'sum_emo', 'min_age', 'homeemo', 'sum_cog')	-0.92	-0.8280000000000004	0.19	0.19	[0.         0.64074765]	-1.8010143794665687	211.06413588613665	853.9506375838927	1.4118931136683632	2	1		220.64298650224148	211.06413588613665	298
(10.0, 13.0)		(0.64, 1.0)	(0.18, 0.74)	(0.47, 0.82)				('sum_emo', 'sum_emo', 'max_age', 'sum_cog', 'homeemo')	-0.92	-0.7500555555555558	0.18	0.18	[0.         0.63062302]	-1.7499931609115498	198.79461232850997	800.604090909091	1.4386707801083778	2	1		200.0210298632056	198.79461232850997	286
(10.0, 13.0)		(0.64, 1.0)		(0.47, 0.82)	(0.15, 0.7)			('sum_emo', 'sum_emo', 'max_age', 'min_cog', 'homeemo')	-0.92	-0.6750500000000001	0.18	0.18	[0.         0.63062302]	-1.7499931609115498	198.79461232850997	800.604090909091	1.4386707801083778	2	1		200.0210298632056	198.79461232850997	286
(10.0, 13.0)	(0.09, 0.68)	(0.64, 1.0)			(0.18, 0.7)			('sum_emo', 'sum_emo', 'min_age', 'homeemo', 'min_cog')	-0.93	-0.6161366250000002	0.18	0.18	[0.         0.63252259]	-1.7520142377912373	199.5559864022373	800.0577622377625	1.4331817609496356	2	1		203.20685894886557	199.5559864022373	286
(10.0, 13.0)	(0.09, 0.69)	(0.66, 1.0)			(0.25, 0.7)	(0.62, 1.0)		('slope_emo', 'sum_emo', 'min_age', 'homeemo', 'min_cog')	-0.93	-0.5575926600000003	0.17	0.17	[0.         0.63172342]	-1.7484423756997876	192.1082932889236	775.2961510791367	1.447100462143498	2	1		196.3316535154648	192.1082932889236	278
(10.0, 13.0)	(0.09, 0.69)	(0.66, 1.0)	(0.29, 0.74)			(0.62, 1.0)		('slope_emo', 'sum_emo', 'min_age', 'sum_cog', 'homeemo')	-0.93	-0.501833394	0.17	0.17	[0.         0.63172342]	-1.7484423756997876	192.1082932889236	775.2961510791367	1.447100462143498	2	1		196.3316535154648	192.1082932889236	278
(10.0, 13.0)	(0.09, 0.69)	(0.66, 1.0)			(0.25, 0.69)	(0.62, 1.0)		('slope_emo', 'sum_emo', 'min_age', 'min_cog', 'homeemo')	-0.93	-0.4516500545999999	0.17	0.17	[0.         0.63172342]	-1.7484423756997876	192.1082932889236	775.2961510791367	1.447100462143498	2	1		196.3316535154648	192.1082932889236	278
(10.0, 13.0)		(0.66, 1.0)			(0.25, 0.7)	(0.62, 1.0)	(0.5, 0.86)	('slope_emo', 'sum_emo', 'sum_age', 'min_cog', 'homeemo')	-0.94	-0.414740814652174	0.17	0.17	[0.         0.62453806]	-1.6858505415922194	191.24140883208312	756.6963636363636	1.4379730921218006	2	1		192.02213241317742	191.24140883208312	275
(10.0, 13.0)	(0.09, 0.69)	(0.66, 1.0)	(0.29, 0.75)			(0.62, 1.0)		('slope_emo', 'sum_emo', 'min_age', 'homeemo', 'sum_cog')	-0.94	-0.38190469871250005	0.18	0.18	[0.        0.6386981]	-1.7894132713055964	202.45311340697435	816.2095104895104	1.4126727674722315	2	1		212.37101260891248	202.45311340697435	286
