max_emo	momage	min_emo	sum_cog	slope_cog	min_age	max_age	homecog	sum_emo	slope_age	homeemo	slope_emo	min_cog	sum_age	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(21.0, 24.0)	(0.49, 0.57)												('max_emo', 'momage', 'min_emo', 'min_emo', 'min_emo')	0.23	-inf	0.05	0.05	[0.         0.33951887]	0.15091131321722795	78.15745699594187	115.14155172413791	0.7420916983393089	2	1		116.2199480474237	78.15745699594187	58
(0.0, 0.61)	(21.0, 24.0)						(1.0, 10.0)		(0.51, 0.83)					('max_emo', 'momage', 'homecog', 'slope_age', 'slope_age')	0.22	0.18279411764705883	0.08	0.08	[0.         0.38516106]	-0.19382184749567166	112.64169550598845	218.59199999999998	1.1097134097502512	2	1		179.70679707494594	112.64169550598845	125
(0.0, 0.61)	(21.0, 24.0)	(0.48, 0.82)					(1.0, 10.0)				(0.21, 0.62)			('max_emo', 'momage', 'homecog', 'min_emo', 'slope_emo')	0.2	0.10164473684210527	0.05	0.05	[0.         0.25901961]	0.9246133868127768	48.827185868366826	68.44839285714285	1.146902058844234	2	1		99.35090346069445	48.827185868366826	56
	(27.0, 29.0)	(0.78, 1.0)		(0.24, 1.0)				(0.16, 0.88)						('min_emo', 'momage', 'sum_emo', 'slope_cog')	0.2	0.2	0.05	0.05	[0.        0.5722914]	-0.4583835880381244	76.36155280703979	192.60346666666672	0.9821696553175087	2	1		122.46441842146577	76.36155280703979	75
	(25.0, 29.0)			(0.0, 0.57)						(8.0, 9.0)	(0.21, 0.69)			('slope_cog', 'homeemo', 'slope_emo', 'homeemo', 'momage')	0.18	0.16578947368421051	0.05	0.05	[0.         0.49225249]	-1.3633091326521116	56.54614646833488	112.86839285714284	0.9903415793569468	2	1		95.16827822009982	56.54614646833488	56
	(27.0, 28.0)	(0.78, 1.0)		(0.0, 0.71)				(0.16, 0.88)						('min_emo', 'momage', 'sum_emo', 'slope_cog', 'momage')	0.2	0.1380952380952381	0.05	0.05	[0.         0.68677732]	-1.542287421845253	70.37954997143207	167.58814814814815	0.7672683332291733	2	1		104.22218476904625	70.37954997143207	54
	(23.0, 26.0)			(0.0, 0.57)					(0.57, 1.0)	(0.0, 9.0)				('slope_cog', 'homeemo', 'slope_age', 'momage', 'momage')	0.19	0.10931089743589743	0.1	0.1	[0.         0.42382645]	-0.46266627653049186	141.55079788157707	271.4148936170213	0.9961088323780565	2	1		197.20320441850788	141.55079788157707	141
		(0.78, 1.0)										(0.65, 1.0)	(0.0, 0.82)	('min_emo', 'min_cog', 'sum_age')	0.13	0.1014	0.06	0.06	[0.         0.65020253]	-1.3410557042460676	76.08047573186387	206.0537142857143	0.9200783686830015	2	1		103.47303096659492	76.08047573186387	70
			(0.0, 0.25)	(0.19, 0.5)	(0.39, 1.0)	(0.34, 0.76)	(3.0, 9.0)							('sum_cog', 'slope_cog', 'min_age', 'max_age', 'homecog')	0.22	0.2145	0.05	0.05	[0.         0.25284348]	0.9780564296879173	61.75078769586897	74.71411764705883	0.8259003958165189	2	1		100.93683553988977	61.75078769586897	51
				(0.07, 0.33)	(0.39, 0.93)	(0.32, 0.95)				(0.0, 9.0)				('slope_cog', 'homeemo', 'max_age', 'slope_cog', 'min_age')	0.2	0.14375000000000002	0.07	0.07	[0.         0.26393643]	0.9710150166087654	74.52494515201201	94.25999999999999	0.9661194631292682	2	1		119.07454160297202	74.52494515201201	72
