max_emo	momage	slope_age	slope_emo	homecog	sum_cog	homeemo	max_age	min_cog	min_emo	sum_emo	slope_cog	sum_age	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(21.0, 24.0)	(0.27, 0.83)	(0.4, 0.62)	(2.0, 10.0)									('max_emo', 'momage', 'slope_age', 'slope_emo', 'homecog')	0.23	-inf	0.05	0.05	[0.         0.35898563]	-0.11265710556109632	63.764851402520726	120.51772151898732	1.2389270618903536	2	1		132.45999861637736	63.764851402520726	79
(0.5, 0.88)	(27.0, 28.0)								(0.78, 0.91)				('min_emo', 'momage', 'max_emo', 'min_emo', 'momage')	0.21	0.21	0.05	0.05	[0.         0.58889508]	-0.5821056653242067	73.4003931341725	172.34065573770494	0.8310582191091925	2	1		113.38334025808116	73.4003931341725	61
(0.0, 0.61)	(21.0, 24.0)			(1.0, 10.0)					(0.49, 0.61)				('max_emo', 'momage', 'homecog', 'min_emo', 'min_emo')	0.22	0.20517894736842104	0.05	0.05	[0.         0.30607051]	0.3612550879064722	51.983330769696295	79.64436363636365	1.058031472505457	2	1		102.7705233876054	51.983330769696295	55
(0.0, 0.61)	(21.0, 24.0)	(0.51, 0.83)		(1.0, 10.0)									('max_emo', 'momage', 'homecog', 'slope_age', 'slope_age')	0.22	0.19837529411764704	0.08	0.08	[0.         0.38516106]	-0.19382184749567166	112.64169550598845	218.59199999999998	1.1097134097502512	2	1		179.70679707494384	112.64169550598845	125
(0.5, 0.88)	(27.0, 29.0)	(0.31, 0.97)							(0.78, 1.0)			(0.3, 0.98)	('min_emo', 'momage', 'max_emo', 'sum_age', 'slope_age')	0.21	0.17905263157894735	0.05	0.05	[0.         0.55932615]	-0.2975114443160267	72.35768079403806	158.85746031746027	0.8706746721101501	2	1		113.62358429876302	72.35768079403806	63
	(27.0, 29.0)	(0.31, 0.97)							(0.78, 1.0)	(0.16, 0.88)	(0.0, 0.71)		('min_emo', 'momage', 'sum_emo', 'slope_cog', 'slope_age')	0.21	0.1956315789473684	0.05	0.05	[0.         0.64897149]	-1.133982779336808	65.4121147277522	148.79924528301888	0.8102474628834138	2	1		102.42849867026119	65.4121147277522	53
	(24.0, 26.0)			(1.0, 7.0)		(0.0, 9.0)				(0.39, 0.7)			('homecog', 'homeemo', 'momage', 'sum_emo', 'momage')	0.21	0.1924826842105263	0.05	0.05	[0.        0.3925359]	-0.30069502412850335	77.6625978892049	135.66444444444448	0.9270871945684424	2	1		123.94942030763904	77.6625978892049	72
	(23.0, 29.0)			(1.0, 7.0)		(0.0, 9.0)		(0.15, 0.41)			(0.0, 0.29)		('homecog', 'homeemo', 'slope_cog', 'min_cog', 'momage')	0.2	0.170117747826087	0.06	0.06	[0.         0.31488204]	0.2218683956543117	52.026705969299336	80.81803278688528	1.1724747677855245	2	1		104.31618898805247	52.026705969299336	61
					(0.0, 0.25)	(0.0, 9.0)	(0.33, 0.92)	(0.15, 0.63)					('sum_cog', 'homeemo', 'max_age', 'min_cog')	0.22	0.21685714285714283	0.05	0.05	[0.        0.3286709]	0.18331473312175595	61.53660502270802	89.69396551724138	0.9425284345569122	2	1		107.9757251796892	61.53660502270802	58
					(0.0, 0.25)	(4.0, 9.0)	(0.33, 0.92)	(0.15, 0.63)					('sum_cog', 'homeemo', 'max_age', 'min_cog', 'homeemo')	0.22	0.18663951428571424	0.05	0.05	[0.        0.3286709]	0.18331473312175595	61.53660502270802	89.69396551724138	0.9425284345569122	2	1		107.9757251796892	61.53660502270802	58
