homeemo	min_age	slope_emo	sum_cog	max_cog	homecog	slope_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(10.0, 13.0)	(0.09, 0.68)						('homeemo', 'min_age')	-0.91	-inf	0.39	0.39	[0.         0.61588912]	-1.58406343587317	460.84978008772214	1485.658084291187	1.1326901358196113	2	1		452.1746959534014	460.84978008772214	522
(10.0, 12.0)	(0.09, 0.68)						('homeemo', 'min_age', 'homeemo')	-0.94	-0.09399999999999997	0.37	0.37	[0.         0.60895945]	-1.529248149011833	442.08817352658303	1387.3523732251522	1.115162154344207	2	1		429.66315888700467	442.08817352658303	493
(10.0, 11.0)	(0.09, 0.68)						('homeemo', 'min_age', 'homeemo')	-0.97	-0.009700000000000005	0.28	0.28	[0.         0.61133954]	-1.5918043127659347	315.8493217139693	1044.1247619047617	1.1967731890281337	2	1		306.5509536938498	315.8493217139693	378
(10.0, 13.0)	(0.09, 0.68)	(0.0, 0.85)					('homeemo', 'min_age', 'slope_emo')	-0.99	-0.0026164285714285725	0.31	0.31	[0.         0.60650259]	-1.5208135516619539	354.4239404675062	1109.7359158415845	1.1398778521199782	2	1		341.46299978760555	354.4239404675062	404
(10.0, 13.0)	(0.12, 0.67)		(0.04, 0.7)				('homeemo', 'sum_cog', 'min_age')	-0.95	-0.003332307692307692	0.29	0.29	[0.         0.62371133]	-1.6489142201958238	293.5832194588869	999.3518681318683	1.2398528794353458	2	1		284.7740925994356	293.5832194588869	364
(10.0, 13.0)	(0.12, 0.67)			(0.17, 0.71)			('homeemo', 'max_cog', 'min_age')	-0.97	-0.00034894473684210536	0.28	0.28	[0.         0.62530759]	-1.660147719310645	291.11253613136523	981.6297471910111	1.222894777157086	2	1		282.37880701502274	291.11253613136523	356
(10.0, 13.0)	(0.09, 0.68)		(0.04, 0.68)				('homeemo', 'min_age', 'sum_cog')	-0.95	-0.00011615762711864403	0.29	0.29	[0.         0.61514897]	-1.598578004372757	295.451436862982	991.4394808743168	1.2387822644766338	2	1		283.39092167276993	295.451436862982	366
(10.0, 13.0)	(0.09, 0.68)			(0.17, 0.7)			('homeemo', 'min_age', 'max_cog')	-0.97	-1.2048068965517246e-05	0.29	0.29	[0.         0.61876284]	-1.6190822967249545	297.6782889247166	991.1559392265194	1.2160779387291845	2	1		286.0498292896924	297.6782889247166	362
(10.0, 13.0)	(0.09, 0.68)				(4.0, 10.0)		('homeemo', 'min_age', 'homecog')	-1.03	-1.490690909090909e-06	0.24	0.24	[0.         0.62096624]	-1.67281392618502	267.60412107870394	903.4721362229102	1.207006822981638	2	1		258.6299450487382	267.60412107870394	323
(10.0, 13.0)	(0.09, 0.68)					(0.0, 0.79)	('homeemo', 'min_age', 'slope_cog')	-0.94	-0.0008736080024615384	0.32	0.32	[0.         0.62362221]	-1.6461436884903122	351.3398379722059	1179.8611538461537	1.184038799587849	2	1		345.7594344348645	351.3398379722059	416
