homeemo	min_age	slope_cog	sum_cog	max_cog	homecog	min_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(10.0, 13.0)	(0.09, 0.68)						('homeemo', 'min_age')	-0.91	-inf	0.39	0.39	[0.         0.61588912]	-1.58406343587317	460.84978008772214	1485.658084291187	1.1326901358196113	2	1		452.1746959534014	460.84978008772214	522
(10.0, 12.0)	(0.09, 0.68)						('homeemo', 'min_age', 'homeemo')	-0.94	-0.47	0.37	0.37	[0.         0.60895945]	-1.529248149011833	442.08817352658303	1387.3523732251522	1.115162154344207	2	1		429.66315888700467	442.08817352658303	493
(10.0, 13.0)	(0.09, 0.68)	(0.0, 0.79)					('homeemo', 'min_age', 'slope_cog')	-0.94	-0.2422307692307692	0.32	0.32	[0.         0.62362221]	-1.6461436884903122	351.3398379722059	1179.8611538461537	1.184038799587849	2	1		345.7594344348645	351.3398379722059	416
(10.0, 13.0)	(0.09, 0.68)		(0.04, 0.68)				('homeemo', 'min_age', 'sum_cog')	-0.95	-0.12378177966101696	0.29	0.29	[0.         0.61514897]	-1.598578004372757	295.451436862982	991.4394808743168	1.2387822644766338	2	1		283.39092167276993	295.451436862982	366
(10.0, 13.0)	(0.09, 0.68)			(0.17, 0.7)			('homeemo', 'min_age', 'max_cog')	-0.97	-0.06271551724137932	0.29	0.29	[0.         0.61876284]	-1.6190822967249545	297.6782889247166	991.1559392265194	1.2160779387291845	2	1		286.0498292896924	297.6782889247166	362
(10.0, 13.0)	(0.12, 0.67)			(0.17, 0.71)			('homeemo', 'max_cog', 'min_age')	-0.97	-0.03297149122807018	0.28	0.28	[0.         0.62530759]	-1.660147719310645	291.11253613136523	981.6297471910111	1.222894777157086	2	1		282.37880701502274	291.11253613136523	356
(10.0, 13.0)	(0.12, 0.67)		(0.04, 0.7)				('homeemo', 'sum_cog', 'min_age')	-0.95	-0.01826923076923077	0.29	0.29	[0.         0.62371133]	-1.6489142201958238	293.5832194588869	999.3518681318683	1.2398528794353458	2	1		284.7740925994356	293.5832194588869	364
(10.0, 13.0)	(0.09, 0.68)				(4.0, 11.0)		('homeemo', 'min_age', 'homecog')	-0.97	-0.020807733050847457	0.29	0.29	[0.         0.62485318]	-1.66576948357371	332.72280690956376	1125.3219387755103	1.1781578895688631	2	1		328.17986898775195	332.72280690956376	392
(10.0, 13.0)	(0.12, 0.68)				(4.0, 11.0)		('homeemo', 'homecog', 'min_age')	-0.98	-0.01042834051724138	0.29	0.29	[0.         0.62450919]	-1.6618274790808911	329.7138230815176	1105.6570389610388	1.167679281389466	2	1		325.93829745843334	329.7138230815176	385
(10.0, 13.0)	(0.09, 0.68)					(0.18, 0.68)	('homeemo', 'min_age', 'min_cog')	-0.96	-0.01564772727272727	0.27	0.27	[0.         0.62011773]	-1.6778222031030614	294.22266797647654	1008.4309641873281	1.2337594601277366	2	1		284.7389214181678	294.22266797647654	363
