homeemo	min_age	slope_emo	sum_emo	sum_age	sum_cog	max_age	max_emo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(10.0, 13.0)	(0.09, 0.68)							('homeemo', 'min_age')	-0.91	-inf	0.39	0.39	[0.         0.61588912]	-1.58406343587317	460.84978008772214	1485.658084291187	1.1326901358196113	2	1		452.1746959534014	460.84978008772214	522
(10.0, 13.0)	(0.09, 0.68)				(0.45, 1.0)			('sum_cog', 'homeemo', 'min_age')	-0.97	-0.6588612209302328	0.21	0.21	[0.         0.62364288]	-1.6206148150120434	269.6927614701105	962.3664201183432	1.2532779825366573	2	1		277.2307827039389	269.6927614701105	338
(10.0, 13.0)	(0.09, 0.64)	(0.62, 1.0)						('slope_emo', 'homeemo', 'min_age')	-0.98	-0.44380536113009716	0.25	0.25	[0.       0.624725]	-1.6746159344404203	344.0981777837575	1178.661964735516	1.1537404892899135	2	1		345.4253087451229	344.0981777837575	397
	(0.09, 0.69)	(0.62, 1.0)	(0.66, 1.0)					('slope_emo', 'sum_emo', 'min_age')	-0.93	-0.8442233009708742	0.25	0.25	[0.         0.60943148]	-1.5330587534471336	340.5400663732361	1145.0196097560977	1.2039699303712328	2	1		339.3156694268434	340.5400663732361	410
	(0.09, 0.68)		(0.64, 1.0)					('sum_emo', 'sum_emo', 'min_age')	-0.94	-0.7815309734513278	0.28	0.28	[0.         0.60204485]	-1.5025151314633618	391.30441315946854	1250.6049111111113	1.149999807992483	2	1		382.7530852575487	391.30441315946854	450
	(0.09, 0.69)		(0.53, 1.0)				(0.67, 1.0)	('sum_emo', 'max_emo', 'min_age')	-0.98	-0.4872643277189656	0.29	0.29	[0.         0.59916252]	-1.45595012315618	408.8027551436743	1272.2098008849557	1.1056676950260376	2	1		400.4157010466577	408.8027551436743	452
		(0.62, 1.0)	(0.66, 1.0)	(0.5, 0.86)				('slope_emo', 'sum_emo', 'sum_age')	-0.96	-0.7168217475728156	0.25	0.25	[0.         0.59882903]	-1.451262058491663	354.0665339029684	1139.3352311435524	1.1607987783240596	2	1		346.5040341385385	354.0665339029684	411
		(0.62, 1.0)	(0.66, 1.0)			(0.47, 0.82)		('slope_emo', 'sum_emo', 'max_age')	-0.98	-0.6169753650485439	0.25	0.25	[0.         0.59655274]	-1.4456194588342726	359.1946906420312	1139.151804878049	1.1414422614854312	2	1		349.4963055215335	359.1946906420312	410
			(0.64, 1.0)	(0.5, 0.86)				('sum_emo', 'sum_emo', 'sum_age')	-0.97	-0.5713017841592921	0.28	0.28	[0.         0.59198071]	-1.4302183597107723	404.27380857180054	1244.527494456763	1.115580555646856	2	1		389.9564806869595	404.27380857180054	451
			(0.64, 1.0)			(0.47, 0.82)		('sum_emo', 'sum_emo', 'max_age')	-0.98	-0.521338647375	0.28	0.28	[0.         0.59127969]	-1.4307358359019329	404.7353287890881	1236.6699551569504	1.1019547053981427	2	1		389.7699288026981	404.7353287890881	446
