sum_cog	homeemo	max_age	min_emo	momage	sum_emo	slope_cog	slope_emo	min_cog	sum_age	min_age	homecog	slope_age	kidgen	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.25)	(0.0, 9.0)	(0.33, 0.92)												('sum_cog', 'homeemo', 'max_age')	0.18	-inf	0.07	0.07	[0.         0.36505083]	-0.014480605305569938	75.87366223743672	127.8657142857143	1.1071035392641648	2	1		124.28926038511337	75.87366223743672	84
(0.0, 0.25)				(23.0, 26.0)						(0.47, 1.0)				('sum_cog', 'min_age', 'momage')	0.12	0.06392307692307692	0.06	0.06	[0.        0.2105672]	1.6177500180075295	60.24682899508219	67.90499999999999	0.9295095017294793	2	1		85.18790204685462	60.24682899508219	56
(0.0, 0.28)			(0.0, 0.7)								(1.0, 7.0)			('homecog', 'min_emo', 'sum_cog')	0.13	0.04918225	0.1	0.1	[0.         0.42939641]	-0.6308155419146297	90.53547446387088	191.72878504672894	1.1818571740373378	2	1		130.27531133008267	90.53547446387088	107
(0.0, 0.25)				(24.0, 29.0)			(0.26, 0.85)							('sum_cog', 'momage', 'slope_emo')	0.12	0.0388848	0.07	0.07	[0.        0.3826444]	-0.22004024009720347	54.39259963716396	108.168875	1.47078831557335	2	1		97.34830191238072	54.39259963716396	80
	(0.0, 9.0)					(0.0, 0.57)	(0.21, 0.69)							('slope_cog', 'homeemo', 'slope_emo')	0.15	0.11447368421052631	0.14	0.14	[0.         0.46715564]	-0.8064590417589881	191.82296713076263	397.7037837837837	0.964430916522569	2	1		237.79499197565082	191.82296713076263	185
			(0.78, 1.0)	(27.0, 29.0)	(0.16, 0.88)									('min_emo', 'momage', 'sum_emo')	0.15	0.15	0.08	0.08	[0.         0.62617591]	-1.1144011871925352	91.30713418408192	250.42119565217394	1.0075882987907738	2	1		129.59007861988374	91.30713418408192	92
			(0.78, 1.0)					(0.65, 1.0)	(0.0, 0.82)					('min_emo', 'min_cog', 'sum_age')	0.13	0.08788	0.06	0.06	[0.         0.65020253]	-1.3410557042460658	76.08047573186387	206.05371428571428	0.9200783686830015	2	1		103.47303096659509	76.08047573186387	70
			(0.78, 1.0)	(28.0, 29.0)										('min_emo', 'momage', 'momage')	0.12	0.034069565217391296	0.06	0.06	[0.         0.55070441]	-0.47553180733858813	90.84863095539644	205.93346153846147	0.8585710007924646	2	1		115.12930178781704	90.84863095539644	78
				(27.0, 29.0)	(0.23, 0.89)				(0.87, 1.0)					('momage', 'sum_age', 'sum_emo')	0.12	0.08243478260869563	0.06	0.06	[0.         0.57161237]	-0.7286828472603748	81.34267334261403	235.32478260869564	1.1310176592364685	2	1		115.4361438053336	81.34267334261403	92
												(0.9, 1.0)	1.0	('slope_age', 'kidgen')	0.06	0.031662857142857145	0.1	0.1	[0.         0.59784747]	-1.1367675010610139	123.2332511515529	441.2427976190476	1.3632684233364314	2	1		148.86210726706088	123.2332511515529	168
