max_emo	momage	slope_age	sum_cog	homeemo	max_age	sum_age	min_emo	sum_emo	homecog	slope_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(21.0, 24.0)	(0.72, 0.83)									('max_emo', 'momage', 'slope_age')	0.19	-inf	0.08	0.08	[0.         0.39309012]	-0.20585673202133847	118.44006584435638	230.5571875	1.0807153735308324	2	1		174.69871163028017	118.44006584435638	128
(0.39, 0.67)			(0.0, 0.25)	(0.0, 9.0)							('sum_cog', 'homeemo', 'max_emo')	0.16	0.14756266666666668	0.07	0.07	[0.         0.39048665]	-0.31081666405145425	74.44876610467378	129.4	1.0745644848904718	2	1		115.20751447802812	74.44876610467378	80
(0.0, 0.61)	(21.0, 24.0)					(0.42, 0.82)					('max_emo', 'momage', 'sum_age')	0.17	0.138551	0.08	0.08	[0.         0.39055381]	-0.1315620417040395	121.85984552005024	228.74179687500003	1.0503870200536196	2	1		171.0113373390517	121.85984552005024	128
(0.5, 0.88)	(27.0, 29.0)						(0.78, 1.0)				('min_emo', 'momage', 'max_emo')	0.15	0.12439285714285711	0.07	0.07	[0.         0.62182748]	-1.063208148083925	87.20685774481917	219.85549999999998	0.9173590480016197	2	1		121.09906870416816	87.20685774481917	80
	(21.0, 24.0)			(0.0, 8.0)		(0.58, 0.82)					('homeemo', 'momage', 'sum_age')	0.19	0.16984642857142854	0.07	0.07	[0.         0.38882706]	-0.14903556049779576	113.51354577439609	205.6223423423423	0.9778568649472754	2	1		162.16409414503826	113.51354577439609	111
	(27.0, 29.0)						(0.78, 1.0)	(0.16, 0.88)			('min_emo', 'momage', 'sum_emo')	0.15	0.15	0.08	0.08	[0.         0.62617591]	-1.1144011871925352	91.30713418408192	250.42119565217394	1.0075882987907738	2	1		129.59007861988374	91.30713418408192	92
	(27.0, 29.0)						(0.78, 0.92)				('min_emo', 'momage', 'min_emo')	0.15	0.1361111111111111	0.07	0.07	[0.         0.58173612]	-0.6850148893134715	95.42157508387172	237.75752808988764	0.9327031116576371	2	1		130.4811733871396	95.42157508387172	89
			(0.0, 0.25)	(0.0, 9.0)	(0.33, 0.92)						('sum_cog', 'homeemo', 'max_age')	0.18	0.17751724137931033	0.07	0.07	[0.         0.36505083]	-0.014480605305569938	75.87366223743672	127.8657142857143	1.1071035392641648	2	1		124.28926038511337	75.87366223743672	84
			(0.0, 0.25)	(0.0, 9.0)	(0.32, 0.92)						('sum_cog', 'max_age', 'homeemo')	0.16	0.13090673548387094	0.08	0.08	[0.         0.37069679]	-0.04213434873494348	78.28859357351458	133.4759090909091	1.1240462496923798	2	1		124.38261520340718	78.28859357351458	88
				(0.0, 9.0)					(1.0, 7.0)	(0.0, 0.29)	('homecog', 'homeemo', 'slope_cog')	0.15	0.12316160270270267	0.09	0.09	[0.         0.40480775]	-0.4125689822704488	88.27814045548654	168.7444	1.1327832630369477	2	1		131.32891610149676	88.27814045548654	100
