sum_emo	min_cog	slope_age	sum_age	max_emo	homecog	momage	slope_cog	max_age	sum_cog	slope_emo	min_emo	homeemo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.59)	(0.0, 0.4)	(0.31, 1.0)	(0.44, 0.86)										('sum_emo', 'min_cog', 'slope_age', 'sum_emo', 'sum_age')	81.74	-inf	0.08	0.08	[0.         0.41668067]	-0.4859478447585057	72.3990477381463	184.78264462809915	1.6712927003906763	2	1	52.55370419743858	136.7422811583054	72.3990477381463	121
(0.0, 0.69)	(0.0, 0.61)	(0.3, 0.9)			(1.0, 9.0)	(21.0, 26.0)							('momage', 'sum_emo', 'slope_age', 'min_cog', 'homecog')	68.52	34.32852	0.22	0.22	[ 0.         1.4565943 -0.0509348]	-5.277480687979295	302.15140568198575	699.3209119496854	1.052452492425916	3	2	-1.0289931740015312	374.80070921010577	302.15140568198575	318
(0.0, 0.69)		(0.3, 0.9)				(21.0, 26.0)							('momage', 'sum_emo', 'slope_age')	52.3	16.91504160583942	0.34	0.34	[ 0.          1.44012774 -0.049327  ]	-5.15615902263732	556.8014053088909	1192.8860369609856	0.8746385970951924	3	2	-83.79576865981672	619.9318674659908	556.8014053088909	487
(0.33, 0.66)									(0.0, 0.25)	(0.28, 0.62)			('sum_cog', 'sum_emo', 'slope_emo')	54.32	12.93244842105263	0.05	0.05	[0.         0.34909003]	0.04337115794274604	26.118842921439573	55.56759259259258	2.0674729030846257	2	1	31.24369215888132	66.33024509340646	26.118842921439573	54
(0.23, 0.71)		(0.0, 0.9)			(2.0, 10.0)							(0.0, 9.0)	('slope_age', 'homeemo', 'sum_emo', 'homecog')	57.53	2.3678684411386137	0.25	0.25	[ 0.         1.2150146 -0.0381595]	-4.174478922051412	406.07605535086793	812.1256	0.8619075057197949	3	2	-69.58636007216668	478.61890707628294	406.07605535086793	350
	(0.0, 0.43)		(0.4, 0.96)		(2.0, 7.0)						(0.0, 0.68)		('min_cog', 'min_emo', 'sum_age', 'homecog')	61.75	4.960953437499999	0.13	0.13	[ 0.          1.36755268 -0.04638629]	-4.897598555748694	135.22392123706632	374.2658461538461	1.4420525467394034	3	2	55.56415960815945	185.60411410182715	135.22392123706632	195
		(0.0, 0.85)		(0.0, 0.61)	(1.0, 10.0)								('max_emo', 'slope_age', 'homecog')	64.33	54.34775862068965	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559991	272.77818955534434	538.0477739726027	1.0704668158256683	3	2	2.8534288963989525	340.00748499995336	272.77818955534434	292
		(0.0, 0.85)		(0.0, 0.61)									('max_emo', 'slope_age')	53.84	10.7503382972973	0.37	0.37	[ 0.          2.07303376 -0.08618001]	-7.711401036354108	349.0578518728877	690.8575487465181	1.0284828090064935	3	2	-7.5675543567761565	405.53421149763517	349.0578518728877	359
						(27.0, 29.0)	(0.3, 1.0)	(0.72, 1.0)					('momage', 'slope_cog', 'max_age')	50.39	50.39	0.19	0.19	[ 0.          1.69973582 -0.05604634]	-6.332341007086288	248.49260868030825	809.3091666666668	1.2072793697697353	3	2	39.399464566957136	293.94169291167566	248.49260868030825	300
						(27.0, 29.0)	(0.3, 1.0)						('momage', 'slope_cog')	45.48	12.483795918367349	0.24	0.24	[ 0.          1.63267833 -0.05287349]	-6.042492302428463	315.7185926467216	1014.6390296495958	1.1750970916531875	3	2	42.11253147687975	356.8974631212299	315.7185926467216	371
