slope_cog	homeemo	sum_age	slope_age	min_emo	momage	sum_emo	max_age	min_age	min_cog	homecog	sum_cog	slope_emo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.57)	(0.0, 9.0)	(0.44, 0.96)	(0.51, 0.9)										('slope_cog', 'homeemo', 'sum_age', 'slope_age')	0.23	-inf	0.11	0.11	[0.         0.44159514]	-0.687830039734318	153.27434640894393	312.05775	1.0438798386594432	2	1		224.3751950181347	153.27434640894393	160
(0.0, 0.71)			(0.31, 0.97)	(0.78, 1.0)	(27.0, 29.0)	(0.16, 0.88)							('min_emo', 'momage', 'sum_emo', 'slope_cog', 'slope_age')	0.21	0.21	0.05	0.05	[0.         0.64897149]	-1.133982779336808	65.4121147277522	148.79924528301888	0.8102474628834138	2	1		102.42849867026094	65.4121147277522	53
(0.07, 0.33)	(0.0, 9.0)						(0.32, 0.95)	(0.39, 0.93)					('slope_cog', 'homeemo', 'max_age', 'slope_cog', 'min_age')	0.2	0.1485714285714286	0.07	0.07	[0.         0.26393643]	0.9710150166087654	74.52494515201201	94.25999999999999	0.9661194631292682	2	1		119.07454160297156	74.52494515201201	72
(0.0, 0.57)	(8.0, 9.0)											(0.21, 0.69)	('slope_cog', 'homeemo', 'slope_emo', 'homeemo')	0.17	0.06963200000000001	0.06	0.06	[0.         0.46697738]	-0.985299033298173	89.61365332842196	153.24285714285713	0.7811309705615888	2	1		119.9865687864008	89.61365332842196	70
		(0.87, 1.0)			(27.0, 29.0)	(0.23, 0.89)							('momage', 'sum_age', 'sum_emo')	0.12	0.1106086956521739	0.06	0.06	[0.         0.57161237]	-0.7286828472603748	81.34267334261403	235.32478260869564	1.1310176592364685	2	1		115.4361438053336	81.34267334261403	92
		(0.0, 0.82)		(0.78, 1.0)					(0.65, 1.0)				('min_emo', 'min_cog', 'sum_age')	0.13	0.10192000000000001	0.06	0.06	[0.         0.65020253]	-1.3410557042460658	76.08047573186387	206.05371428571428	0.9200783686830015	2	1		103.47303096659509	76.08047573186387	70
				(0.0, 0.7)	(23.0, 26.0)					(1.0, 7.0)	(0.0, 0.28)		('homecog', 'min_emo', 'sum_cog', 'momage', 'momage')	0.17	0.09022142857142858	0.07	0.07	[0.        0.3857018]	-0.3682740468254022	67.11680100233052	125.84701298701299	1.1472537255958655	2	1		112.6927214650582	67.11680100233052	77
				(0.78, 0.92)	(27.0, 28.0)						(0.34, 0.88)		('min_emo', 'momage', 'min_emo', 'sum_cog', 'momage')	0.18	0.04869473684210525	0.05	0.05	[0.         0.55487931]	-0.35126557821358073	87.66513105080917	196.11154929577464	0.8099001181992148	2	1		122.68574438108918	87.66513105080917	71
					(24.0, 29.0)						(0.0, 0.25)	(0.26, 0.85)	('sum_cog', 'momage', 'slope_emo')	0.12	0.05818799999999999	0.07	0.07	[0.        0.3826444]	-0.22004024009720347	54.39259963716396	108.168875	1.47078831557335	2	1		97.34830191238072	54.39259963716396	80
					(23.0, 26.0)			(0.47, 1.0)			(0.0, 0.25)		('sum_cog', 'min_age', 'momage')	0.12	0.03748384615384615	0.06	0.06	[0.        0.2105672]	1.6177500180075295	60.24682899508219	67.90499999999999	0.9295095017294793	2	1		85.18790204685462	60.24682899508219	56
