sum_gpa	mean_gpa	slope_job	min_intjob	max_intjob	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(0.29, 1.0)	(0.42, 1.0)	(0.0, 0.54)			('sum_gpa', 'mean_gpa', 'slope_job')	0.0208	0.49	0.49	0.75757576	66.0
(0.29, 1.0)	(0.42, 1.0)		(0.0, 0.0)		('sum_gpa', 'mean_gpa', 'min_intjob')	0.0208	0.5	0.5	0.75	68.0
(0.41, 1.0)			(0.0, 0.0)		('sum_gpa', 'sum_gpa', 'min_intjob')	0.0202	0.51	0.51	0.73913043	69.0
(0.29, 1.0)	(0.42, 1.0)				('sum_gpa', 'mean_gpa')	0.0196	0.56	0.56	0.71052632	76.0
	(0.42, 1.0)	(0.0, 0.54)			('mean_gpa', 'mean_gpa', 'slope_job')	0.0208	0.49	0.49	0.75757576	66.0
	(0.42, 1.0)		(0.0, 0.0)		('mean_gpa', 'mean_gpa', 'min_intjob')	0.0208	0.5	0.5	0.75	68.0
	(0.46, 1.0)		(0.0, 0.0)	(0.0, 0.25)	('mean_gpa', 'min_intjob', 'max_intjob')	0.0202	0.38	0.38	0.82352941	51.0
	(0.46, 1.0)	(0.0, 0.54)	(0.0, 0.0)		('mean_gpa', 'slope_job', 'min_intjob')	0.0202	0.4	0.4	0.8	55.0
	(0.37, 1.0)		(0.0, 0.0)	(0.0, 0.25)	('max_intjob', 'mean_gpa', 'min_intjob')	0.0202	0.42	0.42	0.78947368	57.0
	(0.37, 1.0)		(0.0, 0.0)	(0.0, 0.62)	('max_intjob', 'mean_gpa', 'min_intjob')	0.0202	0.42	0.42	0.78947368	57.0
