sum_gpa	mean_gpa	slope_job	min_intjob	max_job	highgpa	max_intjob	max_intgpa	min_intgpa	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(0.29, 1.0)	(0.42, 1.0)	(0.0, 0.54)							('sum_gpa', 'mean_gpa', 'slope_job')	0.0208	0.49	0.49	0.75757576	66.0
(0.41, 1.0)				(0.0, 1.0)					('sum_gpa', 'sum_gpa', 'max_job')	0.0196	0.57	0.57	0.70512821	78.0
(0.33, 0.96)					(2.8, 4.0)				('highgpa', 'sum_gpa')	0.0165	0.45	0.45	0.72131148	61.0
(0.29, 1.0)			(0.0, 0.0)						('sum_gpa', 'min_intjob')	0.0153	0.67	0.67	0.63736264	91.0
	(0.33, 1.0)		(0.0, 0.0)						('min_intjob', 'mean_gpa')	0.0184	0.62	0.62	0.67857143	84.0
			(0.0, 0.0)						('min_intjob',)	0.0067	0.85	0.85	0.54782609	115.0
					(2.8, 4.0)				('highgpa',)	0.0086	0.59	0.59	0.5875	80.0
						(0.0, 0.25)			('max_intjob',)	0.0086	0.63	0.63	0.58139535	86.0
							(0.31, 1.0)		('max_intgpa',)	0.011	0.76	0.76	0.58653846	104.0
								(0.71, 1.0)	('min_intgpa',)	0.0086	0.35	0.35	0.64583333	48.0
