mean_gpa	slope_job	min_intjob	max_intjob	sum_gpa	max_job	max_intgpa	mean_job	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(0.42, 1.0)	(0.0, 0.54)							('mean_gpa', 'mean_gpa', 'slope_job')	0.0208	0.49	0.49	0.75757576	66.0
(0.46, 1.0)		(0.0, 0.0)	(0.0, 0.25)					('mean_gpa', 'min_intjob', 'max_intjob')	0.0202	0.38	0.38	0.82352941	51.0
(0.42, 1.0)					(0.0, 1.0)			('mean_gpa', 'mean_gpa', 'max_job')	0.0196	0.56	0.56	0.71052632	76.0
(0.42, 1.0)	(0.0, 0.54)					(0.31, 1.0)		('max_intgpa', 'mean_gpa', 'slope_job')	0.0196	0.47	0.47	0.75	64.0
(0.46, 1.0)		(0.0, 0.0)						('mean_gpa', 'min_intjob')	0.019	0.46	0.46	0.74603175	63.0
(0.31, 1.0)				(0.42, 1.0)				('mean_gpa', 'sum_gpa')	0.0184	0.56	0.56	0.69736842	76.0
(0.42, 1.0)						(0.31, 1.0)		('max_intgpa', 'mean_gpa')	0.0184	0.54	0.54	0.7027027	74.0
		(0.0, 0.0)		(0.44, 1.0)			(0.0, 0.43)	('sum_gpa', 'mean_job', 'min_intjob')	0.0196	0.38	0.38	0.80769231	52.0
		(0.0, 0.0)	(0.0, 0.62)	(0.39, 1.0)				('max_intjob', 'sum_gpa', 'min_intjob')	0.0196	0.43	0.43	0.77586207	58.0
				(0.41, 1.0)				('sum_gpa', 'sum_gpa')	0.0196	0.57	0.57	0.70512821	78.0
