mean_gpa	slope_job	min_intjob	sum_gpa	highgpa	max_intgpa	range_gpa	slope_gpa	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(0.42, 1.0)	(0.0, 0.54)							('mean_gpa', 'mean_gpa', 'slope_job')	0.0208	0.49	0.49	0.75757576	66.0
(0.33, 1.0)		(0.0, 0.0)						('min_intjob', 'mean_gpa')	0.0184	0.62	0.62	0.67857143	84.0
(0.33, 1.0)								('dom_pruning',)	0.0172	0.69	0.69	0.64893617	94.0
		(0.0, 0.0)						('min_intjob',)	0.0067	0.85	0.85	0.54782609	115.0
			(0.41, 1.0)					('sum_gpa', 'sum_gpa')	0.0196	0.57	0.57	0.70512821	78.0
			(0.29, 1.0)					('sum_gpa',)	0.0135	0.76	0.76	0.60576923	104.0
			(0.29, 1.0)				(0.35, 1.0)	('sum_gpa', 'slope_gpa')	0.0147	0.57	0.57	0.65384615	78.0
				(2.8, 4.0)				('highgpa',)	0.0086	0.59	0.59	0.5875	80.0
					(0.31, 1.0)			('max_intgpa',)	0.011	0.76	0.76	0.58653846	104.0
						(0.21, 1.0)		('dom_pruning',)	0.0055	0.77	0.77	0.54285714	105.0
