gpa2	gpa5	gpa6	job5	job1	job2	gpa3	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(2.7, 3.4)	(2.8, 3.7)	(2.9, 3.9)					('gpa2', 'gpa5', 'gpa6')	0.0202	0.38	0.38	0.82352941	51.0
(2.7, 3.4)	(2.7, 3.7)	(2.9, 3.9)					('gpa5', 'gpa2', 'gpa6')	0.0196	0.38	0.38	0.80769231	52.0
(2.7, 3.4)		(2.9, 3.9)					('gpa6', 'gpa2')	0.019	0.39	0.39	0.79245283	53.0
(2.7, 3.4)		(2.9, 3.9)		(2.0, 2.0)			('gpa6', 'gpa2', 'job1')	0.019	0.35	0.35	0.82978723	47.0
(2.7, 3.4)		(2.9, 3.9)		(2.0, 3.0)			('gpa6', 'gpa2', 'job1')	0.019	0.39	0.39	0.79245283	53.0
(2.7, 3.4)		(2.9, 3.9)			(2.0, 3.0)		('gpa6', 'gpa2', 'job2')	0.019	0.39	0.39	0.79245283	53.0
(2.7, 3.4)		(2.9, 3.9)	(1.0, 2.0)				('gpa6', 'gpa2', 'job5')	0.019	0.35	0.35	0.82978723	47.0
(2.7, 3.4)	(2.9, 3.7)			(2.0, 2.0)			('gpa2', 'gpa5', 'job1')	0.019	0.32	0.32	0.86046512	43.0
	(2.8, 3.7)		(1.0, 2.0)	(2.0, 2.0)			('job5', 'gpa5', 'job1')	0.0196	0.51	0.51	0.72857143	70.0
	(2.8, 3.7)			(2.0, 2.0)		(2.7, 3.5)	('gpa3', 'gpa5', 'job1')	0.019	0.46	0.46	0.74603175	63.0
