job5	gpa5	job1	gpa6	gpa2	gpa3	highgpa	job6	gpa1	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(1.0, 2.0)	(2.8, 3.7)	(2.0, 2.0)							('job5', 'gpa5', 'job1')	0.0196	0.51	0.51	0.72857143	70.0
	(2.8, 3.7)								('gpa5', 'gpa5')	0.0159	0.71	0.71	0.63541667	96.0
	(2.7, 3.7)								('dom_pruning',)	0.0141	0.76	0.76	0.61165049	103.0
		(2.0, 2.0)			(2.7, 3.5)				('gpa3', 'job1')	0.0172	0.53	0.53	0.69444444	72.0
		(2.0, 2.0)					(1.0, 2.0)		('dom_pruning',)	0.0098	0.68	0.68	0.58695652	92.0
			(2.9, 3.9)	(2.7, 3.4)					('gpa6', 'gpa2')	0.019	0.39	0.39	0.79245283	53.0
			(2.8, 3.9)						('gpa6',)	0.011	0.76	0.76	0.58653846	104.0
				(2.7, 3.4)					('gpa2',)	0.0123	0.54	0.54	0.63513514	74.0
						(2.8, 4.0)	(1.0, 2.0)		('dom_pruning',)	0.0135	0.46	0.46	0.67741935	62.0
								(2.7, 3.1)	('gpa1',)	0.0086	0.35	0.35	0.64583333	48.0
