gpa6	gpa2	gpa5	job1	gpa3	gpa4	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(2.9, 3.9)	(2.7, 3.4)					('gpa6', 'gpa2')	0.019	0.39	0.39	0.79245283	53.0
(2.9, 3.9)	(2.8, 3.4)					('gpa6', 'gpa2', 'gpa2')	0.0178	0.3	0.3	0.85365854	41.0
(2.8, 3.9)	(2.8, 3.4)				(2.7, 3.7)	('gpa6', 'gpa4', 'gpa2')	0.0178	0.32	0.32	0.8372093	43.0
(3.0, 3.9)						('gpa6', 'gpa6')	0.0172	0.47	0.47	0.71875	64.0
(2.9, 3.9)					(2.6, 3.7)	('gpa4', 'gpa6')	0.0165	0.58	0.58	0.67088608	79.0
	(2.7, 3.4)	(2.7, 3.7)	(2.0, 2.0)			('gpa5', 'gpa2', 'job1')	0.0184	0.43	0.43	0.75862069	58.0
		(2.8, 3.7)	(2.0, 2.0)			('gpa5', 'gpa5', 'job1')	0.0184	0.62	0.62	0.67857143	84.0
		(2.8, 3.7)	(2.0, 3.0)	(2.7, 3.5)		('gpa3', 'gpa5', 'job1')	0.0178	0.51	0.51	0.71014493	69.0
		(2.7, 3.7)		(2.7, 3.5)		('gpa5', 'gpa3', 'gpa3')	0.0178	0.52	0.52	0.70422535	71.0
		(2.9, 3.7)	(2.0, 3.0)			('gpa5', 'job1')	0.0165	0.54	0.54	0.68493151	73.0
