gpa6	gpa2	gpa5	job1	gpa3	job6	highgpa	gpa4	literal_order	varphi	size_id	size_rows	suppclass	nrrows
(2.9, 3.9)	(2.7, 3.4)							('gpa6', 'gpa2')	0.019	0.39	0.39	0.79245283	53.0
(2.8, 3.9)								('gpa6',)	0.011	0.76	0.76	0.58653846	104.0
	(2.7, 3.4)							('gpa2',)	0.0123	0.54	0.54	0.63513514	74.0
		(2.8, 3.7)	(2.0, 2.0)					('gpa5', 'gpa5', 'job1')	0.0184	0.62	0.62	0.67857143	84.0
		(2.7, 3.7)			(1.0, 2.0)			('gpa5', 'job6')	0.0153	0.61	0.61	0.65060241	83.0
		(2.7, 3.7)						('gpa5',)	0.0141	0.76	0.76	0.61165049	103.0
			(2.0, 2.0)	(2.7, 3.5)				('gpa3', 'job1', 'job1')	0.0172	0.53	0.53	0.69444444	72.0
			(2.0, 2.0)					('job1',)	0.0067	0.85	0.85	0.54782609	115.0
						(2.8, 4.0)		('highgpa',)	0.0086	0.59	0.59	0.5875	80.0
							(2.6, 3.7)	('gpa4',)	0.0098	0.76	0.76	0.57692308	104.0
