language	NCAnsC	sex	literal_order	varphi	mean_est	se_est	size_id	size_rows
f	1.0	f	('language', 'NCAnsC', 'sex')	38.7	2646.2969	1.5857	0.45454545454545453	0.4340344168260038
f	1.0		('language', 'NCAnsC')	37.5	2678.103	0.7877	0.9025974025974026	0.8650095602294455
f		f	('language', 'sex')	29.7	2662.9029	1.5067	0.461038961038961	0.4608030592734226
s	1.0	f	('language', 'sex', 'NCAnsC')	23.0	3015.3353	13.3712	0.06493506493506493	0.06386233269598471
s		f	('language', 'sex')	22.3	3001.3669	13.162	0.06493506493506493	0.06462715105162524
f			('language',)	21.2	2691.5612	0.7567	0.9090909090909091	0.9097514340344168
s	1.0		('language', 'NCAnsC')	18.5	2883.8855	9.5113	0.09090909090909091	0.08680688336520076
s			('language',)	17.9	2869.4831	9.0483	0.09090909090909091	0.09024856596558317
f	0.0		('language', 'NCAnsC')	13.4	2951.7521	18.26	0.42207792207792205	0.04474187380497132
f		m	('language', 'sex')	8.8	2720.9761	1.5213	0.44805194805194803	0.44894837476099425
f	0.0	f	('language', 'sex', 'NCAnsC')	7.6	2932.1571	29.734	0.22727272727272727	0.02676864244741874
f	0.0	m	('language', 'NCAnsC', 'sex')	5.6	2980.9362	48.6036	0.19480519480519481	0.01797323135755258
	1.0		('NCAnsC',)	14.7	2696.8706	0.7307	0.9935064935064936	0.9518164435946462
	0.0		('NCAnsC',)	12.8	2919.9286	16.6144	0.44805194805194803	0.048183556405353725
	1.0	f	('NCAnsC', 'sex')	9.8	2693.6313	1.4302	0.5194805194805194	0.49789674952198854
	0.0	f	('NCAnsC', 'sex')	6.8	2901.6806	28.6418	0.24025974025974026	0.027533460803059275
	0.0	m	('NCAnsC', 'sex')	5.8	2944.2593	40.6051	0.2077922077922078	0.020650095602294454
	1.0	m	('NCAnsC', 'sex')	4.8	2700.4238	1.4932	0.474025974025974	0.45391969407265775
		m	('sex',)	2.4	2711.0338	1.4427	0.474025974025974	0.4745697896749522
		f	('sex',)	2.3	2704.5335	1.3619	0.525974025974026	0.5254302103250478
