language	NCAnsC	sex	literal_order	varphi	mean_est	se_est	size_id	size_rows
f	1.0	f	('language', 'NCAnsC', 'sex')	38.7	2646.2969	1.5857	0.45454545454545453	0.4340344168260038
f	1.0		('language', 'NCAnsC')	37.5	2678.103	0.7877	0.9025974025974026	0.8650095602294455
f	1.0		('dom_pruning',)	37.5	2678.103	0.7877	0.9025974025974026	0.8650095602294455
s	1.0	f	('language', 'sex', 'NCAnsC')	23.0	3015.3353	13.3712	0.06493506493506493	0.06386233269598471
f		f	('language', 'sex')	29.7	2662.9029	1.5067	0.461038961038961	0.4608030592734226
s		f	('language', 'sex')	22.3	3001.3669	13.162	0.06493506493506493	0.06462715105162524
f		f	('dom_pruning',)	29.7	2662.9029	1.5067	0.461038961038961	0.4608030592734226
s		f	('dom_pruning',)	22.3	3001.3669	13.162	0.06493506493506493	0.06462715105162524
f		f	('dom_pruning',)	29.7	2662.9029	1.5067	0.461038961038961	0.4608030592734226
s	1.0		('language', 'NCAnsC')	18.5	2883.8855	9.5113	0.09090909090909091	0.08680688336520076
f			('language',)	21.2	2691.5612	0.7567	0.9090909090909091	0.9097514340344168
s	1.0		('dom_pruning',)	18.5	2883.8855	9.5113	0.09090909090909091	0.08680688336520076
f			('dom_pruning',)	21.2	2691.5612	0.7567	0.9090909090909091	0.9097514340344168
s			('language',)	17.9	2869.4831	9.0483	0.09090909090909091	0.09024856596558317
f			('dom_pruning',)	21.2	2691.5612	0.7567	0.9090909090909091	0.9097514340344168
s			('dom_pruning',)	17.9	2869.4831	9.0483	0.09090909090909091	0.09024856596558317
f			('dom_pruning',)	21.2	2691.5612	0.7567	0.9090909090909091	0.9097514340344168
s			('dom_pruning',)	17.9	2869.4831	9.0483	0.09090909090909091	0.09024856596558317
f			('dom_pruning',)	21.2	2691.5612	0.7567	0.9090909090909091	0.9097514340344168
s			('dom_pruning',)	17.9	2869.4831	9.0483	0.09090909090909091	0.09024856596558317
