sex	language	literal_order	varphi	mean_est	se_est	size_id	size_rows
m	f	('sex', 'language')	136.8	2715.8635	0.3339	0.4392764857881137	0.4392764857881137
f		('sex',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5348837209302325
f		('dom_pruning',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5348837209302325
f		('dom_pruning',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5348837209302325
m		('sex',)	119.2	2707.8325	0.3159	0.46511627906976744	0.46511627906976744
m		('dom_pruning',)	119.2	2707.8325	0.3159	0.46511627906976744	0.46511627906976744
f	f	('sex', 'language')	107.7	2640.0555	0.2797	0.4844961240310077	0.4844961240310077
f	s	('sex', 'language')	19.9	2614.8333	2.7795	0.050387596899224806	0.050387596899224806
	s	('language',)	37.9	2598.5797	1.8873	0.07622739018087855	0.07622739018087855
	s	('dom_pruning',)	37.9	2598.5797	1.8873	0.07622739018087855	0.07622739018087855
	f	('language',)	37.6	2675.9143	0.1525	0.9237726098191215	0.9237726098191215
	f	('dom_pruning',)	37.6	2675.9143	0.1525	0.9237726098191215	0.9237726098191215
	f	('dom_pruning',)	37.6	2675.9143	0.1525	0.9237726098191215	0.9237726098191215
