sex	language	NCAnsC	literal_order	varphi	mean_est	se_est	size_id	size_rows
m	f		('sex', 'language')	136.8	2715.8635	0.3339	0.4392764857881137	0.4379556442329829
f			('sex',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5371805694114036
m	f	1.0	('sex', 'language', 'NCAnsC')	124.5	2712.8607	0.3428	0.4392764857881137	0.42537027089248713
m			('sex',)	119.2	2707.8325	0.3159	0.46511627906976744	0.4628194305885964
m		1.0	('sex', 'NCAnsC')	110.0	2705.9514	0.3252	0.46511627906976744	0.44885273578389995
f		1.0	('sex', 'NCAnsC')	109.9	2641.2455	0.2632	0.5335917312661499	0.5197605709462052
f	f		('sex', 'language')	107.7	2640.0555	0.2797	0.4844961240310077	0.4879134371882434
f	f	1.0	('sex', 'NCAnsC', 'language')	91.1	2643.7696	0.2898	0.48320413436692505	0.4720282403499348
f	s		('sex', 'language')	19.9	2614.8333	2.7795	0.050387596899224806	0.049267132223160155
f		0.0	('sex', 'NCAnsC')	18.8	2533.2159	7.2898	0.20284237726098192	0.017419998465198372
f	s	1.0	('sex', 'NCAnsC', 'language')	18.7	2616.2846	2.8808	0.050387596899224806	0.04773233059627043
f	f	0.0	('sex', 'language', 'NCAnsC')	17.5	2529.6908	8.0474	0.18604651162790697	0.01588519683830865
m	f	0.0	('sex', 'language', 'NCAnsC')	11.6	2817.3537	12.7258	0.15503875968992248	0.012585373340495741
m		0.0	('sex', 'NCAnsC')	8.8	2768.2857	11.13	0.165374677002584	0.013966694804696493
	f	1.0	('language', 'NCAnsC')	40.3	2676.5191	0.1573	0.9224806201550387	0.8973985112424219
	s		('language',)	37.9	2598.5797	1.8873	0.07622739018087855	0.0741309185787737
	f		('language',)	37.6	2675.9143	0.1525	0.9237726098191215	0.9258690814212263
	s	1.0	('language', 'NCAnsC')	33.1	2604.5819	1.98	0.07622739018087855	0.07121479548768321
		1.0	('NCAnsC',)	7.2	2671.2301	0.1457	0.9987080103359173	0.9686133067301052
		0.0	('NCAnsC',)	7.2	2637.8191	4.4643	0.3682170542635659	0.031386693269894864
