sex	NCAnsC	language	literal_order	varphi	mean_est	se_est	size_id	size_rows
f			('sex',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('sex',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f			('dom_pruning',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('dom_pruning',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f			('dom_pruning',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('dom_pruning',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f			('dom_pruning',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('dom_pruning',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f			('dom_pruning',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('dom_pruning',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f			('dom_pruning',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('dom_pruning',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f			('dom_pruning',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
f	1.0		('sex', 'NCAnsC')	26.2	2693.8459	1.315	0.551948051948052	0.5384021613276727
f	1.0		('dom_pruning',)	26.2	2693.8459	1.315	0.551948051948052	0.5384021613276727
m	1.0		('sex', 'NCAnsC')	19.6	2625.8451	1.7082	0.44805194805194803	0.43110768043226555
f	1.0		('dom_pruning',)	26.2	2693.8459	1.315	0.551948051948052	0.5384021613276727
m	1.0		('dom_pruning',)	19.6	2625.8451	1.7082	0.44805194805194803	0.43110768043226555
f		s	('sex', 'language')	24.7	2940.8674	11.389	0.07142857142857142	0.06985719799305287
f		s	('dom_pruning',)	24.7	2940.8674	11.389	0.07142857142857142	0.06985719799305287
