NCtimeCmean	NCRTinterceptNumDis	grade	NCIES	NCtimeCmedian	literal_order	varphi	mean_est	se_est	size_id	size_rows
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)	(0.0, '3')			('NCtimeCmean', 'NCRTinterceptNumDis', 'grade')	2074.3	2199.9434	0.2267	0.46382428940568476	0.46382428940568476
(514.1176470588235, 1118.4444444444443)		(0.0, '3')	(538.5, 1011.1764705882354)		('NCtimeCmean', 'NCIES', 'grade')	2074.2	2204.0975	0.2247	0.46770025839793283	0.46770025839793283
(514.1176470588235, 1010.6433823529412)	(417.0479041916168, 1189.426149272151)				('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean')	2073.6	2211.7082	0.2211	0.47674418604651164	0.47674418604651164
(514.1176470588235, 1053.1944444444443)		(0.0, '3')	(538.5, 1051.5)		('NCIES', 'grade', 'NCtimeCmean')	2069.5	2194.5999	0.2298	0.4573643410852713	0.4573643410852713
(514.1176470588235, 1118.4444444444443)		(0.0, '3')	(538.5, 997.1470588235295)		('NCtimeCmean', 'grade', 'NCIES')	2063.1	2195.0579	0.2303	0.45478036175710596	0.45478036175710596
(514.1176470588235, 1038.5972222222222)		(0.0, '3')			('NCtimeCmean', 'grade', 'NCtimeCmean')	2056.8	2195.2776	0.2309	0.45478036175710596	0.45478036175710596
(514.1176470588235, 992.9166666666667)	(-373.7200772200774, 1211.3247809543755)				('NCRTinterceptNumDis', 'NCtimeCmean')	2053.2	2207.9979	0.2251	0.46770025839793283	0.46770025839793283
(514.1176470588235, 1048.2916666666667)		(0.0, '3')			('NCtimeCmean', 'NCtimeCmean', 'grade')	2052.2	2204.3385	0.227	0.46511627906976744	0.46511627906976744
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1176.2870196281829)	(0.0, '3')			('NCtimeCmean', 'grade', 'NCRTinterceptNumDis')	2050.6	2198.338	0.2301	0.45478036175710596	0.45478036175710596
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1128.6262808921038)		(538.5, 1011.1764705882354)		('NCtimeCmean', 'NCIES', 'NCRTinterceptNumDis')	2048.8	2216.3631	0.2215	0.4780361757105943	0.4780361757105943
(514.1176470588235, 1004.875)	(-373.7200772200774, 1093.6986027944113)				('NCRTinterceptNumDis', 'NCtimeCmean')	2045.3	2184.8208	0.2373	0.43669250645994834	0.43669250645994834
(514.1176470588235, 1014.5882352941177)		(0.0, '3')			('NCtimeCmean', 'grade')	2043.2	2175.3139	0.2422	0.4289405684754522	0.4289405684754522
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)			(440.0, 941.375)	('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmedian')	2042.8	2215.2543	0.2227	0.47674418604651164	0.47674418604651164
(514.1176470588235, 1053.1944444444443)		(0.0, '3')			('dom_pruning',)	2042.7	2207.0982	0.2267	0.4689922480620155	0.4689922480620155
	(417.0479041916168, 1189.426149272151)			(440.0, 941.375)	('dom_pruning',)	2047.6	2216.2309	0.2217	0.479328165374677	0.479328165374677
	(-373.7200772200774, 1211.3247809543755)			(440.0, 922.5)	('NCRTinterceptNumDis', 'NCtimeCmedian')	2047.3	2210.3593	0.2246	0.46770025839793283	0.46770025839793283
	(-373.7200772200774, 1211.3247809543755)	(0.0, '3')		(440.0, 922.5)	('NCRTinterceptNumDis', 'NCtimeCmedian', 'grade')	2045.0	2152.1805	0.2533	0.4043927648578811	0.4043927648578811
	(-373.7200772200774, 1093.6986027944113)	(0.0, '3')		(440.0, 929.0)	('NCRTinterceptNumDis', 'NCtimeCmedian', 'grade')	2044.7	2133.4485	0.2625	0.38372093023255816	0.38372093023255816
	(-373.7200772200774, 1093.6986027944113)			(440.0, 929.0)	('NCRTinterceptNumDis', 'NCtimeCmedian')	2036.2	2188.0051	0.2368	0.437984496124031	0.437984496124031
	(417.0479041916168, 1099.848088192473)	(0.0, '3')		(440.0, 924.0)	('NCtimeCmedian', 'NCRTinterceptNumDis', 'grade')	2035.6	2133.3845	0.2637	0.38242894056847543	0.38242894056847543
