NCTime	grade	NCCor	NCAns	NCNumDis	NCAnsC	literal_order	varphi	mean_est	se_est	size_id	size_rows
(168.0, 1085.0)	(0.0, '3')					('NCTime', 'grade', 'NCTime')	1750.4	2278.7841	0.2236	0.6937984496124031	0.5047195150026859
(168.0, 1060.0)	(0.0, '3')					('NCTime', 'grade', 'NCTime')	1745.3	2268.9273	0.2299	0.6925064599483204	0.4895249788964776
(168.0, 1070.0)	(0.0, '3')					('NCTime', 'grade')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')	(3.0, 9.0)				('NCTime', 'grade', 'NCCor')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')		(1.0, 9.0)			('NCTime', 'grade', 'NCAns')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')			(1.0, 8.0)		('NCTime', 'grade', 'NCNumDis')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1031.0)	(0.0, '3')					('grade', 'NCTime', 'NCTime')	1729.2	2261.5635	0.2363	0.689922480620155	0.470953879211112
(168.0, 999.0)	(0.0, '3')					('grade', 'NCTime')	1710.9	2248.7782	0.2463	0.6834625322997416	0.4484690353771775
(168.0, 999.0)	(0.0, '3')	(3.0, 9.0)				('grade', 'NCTime', 'NCCor')	1710.9	2248.7782	0.2463	0.6834625322997416	0.4484690353771775
(168.0, 999.0)	(0.0, '3')		(1.0, 9.0)			('grade', 'NCTime', 'NCAns')	1710.9	2248.7782	0.2463	0.6834625322997416	0.4484690353771775
(168.0, 999.0)	(0.0, '3')			(1.0, 8.0)		('grade', 'NCTime', 'NCNumDis')	1710.9	2248.7782	0.2463	0.6834625322997416	0.4484690353771775
(168.0, 1006.0)	(0.0, '3')					('NCTime', 'NCTime', 'grade')	1709.4	2253.0861	0.244	0.686046511627907	0.4528432200138132
(168.0, 1146.0)	(0.0, '3')					('grade', 'NCTime')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 1146.0)	(0.0, '3')	(3.0, 9.0)				('grade', 'NCTime', 'NCCor')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 1146.0)	(0.0, '3')		(1.0, 9.0)			('grade', 'NCTime', 'NCAns')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 1146.0)	(0.0, '3')			(1.0, 8.0)		('grade', 'NCTime', 'NCNumDis')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 1070.0)	(0.0, '3')				1.0	('NCTime', 'grade', 'NCAnsC')	1696.0	2272.307	0.2346	0.689922480620155	0.4781674468574937
(168.0, 992.0)	(0.0, '3')					('NCTime', 'NCTime', 'grade')	1694.3	2246.4476	0.2501	0.6834625322997416	0.44202286854424067
(168.0, 991.0)	(0.0, '3')					('NCTime', 'NCTime', 'grade')	1692.5	2246.0513	0.2506	0.6834625322997416	0.44125546773079577
(168.0, 1173.0)	(0.0, '3')					('grade', 'NCTime', 'NCTime')	1680.4	2316.2846	0.2106	0.7028423772609819	0.5493055022638323
