NCTime	grade	NCAnsC	NCNumDis	NCStimR	literal_order	varphi	mean_est	se_est	size_id	size_rows
(168.0, 1085.0)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1750.4	2278.7841	0.2236	0.6937984496124031	0.5047195150026859
(168.0, 1060.0)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1745.3	2268.9273	0.2299	0.6925064599483204	0.4895249788964776
(168.0, 1108.0)	(0.0, '3')				('NCTime', 'NCTime', 'grade')	1743.6	2286.9365	0.2198	0.6976744186046512	0.5173048883431817
(168.0, 1070.0)	(0.0, '3')				('NCTime', 'grade')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1031.0)	(0.0, '3')				('grade', 'NCTime', 'NCTime')	1729.2	2261.5635	0.2363	0.689922480620155	0.470953879211112
(168.0, 999.0)	(0.0, '3')				('grade', 'NCTime')	1710.9	2248.7782	0.2463	0.6834625322997416	0.4484690353771775
(168.0, 1006.0)	(0.0, '3')				('NCTime', 'NCTime', 'grade')	1709.4	2253.0861	0.244	0.686046511627907	0.4528432200138132
(168.0, 1146.0)	(0.0, '3')				('grade', 'NCTime')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 1070.0)	(0.0, '3')	1.0			('NCTime', 'grade', 'NCAnsC')	1696.0	2272.307	0.2346	0.689922480620155	0.4781674468574937
(168.0, 992.0)	(0.0, '3')				('NCTime', 'NCTime', 'grade')	1694.3	2246.4476	0.2501	0.6834625322997416	0.44202286854424067
(168.0, 991.0)	(0.0, '3')				('NCTime', 'NCTime', 'grade')	1692.5	2246.0513	0.2506	0.6834625322997416	0.44125546773079577
(168.0, 1173.0)	(0.0, '3')				('grade', 'NCTime', 'NCTime')	1680.4	2316.2846	0.2106	0.7028423772609819	0.5493055022638323
(168.0, 999.0)	(0.0, '3')	1.0			('grade', 'NCTime', 'NCAnsC')	1673.1	2245.8809	0.2536	0.6782945736434108	0.4310490369119791
(168.0, 1146.0)	(0.0, '3')	1.0			('grade', 'NCTime', 'NCAnsC')	1666.1	2303.8015	0.2199	0.6950904392764858	0.5188396899700713
(168.0, 978.0)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1665.0	2244.4458	0.2557	0.6770025839793282	0.4328907988642468
(168.0, 1224.0)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1664.7	2330.246	0.2042	0.7041343669250646	0.5706392448775995
(168.0, 980.375)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1661.0	2246.2867	0.2552	0.6770025839793282	0.43442560049113654
(168.0, 1070.0)	(0.0, '3')		(1.0, 7.0)		('NCTime', 'grade', 'NCNumDis')	1655.0	2273.9801	0.2394	0.6925064599483204	0.47425370270892486
(168.0, 1070.0)	(0.0, '3')			(2.0, 9.0)	('NCTime', 'grade', 'NCStimR')	1651.3	2276.8422	0.2382	0.6937984496124031	0.47655590514925944
(168.0, 941.0)	(0.0, '3')				('grade', 'NCTime', 'NCTime')	1647.2	2224.2946	0.2707	0.6692506459948321	0.40372956795334203
