NCTime	grade	NCCor	NCAns	NCNumDis	literal_order	varphi	mean_est	se_est	size_id	size_rows
(168.0, 1085.0)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1750.4	2278.7841	0.2236	0.6937984496124031	0.5047195150026859
(168.0, 1060.0)	(0.0, '3')				('NCTime', 'grade', 'NCTime')	1745.3	2268.9273	0.2299	0.6925064599483204	0.4895249788964776
(168.0, 1108.0)	(0.0, '3')				('NCTime', 'NCTime', 'grade')	1743.6	2286.9365	0.2198	0.6976744186046512	0.5173048883431817
(168.0, 1070.0)	(0.0, '3')				('NCTime', 'grade')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')	(3.0, 9.0)			('NCTime', 'grade', 'NCCor')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')		(1.0, 9.0)		('NCTime', 'grade', 'NCAns')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')			(1.0, 8.0)	('NCTime', 'grade', 'NCNumDis')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')				('dom_pruning',)	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')				('dom_pruning',)	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1070.0)	(0.0, '3')				('dom_pruning',)	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1031.0)	(0.0, '3')				('grade', 'NCTime', 'NCTime')	1729.2	2261.5635	0.2363	0.689922480620155	0.470953879211112
(168.0, 1146.0)	(0.0, '3')				('grade', 'NCTime')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 1146.0)	(0.0, '3')	(3.0, 9.0)			('grade', 'NCTime', 'NCCor')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
	(1.0, '3')				('grade',)	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
	(1.0, '3')	(3.0, 9.0)			('grade', 'NCCor')	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
	(1.0, '3')		(1.0, 9.0)		('grade', 'NCAns')	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
	(1.0, '3')			(1.0, 8.0)	('grade', 'NCNumDis')	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
	(1.0, '3')	(3.0, 9.0)			('grade', 'NCCor', 'NCCor')	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
	(1.0, '3')	(3.0, 9.0)	(1.0, 9.0)		('grade', 'NCCor', 'NCAns')	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
	(1.0, '3')	(3.0, 9.0)		(1.0, 8.0)	('grade', 'NCCor', 'NCNumDis')	898.1	3194.1957	0.5835	0.2842377260981912	0.28278719975443173
