NCTime	grade	NCAnsC	NCStimR	NCNumDis	NCStimL	literal_order	varphi	mean_est	se_est	size_id	size_rows
(168.0, 1085.0)	(0.0, '3')					('NCTime', 'grade', 'NCTime')	1750.4	2278.7841	0.2236	0.6937984496124031	0.5047195150026859
(168.0, 1060.0)	(0.0, '3')					('NCTime', 'grade', 'NCTime')	1745.3	2268.9273	0.2299	0.6925064599483204	0.4895249788964776
(168.0, 1108.0)	(0.0, '3')					('NCTime', 'NCTime', 'grade')	1743.6	2286.9365	0.2198	0.6976744186046512	0.5173048883431817
(168.0, 1070.0)	(0.0, '3')					('NCTime', 'grade')	1738.8	2274.2612	0.2277	0.6937984496124031	0.49650832629882585
(168.0, 1031.0)	(0.0, '3')					('grade', 'NCTime', 'NCTime')	1729.2	2261.5635	0.2363	0.689922480620155	0.470953879211112
(168.0, 1146.0)	(0.0, '3')					('grade', 'NCTime')	1704.5	2306.0996	0.2136	0.6989664082687338	0.5380247103061929
(168.0, 999.0)	(0.0, '3')					('grade', 'NCTime')	1710.9	2248.7782	0.2463	0.6834625322997416	0.4484690353771775
(168.0, 991.0)						('NCTime', 'NCTime')	1359.7	2369.5475	0.2211	0.9263565891472868	0.5470800399048423
(168.0, 1070.0)						('NCTime',)	1342.6	2406.0999	0.1967	0.9521963824289406	0.6259688435269741
(168.0, 1108.0)						('NCTime', 'NCTime')	1324.1	2421.1207	0.1881	0.962532299741602	0.6568183562274577
(168.0, 949.0)						('NCTime',)	1354.5	2345.2325	0.2399	0.9043927648578811	0.500959251016806
(168.0, 992.0)						('NCTime', 'NCTime')	1344.1	2372.2015	0.2217	0.9276485788113695	0.5483846212876986
(168.0, 1173.0)	(0.0, '3')					('grade', 'NCTime', 'NCTime')	1680.4	2316.2846	0.2106	0.7028423772609819	0.5493055022638323
(168.0, 1070.0)		1.0				('NCTime', 'NCAnsC')	1309.3	2402.9483	0.2041	0.9470284237726099	0.601335277415394
(168.0, 1006.0)						('NCTime', 'NCTime')	1332.9	2381.8787	0.2163	0.9302325581395349	0.5631187169058399
(168.0, 1070.0)			(2.0, 9.0)			('NCTime', 'NCStimR')	1297.3	2404.2445	0.205	0.9470284237726099	0.5984958944056481
(168.0, 1070.0)				(1.0, 7.0)		('NCTime', 'NCNumDis')	1290.0	2404.0478	0.2063	0.9483204134366925	0.5969610927787583
(168.0, 1241.0)	(0.0, '3')					('NCTime', 'grade')	1643.4	2336.9034	0.2028	0.7067183462532299	0.576701711303814
(168.0, 949.0)		1.0				('NCTime', 'NCAnsC')	1330.1	2338.5848	0.2493	0.8953488372093024	0.4789348476709385
(168.0, 1070.0)					(1.0, 8.0)	('NCTime', 'NCStimL')	1270.1	2400.152	0.2126	0.9483204134366925	0.5773923720359143
