NCTime10	grade	NCTime2	NCTime3	NCAnsC12	NCTime1	NCTime13	NCAnsC1	NCTime4	NCTime17	NCTime11	NCTime7	NCAns1	NCTime6	NCAns7	NCAns14	literal_order	varphi	mean_est	se_est	size_id	size_rows
(379.0, 1012.25)	(0.0, '3')	(434.0, 1274.25)														('NCTime10', 'grade', 'NCTime2')	1922.8	2197.9405	0.2456	0.4405684754521964	0.4405684754521964
(379.0, 1012.25)	(0.0, '3')		(366.0, 1112.375)													('NCTime10', 'grade', 'NCTime3')	1913.5	2202.913	0.2442	0.4405684754521964	0.4405684754521964
(379.0, 1072.75)	(0.0, '3')		(366.0, 1060.25)													('NCTime3', 'grade', 'NCTime10')	1884.2	2207.2297	0.2457	0.43669250645994834	0.43669250645994834
(379.0, 1012.25)	(0.0, '3')												(362.0, 1121.875)			('NCTime10', 'grade', 'NCTime6')	1884.2	2207.2212	0.2457	0.4405684754521964	0.4405684754521964
	(0.0, '3')		(366.0, 1060.25)	(1.0, 1.0)												('NCTime3', 'grade', 'NCAnsC12')	1915.0	2243.7071	0.2227	0.4806201550387597	0.4806201550387597
	(0.0, '3')				(168.0, 1736.625)	(366.0, 1125.0)										('NCTime1', 'grade', 'NCTime13')	1904.5	2220.7262	0.236	0.44573643410852715	0.44573643410852715
	(0.0, '3')		(366.0, 1060.25)				(1.0, 1.0)									('NCTime3', 'grade', 'NCAnsC1')	1903.6	2251.1973	0.2201	0.4909560723514212	0.4909560723514212
	(0.0, '3')		(366.0, 1060.25)					(424.0, 1141.75)								('NCTime3', 'NCTime4', 'grade')	1901.9	2223.2317	0.235	0.45219638242894056	0.45219638242894056
	(0.0, '3')		(366.0, 1060.25)						(409.0, 1144.0)							('NCTime3', 'grade', 'NCTime17')	1899.4	2211.4849	0.2415	0.437984496124031	0.437984496124031
	(0.0, '3')				(168.0, 1736.625)					(391.0, 1218.5)						('NCTime1', 'NCTime11', 'grade')	1898.3	2232.4365	0.2306	0.46124031007751937	0.46124031007751937
	(0.0, '3')				(168.0, 1736.625)				(409.0, 1181.0)							('NCTime1', 'grade', 'NCTime17')	1897.9	2224.3559	0.2349	0.4444444444444444	0.4444444444444444
	(0.0, '3')				(168.0, 1736.625)						(300.0, 1256.0)					('NCTime1', 'grade', 'NCTime7')	1896.6	2220.6767	0.237	0.4444444444444444	0.4444444444444444
	(0.0, '3')				(168.0, 1785.25)						(300.0, 1076.125)					('NCTime7', 'NCTime1', 'grade')	1895.9	2180.0918	0.2585	0.3992248062015504	0.3992248062015504
	(0.0, '3')		(366.0, 1060.25)									(0.0, '1')				('NCTime3', 'grade', 'NCAns1')	1895.8	2255.7512	0.2186	0.49870801033591733	0.49870801033591733
	(0.0, '3')	(434.0, 1202.25)	(366.0, 1060.25)													('NCTime3', 'grade', 'NCTime2')	1886.6	2214.5636	0.2415	0.43669250645994834	0.43669250645994834
	(0.0, '3')			(1.0, 1.0)	(168.0, 1736.625)											('NCTime1', 'grade', 'NCAnsC12')	1885.8	2265.8598	0.2144	0.49483204134366926	0.49483204134366926
	(0.0, '3')		(366.0, 1060.25)											(0.0, '2')		('NCTime3', 'grade', 'NCAns7')	1883.4	2256.9616	0.2194	0.4974160206718346	0.4974160206718346
	(0.0, '3')				(168.0, 1736.625)					(391.0, 1163.0)						('NCTime1', 'grade', 'NCTime11')	1883.1	2221.0647	0.2385	0.4444444444444444	0.4444444444444444
	(0.0, '3')		(366.0, 1060.25)												(0.0, '3')	('NCTime3', 'grade', 'NCAns14')	1882.4	2247.5763	0.2245	0.4806201550387597	0.4806201550387597
		(434.0, 1266.0)						(424.0, 1043.0)	(409.0, 1182.5)							('NCTime4', 'NCTime17', 'NCTime2')	1876.8	2248.6601	0.2246	0.4806201550387597	0.4806201550387597
