NCTime3	grade	NCAnsC12	NCTime1	NCTime13	NCTime4	NCTime17	NCTime2	NCAnsC1	NCTime11	NCTime9	NCTime10	NCTime7	NCTime6	NCTime5	NCAns1	NCTime8	NCStimL7	NCAns11	NCAns12	literal_order	varphi	mean_est	se_est	size_id	size_rows
(366.0, 1060.25)	(0.0, '3')	(1.0, 1.0)																		('NCTime3', 'grade', 'NCAnsC12')	1915.0	2243.7071	0.2227	0.4806201550387597	0.4806201550387597
(366.0, 1060.25)	(0.0, '3')							(1.0, 1.0)												('NCTime3', 'grade', 'NCAnsC1')	1903.6	2251.1973	0.2201	0.4909560723514212	0.4909560723514212
(848.25, 9128.0)					(922.5, 13966.0)						(783.25, 7045.0)									('NCTime4', 'NCTime10', 'NCTime3')	1195.8	3177.0825	0.4239	0.38113695090439276	0.38113695090439276
(366.0, 1060.25)	(0.0, '3')														(0.0, '1')					('NCTime3', 'grade', 'NCAns1')	1895.8	2255.7512	0.2186	0.49870801033591733	0.49870801033591733
(840.0, 9128.0)												(806.5, 5947.0)				(928.0, 13724.0)				('NCTime8', 'NCTime7', 'NCTime3')	1190.3	3184.5057	0.4321	0.38242894056847543	0.38242894056847543
	(0.0, '3')		(168.0, 1736.625)	(366.0, 1125.0)																('NCTime1', 'grade', 'NCTime13')	1904.5	2220.7262	0.236	0.44573643410852715	0.44573643410852715
	(0.0, '3')	(1.0, 1.0)	(168.0, 1736.625)																	('NCTime1', 'grade', 'NCAnsC12')	1885.8	2265.8598	0.2144	0.49483204134366926	0.49483204134366926
		(1.0, 1.0)	(168.0, 1736.625)						(391.0, 1218.5)											('NCTime1', 'NCTime11', 'NCAnsC12')	1811.1	2297.0973	0.206	0.5297157622739018	0.5297157622739018
			(168.0, 1736.625)			(409.0, 1182.75)			(391.0, 1218.5)											('NCTime1', 'NCTime11', 'NCTime17')	1868.4	2252.2106	0.2237	0.4780361757105943	0.4780361757105943
			(1388.0, 11958.0)			(915.0, 4932.0)						(796.0, 5947.0)								('NCTime17', 'NCTime7', 'NCTime1')	1161.0	3268.674	0.5155	0.32945736434108525	0.32945736434108525
			(1361.0, 11958.0)		(922.5, 13966.0)													(0.0, '3')		('NCTime4', 'NCTime1', 'NCAns11')	1147.9	3196.7191	0.4587	0.36175710594315247	0.36175710594315247
			(1313.0, 11958.0)								(900.5, 7045.0)							(0.0, '3')		('NCTime10', 'NCTime1', 'NCAns11')	1156.5	3191.874	0.4511	0.3643410852713178	0.3643410852713178
					(424.0, 1043.0)	(409.0, 1182.5)	(434.0, 1266.0)													('NCTime4', 'NCTime17', 'NCTime2')	1876.8	2248.6601	0.2246	0.4806201550387597	0.4806201550387597
					(424.0, 1043.0)	(409.0, 1182.5)				(360.0, 1105.0)										('NCTime4', 'NCTime17', 'NCTime9')	1836.4	2256.437	0.2253	0.4806201550387597	0.4806201550387597
					(424.0, 1043.0)	(409.0, 1182.5)											(2.0, 9.0)			('NCTime4', 'NCTime17', 'NCStimL7')	1782.2	2292.3484	0.212	0.520671834625323	0.520671834625323
					(922.5, 13966.0)						(783.25, 7045.0)	(876.375, 9977.0)								('NCTime4', 'NCTime10', 'NCTime7')	1178.6	3170.2589	0.4243	0.38113695090439276	0.38113695090439276
					(424.0, 1043.0)	(409.0, 1182.5)										(367.0, 1095.0)				('NCTime4', 'NCTime17', 'NCTime8')	1824.9	2258.3127	0.2257	0.4806201550387597	0.4806201550387597
							(434.0, 1282.5)									(367.0, 928.0)			(0.0, '2')	('NCTime8', 'NCTime2', 'NCAns12')	1738.7	2240.9083	0.2469	0.4354005167958656	0.4354005167958656
								(1.0, 1.0)			(379.0, 967.0)	(300.0, 1076.125)								('NCTime7', 'NCTime10', 'NCAnsC1')	1759.9	2250.0875	0.2387	0.4625322997416021	0.4625322997416021
												(300.0, 1076.125)	(353.0, 1150.625)	(376.0, 1102.5)						('NCTime7', 'NCTime6', 'NCTime5')	1763.9	2265.1882	0.2296	0.4780361757105943	0.4780361757105943
