NCTime3	grade	NCAnsC12	NCTime1	NCTime13	NCTime4	NCTime17	NCTime2	NCAnsC1	NCAns1	NCTime11	NCTime7	NCTime10	NCTime6	NCTime15	NCTime5	literal_order	varphi	mean_est	se_est	size_id	size_rows
(366.0, 1060.25)	(0.0, '3')	(1.0, 1.0)														('NCTime3', 'grade', 'NCAnsC12')	1915.0	2243.7071	0.2227	0.4806201550387597	0.4806201550387597
(366.0, 1060.25)	(0.0, '3')							(1.0, 1.0)								('NCTime3', 'grade', 'NCAnsC1')	1903.6	2251.1973	0.2201	0.4909560723514212	0.4909560723514212
(366.0, 1060.25)	(0.0, '3')								(0.0, '1')							('NCTime3', 'grade', 'NCAns1')	1895.8	2255.7512	0.2186	0.49870801033591733	0.49870801033591733
(366.0, 1162.25)					(424.0, 1043.0)											('NCTime4', 'NCTime3')	1703.4	2320.3088	0.2054	0.5490956072351422	0.5490956072351422
(366.0, 1060.25)					(424.0, 1141.75)											('NCTime3', 'NCTime4')	1709.7	2314.8963	0.2078	0.5465116279069767	0.5465116279069767
	(0.0, '3')		(168.0, 1736.625)	(366.0, 1125.0)												('NCTime1', 'grade', 'NCTime13')	1904.5	2220.7262	0.236	0.44573643410852715	0.44573643410852715
	(0.0, '3')	(1.0, 1.0)	(168.0, 1736.625)													('NCTime1', 'grade', 'NCAnsC12')	1885.8	2265.8598	0.2144	0.49483204134366926	0.49483204134366926
	(0.0, '3')		(168.0, 1736.625)					(1.0, 1.0)								('NCTime1', 'grade', 'NCAnsC1')	1870.2	2270.156	0.2139	0.5	0.5
	(0.0, '3')		(168.0, 1736.625)													('NCTime1', 'grade')	1824.5	2280.2877	0.2137	0.5077519379844961	0.5077519379844961
	(0.0, '3')			(366.0, 1125.0)												('dom_pruning',)	1577.5	2345.3677	0.2059	0.5801033591731266	0.5801033591731266
		(1.0, 1.0)	(168.0, 1736.625)													('dom_pruning',)	1427.4	2393.828	0.1936	0.6085271317829457	0.6085271317829457
			(168.0, 1736.625)							(391.0, 1218.5)						('NCTime1', 'NCTime11')	1741.7	2313.999	0.2045	0.5465116279069767	0.5465116279069767
					(424.0, 1043.0)	(409.0, 1182.5)	(434.0, 1266.0)									('NCTime4', 'NCTime17', 'NCTime2')	1876.8	2248.6601	0.2246	0.4806201550387597	0.4806201550387597
					(424.0, 1043.0)	(409.0, 1182.5)										('NCTime4', 'NCTime17')	1742.2	2309.71	0.2069	0.5490956072351422	0.5490956072351422
						(409.0, 1181.625)					(300.0, 1076.125)					('NCTime7', 'NCTime17')	1652.3	2318.2397	0.213	0.5465116279069767	0.5465116279069767
						(409.0, 1182.5)	(434.0, 1266.0)									('dom_pruning',)	1532.2	2371.4103	0.195	0.6111111111111112	0.6111111111111112
											(300.0, 1076.125)	(379.0, 967.0)				('NCTime7', 'NCTime10')	1727.8	2259.4871	0.2377	0.4702842377260982	0.4702842377260982
											(300.0, 1076.125)		(353.0, 1150.625)			('NCTime7', 'NCTime6')	1651.8	2320.6589	0.2116	0.5465116279069767	0.5465116279069767
												(379.0, 967.0)				('dom_pruning',)	1491.6	2358.4298	0.209	0.582687338501292	0.582687338501292
														(358.0, 919.0)	(376.0, 1150.5)	('NCTime15', 'NCTime5')	1654.2	2254.4906	0.2513	0.43669250645994834	0.43669250645994834
