NCtimeCmean	NCRTinterceptNumDis	grade	NCIES	NCAnsCsum	NCPreOrdmax	NCAnsCprop	literal_order	varphi	mean_est	se_est	size_id	size_rows
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)	(0.0, '3')					('NCtimeCmean', 'NCRTinterceptNumDis', 'grade')	2074.3	2199.9434	0.2267	0.46382428940568476	0.46382428940568476
(514.1176470588235, 1010.6433823529412)	(417.0479041916168, 1189.426149272151)						('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean')	2073.6	2211.7082	0.2211	0.47674418604651164	0.47674418604651164
(514.1176470588235, 1053.1944444444443)		(0.0, '3')	(538.5, 1051.5)				('NCIES', 'grade', 'NCtimeCmean')	2069.5	2194.5999	0.2298	0.4573643410852713	0.4573643410852713
(514.1176470588235, 1118.4444444444443)		(0.0, '3')	(538.5, 997.1470588235295)				('NCtimeCmean', 'grade', 'NCIES')	2063.1	2195.0579	0.2303	0.45478036175710596	0.45478036175710596
(514.1176470588235, 1038.5972222222222)		(0.0, '3')					('NCtimeCmean', 'grade', 'NCtimeCmean')	2056.8	2195.2776	0.2309	0.45478036175710596	0.45478036175710596
(514.1176470588235, 992.9166666666667)	(-373.7200772200774, 1211.3247809543755)						('NCRTinterceptNumDis', 'NCtimeCmean')	2053.2	2207.9979	0.2251	0.46770025839793283	0.46770025839793283
(514.1176470588235, 992.9166666666667)	(-373.7200772200774, 1211.3247809543755)			(13.0, 18.0)			('NCRTinterceptNumDis', 'NCtimeCmean', 'NCAnsCsum')	2053.2	2207.9979	0.2251	0.46770025839793283	0.46770025839793283
(514.1176470588235, 992.9166666666667)	(-373.7200772200774, 1211.3247809543755)				(18.0, 18.0)		('NCRTinterceptNumDis', 'NCtimeCmean', 'NCPreOrdmax')	2053.2	2207.9979	0.2251	0.46770025839793283	0.46770025839793283
(514.1176470588235, 992.9166666666667)	(-373.7200772200774, 1211.3247809543755)					(0.7222222222222222, 1.0)	('NCRTinterceptNumDis', 'NCtimeCmean', 'NCAnsCprop')	2053.2	2207.9979	0.2251	0.46770025839793283	0.46770025839793283
(514.1176470588235, 992.9166666666667)	(-373.7200772200774, 1211.3247809543755)						('dom_pruning',)	2053.2	2207.9979	0.2251	0.46770025839793283	0.46770025839793283
