NCtimeCmean	NCIES	grade	NCRTinterceptNumDis	literal_order	varphi	mean_est	se_est	size_id	size_rows
(514.1176470588235, 1263.5)	(538.5, 1091.8786764705883)	(0.0, '3')		('NCtimeCmean', 'NCIES', 'grade')	2077.3	2252.0192	0.2013	0.5361757105943152	0.5361757105943152
(514.1176470588235, 1010.6433823529412)			(417.0479041916168, 1189.426149272151)	('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean')	2073.6	2211.7082	0.2211	0.47674418604651164	0.47674418604651164
(514.1176470588235, 1062.2083333333335)	(538.5, 972.328125)			('NCtimeCmean', 'NCtimeCmean', 'NCIES')	2062.1	2222.0882	0.2173	0.4909560723514212	0.4909560723514212
(514.1176470588235, 1263.5)	(538.5, 1054.5)	(0.0, '3')		('NCtimeCmean', 'grade', 'NCIES')	2071.5	2240.1386	0.2076	0.5167958656330749	0.5167958656330749
(514.1176470588235, 1118.4444444444443)			(417.0479041916168, 1189.426149272151)	('NCtimeCmean', 'NCRTinterceptNumDis')	2021.1	2267.1832	0.1994	0.5452196382428941	0.5452196382428941
(1059.3073529411765, 4497.2)				('dom_pruning',)	1333.0	3163.1376	0.3698	0.4405684754521964	0.4405684754521964
(514.1176470588235, 1062.2083333333335)			(417.0479041916168, 1128.2102864583333)	('NCtimeCmean', 'NCtimeCmean', 'NCRTinterceptNumDis')	2042.4	2228.4005	0.2163	0.4909560723514212	0.4909560723514212
(1059.3073529411765, 4497.2)		(0.0, '6')		('NCtimeCmean', 'grade', 'NCtimeCmean')	1327.1	3197.2999	0.3972	0.4134366925064599	0.4134366925064599
(514.1176470588235, 1048.2916666666667)				('NCtimeCmean', 'NCtimeCmean')	2000.7	2268.2402	0.2009	0.5452196382428941	0.5452196382428941
	(538.5, 1091.8786764705883)	(0.0, '3')		('dom_pruning',)	2063.1	2262.5226	0.1976	0.5503875968992248	0.5503875968992248
