NCtimeCmean	NCRTinterceptNumDis	grade	NCIES	NCRTinterceptNumRatio	literal_order	varphi	mean_est	se_est	size_id	size_rows
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)	(0.0, '3')			('NCtimeCmean', 'NCRTinterceptNumDis', 'grade')	2074.3	2199.9434	0.2267	0.46382428940568476	0.46382428940568476
(514.1176470588235, 1010.6433823529412)	(417.0479041916168, 1189.426149272151)				('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean')	2073.6	2211.7082	0.2211	0.47674418604651164	0.47674418604651164
(514.1176470588235, 1263.5)		(0.0, '3')	(538.5, 1054.5)		('NCtimeCmean', 'grade', 'NCIES')	2071.5	2240.1386	0.2076	0.5167958656330749	0.5167958656330749
(514.1176470588235, 1062.2083333333335)			(538.5, 972.328125)		('NCtimeCmean', 'NCtimeCmean', 'NCIES')	2062.1	2222.0882	0.2173	0.4909560723514212	0.4909560723514212
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)				('NCtimeCmean', 'NCRTinterceptNumDis')	2021.1	2267.1832	0.1994	0.5452196382428941	0.5452196382428941
(514.1176470588235, 1048.2916666666667)					('NCtimeCmean', 'NCtimeCmean')	2000.7	2268.2402	0.2009	0.5452196382428941	0.5452196382428941
(514.1176470588235, 1118.4444444444443)		(0.0, '3')			('NCtimeCmean', 'grade')	2014.2	2251.4205	0.2079	0.520671834625323	0.520671834625323
(514.1176470588235, 1118.4444444444443)			(538.5, 1011.1764705882354)		('NCtimeCmean', 'NCIES')	1990.7	2269.2452	0.2014	0.5465116279069767	0.5465116279069767
(514.1176470588235, 1118.4444444444443)				(305.49037752026436, 1230.4284676204054)	('NCtimeCmean', 'NCRTinterceptNumRatio')	1976.4	2275.8855	0.1995	0.5452196382428941	0.5452196382428941
		(0.0, '3')	(538.5, 1051.5)		('NCIES', 'grade')	2032.4	2250.2801	0.2066	0.5232558139534884	0.5232558139534884
