NCtimeCmean	NCRTinterceptNumDis	grade	NCIES	literal_order	varphi	mean_est	se_est	size_id	size_rows
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)	(0.0, '3')		('NCtimeCmean', 'NCRTinterceptNumDis', 'grade')	2074.3	2199.9434	0.2267	0.46382428940568476	0.46382428940568476
(514.1176470588235, 1010.6433823529412)	(417.0479041916168, 1189.426149272151)			('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean')	2073.6	2211.7082	0.2211	0.47674418604651164	0.47674418604651164
(514.1176470588235, 1263.5)		(0.0, '3')	(538.5, 1054.5)	('NCtimeCmean', 'grade', 'NCIES')	2071.5	2240.1386	0.2076	0.5167958656330749	0.5167958656330749
(514.1176470588235, 1062.2083333333335)			(538.5, 972.328125)	('NCtimeCmean', 'NCtimeCmean', 'NCIES')	2062.1	2222.0882	0.2173	0.4909560723514212	0.4909560723514212
(514.1176470588235, 1118.4444444444443)	(417.0479041916168, 1189.426149272151)			('NCtimeCmean', 'NCRTinterceptNumDis')	2021.1	2267.1832	0.1994	0.5452196382428941	0.5452196382428941
(514.1176470588235, 1263.5)		(0.0, '3')		('dom_pruning',)	1940.2	2303.0931	0.1892	0.5904392764857881	0.5904392764857881
(514.1176470588235, 1048.2916666666667)				('NCtimeCmean', 'NCtimeCmean')	2000.7	2268.2402	0.2009	0.5452196382428941	0.5452196382428941
(514.1176470588235, 1118.4444444444443)				('dom_pruning',)	1878.2	2330.0337	0.1811	0.624031007751938	0.624031007751938
(514.1176470588235, 1263.5)			(538.5, 1054.5)	('dom_pruning',)	1881.9	2323.1598	0.1844	0.6188630490956072	0.6188630490956072
		(0.0, '3')	(538.5, 1054.5)	('dom_pruning',)	2051.6	2249.3913	0.2051	0.5271317829457365	0.5271317829457365
