sex	language	NCAnsC	literal_order	varphi	mean_est	se_est	size_id	size_rows
m	f		('sex', 'language')	136.8	2715.8635	0.3339	0.4392764857881137	0.4379556442329829
f			('sex',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5371805694114036
m	f	1.0	('sex', 'language', 'NCAnsC')	124.5	2712.8607	0.3428	0.4392764857881137	0.42537027089248713
f		1.0	('sex', 'NCAnsC')	109.9	2641.2455	0.2632	0.5335917312661499	0.5197605709462052
m			('sex',)	119.2	2707.8325	0.3159	0.46511627906976744	0.4628194305885964
f	f		('sex', 'language')	107.7	2640.0555	0.2797	0.4844961240310077	0.4879134371882434
m		1.0	('sex', 'NCAnsC')	110.0	2705.9514	0.3252	0.46511627906976744	0.44885273578389995
f	f	1.0	('sex', 'NCAnsC', 'language')	91.1	2643.7696	0.2898	0.48320413436692505	0.4720282403499348
	s		('language',)	37.9	2598.5797	1.8873	0.07622739018087855	0.0741309185787737
	s	1.0	('language', 'NCAnsC')	33.1	2604.5819	1.98	0.07622739018087855	0.07121479548768321
