sex	language	NCAnsC	literal_order	varphi	mean_est	se_est	size_id	size_rows
m	f		('sex', 'language')	136.8	2715.8635	0.3339	0.4392764857881137	0.4379556442329829
f			('sex',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5371805694114036
m	f		('dom_pruning',)	136.8	2715.8635	0.3339	0.4392764857881137	0.4379556442329829
f			('dom_pruning',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5371805694114036
m			('sex',)	119.2	2707.8325	0.3159	0.46511627906976744	0.4628194305885964
f			('dom_pruning',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5371805694114036
m			('dom_pruning',)	119.2	2707.8325	0.3159	0.46511627906976744	0.4628194305885964
f			('dom_pruning',)	127.7	2637.7423	0.2541	0.5348837209302325	0.5371805694114036
m			('dom_pruning',)	119.2	2707.8325	0.3159	0.46511627906976744	0.4628194305885964
f		1.0	('sex', 'NCAnsC')	109.9	2641.2455	0.2632	0.5335917312661499	0.5197605709462052
