NCtimeCmean	grade	SAPreOrdmax	NCIES	CAtimeCmedian	SSPreOrdmax	NCRTinterceptNumDis	SSAnsCsum	NCtimeCmedian	NCRTinterceptNumRatio	SAAnsCsum	SAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.12)	['4', '5', '6', '7', '8', '9']	(0.51, 1.0)										('NCtimeCmean', 'grade', 'SAPreOrdmax')	24213.21	-inf	0.33	0.33	3.51	0.04	[ 62.15 444.47]	[1038.87 -303.63]	[1.   3.51 9.  ]	[1101.03   62.15  382.32]	71080804930.88077	142287586880.8519	1.21401270123364e-06	3	1	109290694883.62294	71080804930.88077	86293
(0.16, 1.0)												('NCtimeCmean',)	14807.95	14807.95	0.23	0.23	3.17	0.06	[121.54 673.25]	[1736.14  -11.85]	[1.   3.17 9.  ]	[1857.68  121.54  551.71]	218408182883.20847	348675688345.6934	2.8011313125898235e-07	3	1	265857274647.95044	218408182883.20847	61179
(0.0, 0.12)												('NCtimeCmean',)	19835.74	8330.811295448832	0.51	0.51	3.44	0.03	[ 70.41 477.27]	[1093.49 -307.97]	[1.   3.44 9.  ]	[1163.9    70.41  406.86]	148551669383.55698	278538807974.4813	8.979299967043298e-07	3	1	180118028117.87823	148551669383.55698	133389
(0.12, 1.0)												('NCtimeCmean',)	9697.91	5533.164954062665	0.49	0.49	3.25	0.04	[107.04 626.58]	[1552.58 -137.71]	[1.   3.25 9.  ]	[1659.62  107.04  519.54]	366092530978.58093	595643077223.6378	3.49403468183523e-07	3	1	398959902328.03546	366092530978.58093	127914
(0.0, 0.12)				(0.12, 0.14)								('NCtimeCmean', 'CAtimeCmedian')	20870.43	81.69282600000003	0.49	0.49	3.47	0.03	[ 70.06 472.67]	[1084.39 -311.95]	[1.   3.47 9.  ]	[1154.45   70.06  402.61]	136204546545.82317	256677648699.1643	9.316135416765292e-07	3	1	169856168272.47705	136204546545.82317	126890
		(0.5, 1.0)										('SAPreOrdmax',)	14156.31	0.00027979596741065554	0.51	0.51	3.5	0.03	[ 71.87 478.71]	[1137.73 -285.02]	[1.  3.5 9. ]	[1209.6    71.87  406.84]	171080424256.84937	298731048709.65173	7.7190596512513e-07	3	1	198283627422.00812	171080424256.84937	132058
			(0.0, 0.03)									('NCIES',)	19346.31	820.6810606044884	0.5	0.5	3.46	0.03	[ 69.96 475.35]	[1090.56 -313.58]	[1.   3.46 9.  ]	[1160.51   69.96  405.39]	145508160510.84317	269824059702.55188	8.890154307899471e-07	3	1	178023394996.19626	145508160510.84317	129359
			(0.03, 1.0)									('NCIES',)	9127.74	512.6416712356951	0.5	0.5	3.24	0.04	[106.22 623.9 ]	[1541.25 -136.89]	[1.   3.24 9.  ]	[1647.47  106.22  517.68]	369206586513.9624	604714234908.1765	3.573717393446615e-07	3	1	401054535449.71747	369206586513.9624	131944
					(0.0, 0.36)							('SSPreOrdmax',)	11569.43	49.05438320000002	0.25	0.25	3.1	0.05	[116.61 670.94]	[1613.6  -106.97]	[1.  3.1 9. ]	[1730.21  116.61  554.34]	212448434151.9183	351667203182.1659	3.051611100773774e-07	3	1	251150499175.83972	212448434151.9183	64831
						(0.35, 1.0)						('NCRTinterceptNumDis',)	8936.44	32.222971313531716	0.48	0.48	3.25	0.04	[108.65 626.73]	[1540.61 -144.58]	[1.   3.25 9.  ]	[1649.26  108.65  518.08]	351615764579.2043	578246990826.1455	3.585618527396839e-07	3	1	383240719770.7094	351615764579.2043	126076
						(0.0, 0.35)						('NCRTinterceptNumDis',)	16376.51	16.81617021883609	0.52	0.52	3.44	0.03	[ 69.53 479.5 ]	[1110.29 -300.97]	[1.   3.44 9.  ]	[1179.82   69.53  409.97]	166333359191.32632	299283784926.057	8.129878495657267e-07	3	1	195837210675.20404	166333359191.32632	135227
							(0.44, 1.0)					('SSAnsCsum',)	14623.62	3.2042241344889124	0.51	0.51	3.5	0.03	[ 68.19 483.48]	[1160.94 -292.42]	[1.  3.5 9. ]	[1229.13   68.19  415.29]	166375102534.351	296722042337.52075	7.98418741605725e-07	3	1	191212950376.77917	166375102534.351	132837
							(0.0, 0.44)					('SSAnsCsum',)	7831.3	1.831130146596859	0.49	0.49	3.2	0.04	[108.69 620.91]	[1479.78 -160.45]	[1.  3.2 9. ]	[1588.47  108.69  512.23]	362087212893.0541	592082955888.6866	3.5479297645880594e-07	3	1	387864980069.13434	362087212893.0541	128466
								(0.19, 1.0)				('NCtimeCmedian',)	8573.04	0.31126911142268066	0.51	0.51	3.25	0.04	[106.13 621.51]	[1536.06 -140.84]	[1.   3.25 9.  ]	[1642.19  106.13  515.39]	369438782474.71674	605241867414.1409	3.614996755494664e-07	3	1	399591544888.07043	369438782474.71674	133552
								(0.0, 0.19)				('NCtimeCmedian',)	18090.64	0.15480978034762094	0.49	0.49	3.45	0.03	[ 69.52 475.84]	[1090.95 -311.42]	[1.   3.45 9.  ]	[1160.47   69.52  406.32]	147909534008.10345	271311205516.74155	8.637103811915259e-07	3	1	179486385557.8433	147909534008.10345	127751
									(0.38, 1.0)			('NCRTinterceptNumRatio',)	8613.48	0.030187529554368937	0.48	0.48	3.26	0.04	[108.74 626.78]	[1534.25 -152.6 ]	[1.   3.26 9.  ]	[1642.99  108.74  518.04]	348565014483.5502	574672529380.4536	3.611492684844332e-07	3	1	379280095001.4143	348565014483.5502	125884
									(0.0, 0.38)			('NCRTinterceptNumRatio',)	15361.93	0.017255730455985135	0.52	0.52	3.44	0.03	[ 69.5  479.71]	[1116.74 -293.48]	[1.   3.44 9.  ]	[1186.24   69.5   410.2 ]	171230638427.40396	304655317593.3931	7.908572977575687e-07	3	1	199797835444.49933	171230638427.40396	135419
										(0.48, 1.0)		('SAAnsCsum',)	14315.17	0.002957416099843809	0.52	0.52	3.5	0.03	[ 71.98 483.01]	[1144.13 -294.12]	[1.  3.5 9. ]	[1216.11   71.98  411.03]	173624148961.01376	306626262642.2012	7.790736531147701e-07	3	1	199509589834.34348	173624148961.01376	135266
										(0.0, 0.48)		('SAAnsCsum',)	8094.6	0.0007757826563036217	0.48	0.48	3.2	0.04	[105.48 623.72]	[1504.08 -154.4 ]	[1.  3.2 9. ]	[1609.56  105.48  518.25]	351714885895.0483	579044960823.7457	3.583499165218996e-07	3	1	379568340611.5701	351714885895.0483	126037
											(0.71, 1.0)	('SAtimeCmean',)	9749.64	0.0020742034331253166	0.38	0.38	3.16	0.04	[107.88 640.94]	[1544.15 -141.45]	[1.   3.16 9.  ]	[1652.02  107.88  533.06]	294759891190.2495	487256195101.3379	3.3921507975949313e-07	3	1	328027405520.68195	294759891190.2495	99987
