NCtimeCmean	SAtimeCmean	CAAnsCsum	SSAnsCsum	NCRTinterceptNumRatio	CAPreOrdmax	NCtimeCmedian	grade	NCIES	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.23, 1.0)	(0.71, 1.0)									('NCtimeCmean', 'NCtimeCmean', 'SAtimeCmean')	4746111769392.03	-inf	0.05	0.05	2.89	0.23	[125.49 763.43]	[2175.5   328.91]	[1.   2.89 9.  ]	[2300.99  125.49  637.94]	75157551035.76863	111380726119.6582	1.6583829340139344e-07	3	1	110632197904.25195	75157551035.76863	12464
(0.19, 1.0)		(0.0, 0.32)								('NCtimeCmean', 'NCtimeCmean', 'CAAnsCsum')	3911747177530.85	2360308466442.3438	0.1	0.1	2.86	0.13	[ 75.16 729.41]	[2043.75  171.61]	[1.   2.86 9.  ]	[2118.91   75.16  654.25]	117590179411.96136	183105996371.5044	2.1261129224416235e-07	3	1	163274327415.27594	117590179411.96136	25001
(0.16, 1.0)			(0.0, 0.32)							('NCtimeCmean', 'SSAnsCsum')	3223617918031.08	1352675740646.9634	0.12	0.12	2.84	0.11	[ 70.38 712.33]	[1938.05  112.2 ]	[1.   2.84 9.  ]	[2008.43   70.38  641.95]	133933441817.2117	213938644436.01157	2.385289257600077e-07	3	1	179778543330.65598	133933441817.2117	31947
(0.12, 1.0)										('NCtimeCmean',)	735160427549.65	15292985355.59668	0.49	0.49	3.25	0.04	[107.04 626.58]	[1552.58 -137.71]	[1.   3.25 9.  ]	[1659.62  107.04  519.54]	366092530978.5814	595643077223.6378	3.494034681835225e-07	3	1	398959902837.6509	366092530978.5814	127914
(0.0, 0.12)										('NCtimeCmean',)	263465903366.67	5363927964.385209	0.51	0.51	3.44	0.03	[ 70.41 477.27]	[1093.49 -307.97]	[1.   3.44 9.  ]	[1163.9    70.41  406.86]	148551669383.55908	278538807974.4813	8.979299967043171e-07	3	1	180118027608.27155	148551669383.55908	133389
	(0.71, 1.0)									('SAtimeCmean',)	941506684167.2	6687527531.719194	0.38	0.38	3.16	0.04	[107.88 640.94]	[1544.15 -141.45]	[1.   3.16 9.  ]	[1652.02  107.88  533.06]	294759891190.2542	487256195101.3379	3.392150797594877e-07	3	1	328027406348.2549	294759891190.2542	99987
				(0.41, 1.0)						('NCRTinterceptNumRatio',)	1918637354367.78	915528481697.9015	0.24	0.24	3.2	0.05	[126.47 670.58]	[1682.93  -58.71]	[1.  3.2 9. ]	[1809.4   126.47  544.11]	225929651716.72968	361200877529.7986	2.8479218867947966e-07	3	1	269589756778.36258	225929651716.72968	64343
				(0.0, 0.36)						('NCRTinterceptNumRatio',)	373765011189.81	351954239443.44824	0.3	0.3	3.47	0.04	[ 61.73 447.75]	[1041.2  -299.38]	[1.   3.47 9.  ]	[1102.93   61.73  386.02]	79840821663.8522	145938483962.82422	9.784718941008797e-07	3	1	112306404717.6178	79840821663.8522	78122
				(0.38, 1.0)						('NCRTinterceptNumRatio',)	674958325069.62	88491429.68268536	0.48	0.48	3.26	0.04	[108.74 626.78]	[1534.25 -152.6 ]	[1.   3.26 9.  ]	[1642.99  108.74  518.04]	348565014483.8281	574672529380.4536	3.6114926848414515e-07	3	1	379280095487.6577	348565014483.8281	125884
				(0.0, 0.38)						('NCRTinterceptNumRatio',)	266484811318.66	50498240.087715425	0.52	0.52	3.44	0.03	[ 69.5  479.71]	[1116.74 -293.48]	[1.   3.44 9.  ]	[1186.24   69.5   410.2 ]	171230638427.39847	304655317593.3931	7.90857297757594e-07	3	1	199797834958.26483	171230638427.39847	135419
					(0.0, 0.2)					('CAPreOrdmax',)	1529720057113.34	707179389398.339	0.26	0.26	3.11	0.05	[114.56 669.36]	[1605.38 -117.31]	[1.   3.11 9.  ]	[1719.94  114.56  554.8 ]	219001816426.76425	362088726383.9683	3.058056827688272e-07	3	1	257156556529.9429	219001816426.76425	66972
					(0.33, 1.0)					('CAPreOrdmax',)	354834036462.47	9393615533.600494	0.24	0.24	3.55	0.05	[ 64.65 434.79]	[1090.84 -224.69]	[1.   3.55 9.  ]	[1155.49   64.65  370.15]	67090007743.32897	116607102022.41702	9.42495046980933e-07	3	1	93578614409.28821	67090007743.32897	63232
						(0.24, 1.0)				('NCtimeCmedian',)	1859262876235.87	282403208555.5897	0.25	0.25	3.2	0.05	[118.44 671.58]	[1707.85  -61.17]	[1.  3.2 9. ]	[1826.29  118.44  553.15]	219582921009.05667	358658931712.21155	3.0189050995120826e-07	3	1	265121191175.04916	219582921009.05667	66290
						(0.19, 1.0)				('NCtimeCmedian',)	624330232472.42	8594014.113236448	0.51	0.51	3.25	0.04	[106.13 621.51]	[1536.06 -140.85]	[1.   3.25 9.  ]	[1642.19  106.13  515.39]	369438782474.7285	605241867414.1409	3.614996755494549e-07	3	1	399591545411.19366	369438782474.7285	133552
						(0.0, 0.19)				('NCtimeCmedian',)	286076333288.06	5324799.809108898	0.49	0.49	3.45	0.03	[ 69.52 475.84]	[1090.95 -311.42]	[1.   3.45 9.  ]	[1160.47   69.52  406.32]	147909534008.10425	271311205516.74155	8.637103811915213e-07	3	1	179486385034.72876	147909534008.10425	127751
							['3']			('grade',)	807868007972.0	220758415532.89062	0.3	0.3	3.2	0.05	[105.9  633.93]	[1561.07 -128.34]	[1.  3.2 9. ]	[1666.97  105.9   528.03]	235502767770.3662	382114309523.2769	3.340342907422029e-07	3	1	259555664463.638	235502767770.3662	78666
								(0.03, 1.0)		('NCIES',)	675368753254.89	154312231079.86935	0.5	0.5	3.24	0.04	[106.22 623.9 ]	[1541.25 -136.89]	[1.   3.24 9.  ]	[1647.47  106.22  517.68]	369206586513.964	604714234908.1765	3.5737173934466e-07	3	1	401054536038.6937	369206586513.964	131944
								(0.0, 0.03)		('NCIES',)	282715925286.95	95864430820.35901	0.5	0.5	3.46	0.03	[ 69.96 475.35]	[1090.56 -313.58]	[1.   3.46 9.  ]	[1160.51   69.96  405.39]	145508160510.88	269824059702.55188	8.89015430789722e-07	3	1	178023394407.22873	145508160510.88	129359
