NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumDis	NCtimeCmedian	NCIES	NCRTinterceptNumRatio	SAAnsCsum	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)							('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.6809745	6223640788.466258	1.4739592883366578e-06	3	1	4221076032.6345177	2764662519.6809745	4075
(0.04, 0.12)									('NCtimeCmean',)	944.78	168.7314404176904	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.8644	13901651663.332743	9.022849295061895e-07	3	1	9018370440.193413	7524230736.8644	6789
(0.12, 0.44)									('NCtimeCmean',)	474.09	142.06464041095887	0.47	0.47	3.18	0.16	[ 93.46 619.36]	[1544.   -129.38]	[1.   3.18 9.  ]	[1637.46   93.46  525.89]	17073692533.832277	28138557956.23493	3.644788605434267e-07	3	1	18649870438.92806	17073692533.832277	6223
(0.04, 0.12)								(52.0, 52.0)	('NCtimeCmean', 'NCPreOrdmax')	944.78	84.3657202088452	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864307	13901651663.332743	9.022849295062007e-07	3	1	9018370440.193413	7524230736.864307	6789
			(0.27, 0.35)	(0.08, 0.18)					('NCRTinterceptNumDis', 'NCtimeCmedian')	1165.71	799.8167981072555	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894503	9332565711.661802	1.1299838297212973e-06	3	1	6315022506.462676	4668208394.894503	5275
					(0.04, 0.38)				('NCIES',)	682.5	682.5	0.21	0.21	3.23	0.24	[ 93.61 685.29]	[1762.72 -147.35]	[1.   3.23 9.  ]	[1856.33   93.61  591.68]	9642060781.257748	15630130713.573212	2.9112033865791954e-07	3	1	11764674906.344913	9642060781.257748	2807
						(0.41, 0.58)			('NCRTinterceptNumRatio',)	677.47	444.1192222222222	0.23	0.23	3.2	0.25	[111.71 669.19]	[1653.38 -128.93]	[1.  3.2 9. ]	[1765.1   111.71  557.48]	10872333187.60803	17294370358.592278	2.8356378955658886e-07	3	1	12786390530.571665	10872333187.60803	3083
						(0.3, 0.38)	(0.56, 1.0)		('NCRTinterceptNumRatio', 'SAAnsCsum')	1182.59	441.96284438775507	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.375811	4635888309.667573	1.5078946424039594e-06	3	1	3852452450.9715247	2190471341.375811	3303
						(0.3, 0.38)			('NCRTinterceptNumRatio',)	907.61	341.710822368421	0.54	0.54	3.59	0.15	[ 87.17 473.81]	[1106.97 -281.06]	[1.   3.59 9.  ]	[1194.14   87.17  386.64]	7870444186.731465	14443635829.881563	8.882599042867119e-07	3	1	9241705048.37155	7870444186.731465	6991
						(0.38, 0.58)			('NCRTinterceptNumRatio',)	474.07	276.2060381355932	0.46	0.46	3.2	0.17	[102.95 623.7 ]	[1510.71 -155.45]	[1.  3.2 9. ]	[1613.67  102.95  520.75]	16794588527.678331	27653237844.162632	3.5844879379323497e-07	3	1	18322219496.89357	16794588527.678331	6020
