CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	SAAnsCsum	SStimeCmedian	NCIES	NCtimeCmean	NCtimeCmedian	SSPreOrdmax	NCRTinterceptNumRatio	grade	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)									('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5385204316370.49	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.909014	6144712454.443547	1.5918695364447094e-07	3	1	5822008063.183574	3894791537.909014	620
(0.0, 0.19)			(0.1, 0.24)	(0.29, 0.35)							('CAPreOrdmax', 'SAAnsCsum', 'SStimeCmedian')	4238018957263.08	2712332132648.371	0.05	0.05	2.21	0.45	[-241.34  759.28]	[2468.35  253.91]	[1.   2.21 9.  ]	[2227.01 -241.34 1000.62]	3636731457.712681	5399493517.743104	1.594838680678365e-07	3	1	5130870230.7726145	3636731457.712681	580
(0.02, 0.15)							(0.19, 0.52)				('NCtimeCmedian', 'CAPreOrdmax')	2904002593478.9	1612268075163.091	0.11	0.11	2.54	0.44	[ 34.88 703.73]	[1786.99   88.73]	[1.   2.54 9.  ]	[1821.86   34.88  668.85]	6373364245.340288	10087121382.608753	2.257834237313654e-07	3	1	8257285637.786069	6373364245.340288	1439
(0.0, 0.19)											('CAPreOrdmax',)	1283524949719.42	465762966704.2837	0.25	0.25	3.13	0.24	[141.4  657.84]	[1488.96 -127.86]	[1.   3.13 9.  ]	[1630.37  141.4   516.44]	10218701370.318739	17130744138.316856	3.2274159704670276e-07	3	1	11893600957.84668	10218701370.318739	3298
	(0.4, 0.57)				(0.03, 0.38)	(0.2, 0.44)					('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean')	4360657627976.32	2257668779465.4756	0.07	0.07	3.41	0.42	[ 15.72 835.69]	[2260.9  -535.65]	[1.   3.41 9.  ]	[2276.62   15.72  819.98]	5380848679.084395	7967686723.467547	1.6893245921100225e-07	3	1	7216858174.92542	5380848679.084395	909
					(0.04, 0.38)						('NCIES',)	1951332794418.14	935600213122.9535	0.21	0.21	3.23	0.24	[ 93.61 685.29]	[1762.72 -147.35]	[1.   3.23 9.  ]	[1856.33   93.61  591.68]	9642060781.257767	15630130713.573212	2.9112033865791896e-07	3	1	11764674863.696745	9642060781.257767	2807
								(0.57, 1.0)			('SSPreOrdmax',)	504151255378.61	490261373852.8728	0.25	0.25	3.77	0.33	[109.68 409.42]	[1039.39  -90.88]	[1.   3.77 9.  ]	[1149.07  109.68  299.74]	4939634204.900801	7273187832.133092	6.692803278267023e-07	3	1	6305604363.722961	4939634204.900801	3306
								(0.06, 0.36)			('SSPreOrdmax',)	1236409219285.95	226868993701.32828	0.25	0.25	3.2	0.23	[133.22 665.65]	[1513.43 -191.81]	[1.  3.2 9. ]	[1646.65  133.22  532.43]	9954946127.265633	16679286310.848372	3.23959563293571e-07	3	1	11556013404.05775	9954946127.265633	3225
									(0.41, 0.58)		('NCRTinterceptNumRatio',)	1727158255768.87	300281057252.6794	0.23	0.23	3.2	0.25	[111.71 669.19]	[1653.38 -128.93]	[1.  3.2 9. ]	[1765.1   111.71  557.48]	10872333187.608017	17294370358.592278	2.835637895565892e-07	3	1	12786390474.303669	10872333187.608017	3083
										['7', '8', '9']	('grade',)	359214456563.86	161692442730.36667	0.27	0.27	3.96	0.28	[116.32 497.47]	[1000.05 -510.66]	[1.   3.96 9.  ]	[1116.36  116.32  381.15]	5977326249.86632	9409725055.995518	5.972570093659922e-07	3	1	6881974297.124434	5977326249.86632	3570
