NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SAtimeCmean	SSPreOrdmax	SAPreOrdmax	NCIES	CAPreOrdmax	NCRTinterceptNumDis	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)								('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum')	5367829822598.33	-inf	0.05	0.05	3.2	0.49	[-25.47 858.54]	[2458.5  -371.18]	[1.  3.2 9. ]	[2433.03  -25.47  884.01]	4260277339.980877	6196944260.716858	1.434178930714268e-07	3	1	5984560899.026187	4260277339.980877	611
(0.38, 0.58)						(0.04, 0.38)	(0.02, 0.15)			('NCRTinterceptNumRatio', 'CAPreOrdmax', 'NCIES')	4404370468811.25	2128073231324.6665	0.07	0.07	2.48	0.51	[-39.19 761.65]	[2108.28  120.95]	[1.   2.48 9.  ]	[2069.09  -39.19  800.84]	4807666610.288717	7442573831.527332	1.8262497614144527e-07	3	1	6792721729.15652	4807666610.288717	878
(0.41, 0.58)										('NCRTinterceptNumRatio',)	1727158272305.27	742194542731.1807	0.23	0.23	3.2	0.25	[111.71 669.19]	[1653.38 -128.93]	[1.  3.2 9. ]	[1765.1   111.71  557.48]	10872333187.608051	17294370358.592278	2.835637895565883e-07	3	1	12786390492.629536	10872333187.608051	3083
	(0.21, 0.44)					(0.04, 0.38)				('NCIES', 'NCtimeCmean')	4310513101165.81	1943579567936.3696	0.05	0.05	2.67	0.54	[-237.34  773.69]	[2655.84  -45.25]	[1.   2.67 9.  ]	[2418.5  -237.34 1011.03]	4701085919.61435	6680566289.425797	1.5336881995535762e-07	3	1	6246856973.350242	4701085919.61435	721
	(0.16, 0.44)							(0.4, 0.57)		('NCtimeCmean', 'NCRTinterceptNumDis')	2917799795500.49	1338749613202.4546	0.12	0.12	3.4	0.33	[ 82.83 750.22]	[1943.5  -325.58]	[1.  3.4 9. ]	[2026.32   82.83  667.4 ]	7217441555.084997	11172245955.825214	2.275044401077471e-07	3	1	9213813452.563646	7217441555.084997	1642
		(0.0, 0.25)							(0.24, 0.52)	('CAAnsCsum', 'NCtimeCmedian')	3012648163550.44	977826854220.5619	0.13	0.13	3.14	0.32	[103.7  739.14]	[1807.35 -190.77]	[1.   3.14 9.  ]	[1911.06  103.7   635.43]	7195598390.5010605	11484549074.787378	2.3333709149421888e-07	3	1	9326603921.736052	7195598390.5010605	1679
			(0.71, 0.76)	(0.06, 0.28)	(0.14, 0.24)					('SAtimeCmean', 'SSPreOrdmax', 'SAPreOrdmax')	4456491758642.33	3673594557799.759	0.05	0.05	2.32	0.49	[-194.42  768.41]	[2413.27  179.75]	[1.   2.32 9.  ]	[2218.85 -194.42  962.83]	3940754022.036984	5830785892.919613	1.5783781391117806e-07	3	1	5523391488.496366	3940754022.036984	622
			(0.71, 0.76)	(0.06, 0.28)						('SAtimeCmean', 'SSPreOrdmax')	3030494366166.81	823126464560.4122	0.1	0.1	2.66	0.53	[ 44.31 697.13]	[1893.05  159.2 ]	[1.   2.66 9.  ]	[1937.36   44.31  652.82]	5992567759.5641365	9133598551.996841	2.1142856465458708e-07	3	1	7758166450.637859	5992567759.5641365	1267
						(0.04, 0.38)	(0.06, 0.18)	(0.41, 0.57)		('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumDis')	5063601962765.43	2742784396497.941	0.05	0.05	3.38	0.46	[ 56.64 896.26]	[2187.62 -650.8 ]	[1.   3.38 9.  ]	[2244.26   56.64  839.61]	4332246119.795177	6756856138.119944	1.655030624238631e-07	3	1	6288848546.785034	4332246119.795177	717
						(0.03, 0.38)	(0.02, 0.15)			('NCIES', 'CAPreOrdmax')	2913455739166.41	1496180916051.0835	0.12	0.12	2.55	0.42	[ 27.48 709.58]	[1790.04   50.16]	[1.   2.55 9.  ]	[1817.52   27.48  682.1 ]	6523309089.75296	10504926290.397377	2.3377705686145133e-07	3	1	8519356134.3483715	6523309089.75296	1525
