NCtimeCmean	NCAnsCsum	CAAnsCsum	NCtimeCmedian	NCRTinterceptNumRatio	NCRTinterceptNumDis	CAPreOrdmax	SAPreOrdmax	NCIES	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)								('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.6809955	6223640788.466258	1.4739592883366464e-06	3	1	4221076056.2903476	2764662519.6809955	4075
(0.04, 0.12)										('NCtimeCmean',)	944.78	52.11958955773956	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.8644905	13901651663.332743	9.022849295061787e-07	3	1	9018370479.787777	7524230736.8644905	6789
	(0.29, 0.98)				(0.27, 0.35)					('NCRTinterceptNumDis', 'NCAnsCsum')	919.68	158.18496	0.43	0.43	3.46	0.13	[ 58.95 482.83]	[1136.39 -330.49]	[1.   3.46 9.  ]	[1195.34   58.95  423.88]	5299696405.990338	10668338444.547976	1.034398874962649e-06	3	1	6351133992.617367	5299696405.990338	5482
	(0.46, 0.98)		(0.07, 0.19)							('NCtimeCmedian', 'NCAnsCsum')	996.97	35.63472746875	0.4	0.4	3.41	0.13	[ 49.21 475.71]	[1121.62 -331.58]	[1.   3.41 9.  ]	[1170.83   49.21  426.5 ]	4731972683.747239	9678088074.668146	1.09341290531346e-06	3	1	5932006318.759838	4731972683.747239	5174
	(0.46, 0.98)							(0.01, 0.03)		('NCIES', 'NCAnsCsum')	1000.74	9.394954406941745	0.4	0.4	3.42	0.13	[ 50.26 471.23]	[1124.73 -313.99]	[1.   3.42 9.  ]	[1174.99   50.26  420.97]	4691447071.635394	9497882428.744253	1.094331860001212e-06	3	1	5925974504.496929	4691447071.635394	5134
		(0.38, 0.95)	(0.07, 0.2)							('CAAnsCsum', 'NCtimeCmedian')	940.18	114.88026999999997	0.37	0.37	3.73	0.19	[ 94.66 445.01]	[1033.12 -275.12]	[1.   3.73 9.  ]	[1127.78   94.66  350.36]	5006181087.725005	8972461241.34476	9.78590249564122e-07	3	1	6762396993.721402	5006181087.725005	4899
		(0.34, 0.95)	(0.07, 0.24)	(0.3, 0.38)						('NCtimeCmedian', 'NCRTinterceptNumRatio', 'CAAnsCsum')	1083.23	19.66548310514706	0.4	0.4	3.69	0.18	[ 87.4  441.08]	[1059.83 -243.54]	[1.   3.69 9.  ]	[1147.22   87.4   353.68]	4905492672.07627	9029611501.853487	1.0518821135688312e-06	3	1	6723443046.301024	4905492672.07627	5160
			(0.09, 0.18)	(0.3, 0.38)						('NCtimeCmedian', 'NCRTinterceptNumRatio', 'NCtimeCmedian')	1152.34	504.97447133757953	0.41	0.41	3.5	0.14	[ 61.61 457.81]	[1072.91 -313.48]	[1.  3.5 9. ]	[1134.51   61.61  396.21]	4661238016.279554	9237916290.768024	1.1218049757891604e-06	3	1	6327486366.705097	4661238016.279554	5229
				(0.3, 0.38)		(0.25, 1.0)	(0.62, 1.0)			('NCRTinterceptNumRatio', 'CAPreOrdmax', 'SAPreOrdmax')	1107.72	38.00432098089172	0.2	0.2	3.61	0.19	[ 57.68 407.51]	[1031.57 -232.54]	[1.   3.61 9.  ]	[1089.25   57.68  349.83]	1571943160.5637436	3356782901.585319	1.6813585034793148e-06	3	1	3157629369.6908855	1571943160.5637436	2643
					(0.27, 0.35)				(0.56, 1.0)	('NCRTinterceptNumDis', 'SAAnsCsum')	1167.12	6.255264839760002	0.25	0.25	3.53	0.16	[ 37.33 433.15]	[1078.74 -318.74]	[1.   3.53 9.  ]	[1116.07   37.33  395.82]	2190002341.8077	4684949430.7386675	1.5009116370564252e-06	3	1	3824757231.419225	2190002341.8077	3287
