NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SSAnsCprop	SAAnsCprop	NCIES	CAPreOrdmax	SAtimeCmedian	NCRTinterceptNumDis	grade	SAtimeCmean	SSPreOrdmax	SAPreOrdmax	NCPreOrdmax	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)	(0.62, 1.0)	(0.21, 1.0)											('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'SAAnsCprop')	5576887740296.06	-inf	0.05	0.05	3.22	0.5	[-18.27 866.99]	[2459.57 -386.83]	[1.   3.22 9.  ]	[2441.3   -18.27  885.26]	4220549569.1473017	6142836749.741177	1.4097690129018218e-07	3	1	5969726674.562106	4220549569.1473017	595
(0.41, 0.58)	(0.2, 0.36)		(0.62, 1.0)												('NCRTinterceptNumRatio', 'NCtimeCmean', 'SSAnsCprop')	4336193834403.14	537112134722.3577	0.06	0.06	3.38	0.45	[ 26.97 823.03]	[2252.06 -438.56]	[1.   3.38 9.  ]	[2279.03   26.97  796.05]	5197522842.418232	7613263723.820721	1.6527103892444586e-07	3	1	6955279954.211773	5197522842.418232	859
	(0.21, 0.44)				(0.04, 0.38)								(52.0, 52.0)		('NCIES', 'NCtimeCmean', 'NCPreOrdmax')	4310513062664.47	2071868629822.357	0.05	0.05	2.67	0.54	[-237.34  773.69]	[2655.84  -45.25]	[1.   2.67 9.  ]	[2418.5  -237.34 1011.03]	4701085919.614352	6680566289.425797	1.5336881995535754e-07	3	1	6246856959.543473	4701085919.614352	721
	(0.16, 0.44)							(0.4, 0.57)							('NCtimeCmean', 'NCRTinterceptNumDis')	2917799797296.81	1393838282074.5667	0.12	0.12	3.4	0.33	[ 82.83 750.22]	[1943.49 -325.58]	[1.  3.4 9. ]	[2026.32   82.83  667.39]	7217441555.0856495	11172245955.825214	2.2750444010772658e-07	3	1	9213813453.793167	7217441555.0856495	1642
		(0.0, 0.25)												(0.24, 0.52)	('CAAnsCsum', 'NCtimeCmedian')	3012648132421.12	1039639384712.5598	0.13	0.13	3.14	0.32	[103.7  739.14]	[1807.35 -190.77]	[1.   3.14 9.  ]	[1911.06  103.7   635.43]	7195598390.501091	11484549074.787378	2.3333709149421787e-07	3	1	9326603899.716654	7195598390.501091	1679
			(0.92, 1.0)		(0.04, 0.38)	(0.02, 0.15)	(0.7, 0.73)								('NCIES', 'CAPreOrdmax', 'NCIES', 'SSAnsCprop', 'SAtimeCmedian')	5138203859730.69	3988868785843.562	0.05	0.05	2.56	0.61	[-66.32 811.06]	[2235.08   -8.74]	[1.   2.56 9.  ]	[2168.76  -66.32  877.38]	4149410082.844987	6308654046.110938	1.5640777533249303e-07	3	1	5977425777.016306	4149410082.844987	649
				(0.77, 1.0)						(0.71, 0.76)	(0.06, 0.28)	(0.14, 0.24)			('SAtimeCmean', 'SSPreOrdmax', 'SAPreOrdmax', 'SAAnsCprop')	4456491712690.15	2303524432572.949	0.05	0.05	2.32	0.49	[-194.42  768.41]	[2413.27  179.75]	[1.   2.32 9.  ]	[2218.85 -194.42  962.83]	3940754022.0369253	5830785892.919613	1.5783781391118042e-07	3	1	5523391472.177295	3940754022.0369253	622
					(0.04, 0.38)	(0.06, 0.18)	(0.7, 0.73)	(0.41, 0.57)	['3', '4', '5', '6', '7']						('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumDis', 'SAtimeCmedian', 'grade')	5437007412276.45	2681767169568.7896	0.05	0.05	3.51	0.47	[ 21.41 965.43]	[ 2288.24 -1021.53]	[1.   3.51 9.  ]	[2309.65   21.41  944.02]	4031303336.876034	6367670330.685623	1.5702117828983043e-07	3	1	5960787235.416634	4031303336.876034	633
					(0.03, 0.38)	(0.02, 0.15)									('NCIES', 'CAPreOrdmax')	2913455704521.47	1653993082254.3765	0.12	0.12	2.55	0.42	[ 27.47 709.58]	[1790.04   50.17]	[1.   2.55 9.  ]	[1817.52   27.47  682.1 ]	6523309089.751208	10504926290.397377	2.337770568615141e-07	3	1	8519356110.61145	6523309089.751208	1525
										(0.71, 0.76)	(0.06, 0.28)				('SAtimeCmean', 'SSPreOrdmax')	3030494335985.92	843961104922.7456	0.1	0.1	2.66	0.53	[ 44.31 697.13]	[1893.05  159.2 ]	[1.   2.66 9.  ]	[1937.36   44.31  652.82]	5992567759.563965	9133598551.996841	2.114285646545931e-07	3	1	7758166433.054027	5992567759.563965	1267
