CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	NCIES	SAPreOrdmax	NCtimeCmedian	NCtimeCmean	NCRTinterceptNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)						('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	857254.27	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.9120083	6144712454.443547	1.5918695364434857e-07	3	1	5822008070.476096	3894791537.9120083	620
(0.02, 0.15)			(0.03, 0.38)					('NCIES', 'CAPreOrdmax')	681099.14	524446.3378	0.12	0.12	2.55	0.42	[ 27.47 709.58]	[1790.05   50.17]	[1.   2.55 9.  ]	[1817.52   27.47  682.11]	6523309089.751204	10504926290.397377	2.3377705686151428e-07	3	1	8519356237.616861	6523309089.751204	1525
(0.0, 0.19)								('CAPreOrdmax',)	414246.94	157611.40112523077	0.25	0.25	3.13	0.24	[141.4  657.84]	[1488.96 -127.86]	[1.   3.13 9.  ]	[1630.37  141.4   516.44]	10218701370.318745	17130744138.316856	3.227415970467026e-07	3	1	11893601137.318712	10218701370.318745	3298
	(0.38, 0.57)		(0.04, 0.38)					('NCIES', 'NCRTinterceptNumDis')	634729.59	375731.28286240593	0.17	0.17	3.28	0.26	[ 89.52 714.87]	[1825.93 -224.31]	[1.   3.28 9.  ]	[1915.45   89.52  625.35]	8169565846.050272	13350643259.6095	2.7835016484987476e-07	3	1	10332049955.154015	8169565846.050272	2274
			(0.01, 0.02)					('NCIES',)	445490.37	445490.37	0.14	0.14	3.47	0.2	[ 28.62 401.35]	[ 987.99 -304.01]	[1.   3.47 9.  ]	[1016.6    28.62  372.74]	993033089.841108	2169647937.239155	1.810614387772005e-06	3	1	2377631588.1126842	993033089.841108	1798
				(0.61, 1.0)				('SAPreOrdmax',)	353021.58	230699.60253	0.26	0.26	3.57	0.22	[ 59.68 435.72]	[1065.32 -276.02]	[1.   3.57 9.  ]	[1125.     59.68  376.04]	4084578690.77752	6715296361.029368	8.252993160864561e-07	3	1	5528249715.850984	4084578690.77752	3371
					(0.07, 0.19)			('NCtimeCmedian',)	232067.47	101343.32445720928	0.5	0.5	3.55	0.15	[ 80.6  469.56]	[1085.46 -295.86]	[1.   3.55 9.  ]	[1166.06   80.6   388.96]	7233795102.289137	13210257771.21351	8.922011072663131e-07	3	1	8731679427.17975	7233795102.289137	6454
						(0.12, 0.44)		('NCtimeCmean',)	252896.08	90689.36572716711	0.47	0.47	3.18	0.16	[ 93.47 619.36]	[1543.99 -129.4 ]	[1.   3.18 9.  ]	[1637.46   93.47  525.89]	17073692533.673664	28138557956.23493	3.644788605468127e-07	3	1	18649870602.623997	17073692533.673664	6223
						(0.04, 0.12)		('NCtimeCmean',)	219818.35	23589.80352977887	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864323	13901651663.332743	9.022849295061988e-07	3	1	9018370282.691671	7524230736.864323	6789
							(0.41, 0.58)	('NCRTinterceptNumRatio',)	489759.58	8724.577158119999	0.23	0.23	3.2	0.25	[111.71 669.19]	[1653.38 -128.92]	[1.  3.2 9. ]	[1765.1   111.71  557.48]	10872333187.608055	17294370358.592278	2.8356378955658817e-07	3	1	12786390612.904848	10872333187.608055	3083
