NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SAtimeCmean	SSPreOrdmax	SAPreOrdmax	NCIES	CAPreOrdmax	NCRTinterceptNumDis	NCPreOrdmax	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)									('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum')	5367829844643.88	-inf	0.05	0.05	3.2	0.49	[-25.47 858.54]	[2458.5  -371.18]	[1.  3.2 9. ]	[2433.03  -25.47  884.01]	4260277339.9806824	6196944260.716858	1.4341789307143334e-07	3	1	5984560906.107664	4260277339.9806824	611
(0.38, 0.58)						(0.04, 0.38)	(0.02, 0.15)				('NCRTinterceptNumRatio', 'CAPreOrdmax', 'NCIES')	4404370504825.11	2128073248725.5942	0.07	0.07	2.48	0.51	[-39.19 761.65]	[2108.28  120.95]	[1.   2.48 9.  ]	[2069.09  -39.19  800.84]	4807666610.290509	7442573831.527332	1.826249761413772e-07	3	1	6792721745.389063	4807666610.290509	878
(0.41, 0.58)											('NCRTinterceptNumRatio',)	1727158301977.37	742194555481.8771	0.23	0.23	3.2	0.25	[111.71 669.19]	[1653.38 -128.93]	[1.  3.2 9. ]	[1765.1   111.71  557.48]	10872333187.608017	17294370358.592278	2.835637895565892e-07	3	1	12786390525.512474	10872333187.608017	3083
	(0.21, 0.44)					(0.04, 0.38)			(52.0, 52.0)		('NCIES', 'NCtimeCmean', 'NCPreOrdmax')	4310513146960.86	1943579588585.0305	0.05	0.05	2.67	0.54	[-237.34  773.69]	[2655.84  -45.25]	[1.   2.67 9.  ]	[2418.5  -237.34 1011.03]	4701085919.614349	6680566289.425797	1.5336881995535762e-07	3	1	6246856989.772571	4701085919.614349	721
	(0.16, 0.44)							(0.4, 0.57)			('NCtimeCmean', 'NCRTinterceptNumDis')	2917799793363.46	1338749612221.939	0.12	0.12	3.4	0.33	[ 82.83 750.22]	[1943.5  -325.58]	[1.  3.4 9. ]	[2026.32   82.83  667.4 ]	7217441555.085044	11172245955.825214	2.2750444010774567e-07	3	1	9213813451.101515	7217441555.085044	1642
		(0.0, 0.25)								(0.24, 0.52)	('CAAnsCsum', 'NCtimeCmedian')	3012648200576.89	977826866238.3799	0.13	0.13	3.14	0.32	[103.7  739.14]	[1807.35 -190.77]	[1.   3.14 9.  ]	[1911.06  103.7   635.43]	7195598390.501075	11484549074.787378	2.3333709149421843e-07	3	1	9326603947.926826	7195598390.501075	1679
			(0.71, 0.76)	(0.06, 0.28)	(0.14, 0.24)						('SAtimeCmean', 'SSPreOrdmax', 'SAPreOrdmax')	4456491813299.07	3673594602854.639	0.05	0.05	2.32	0.49	[-194.42  768.41]	[2413.27  179.75]	[1.   2.32 9.  ]	[2218.85 -194.42  962.83]	3940754022.0372734	5830785892.919613	1.578378139111665e-07	3	1	5523391507.906832	3940754022.0372734	622
			(0.71, 0.76)	(0.06, 0.28)							('SAtimeCmean', 'SSPreOrdmax')	3030494402059.36	823126474309.3522	0.1	0.1	2.66	0.53	[ 44.31 697.13]	[1893.06  159.2 ]	[1.   2.66 9.  ]	[1937.36   44.31  652.83]	5992567759.569075	9133598551.996841	2.1142856465441285e-07	3	1	7758166471.552728	5992567759.569075	1267
						(0.04, 0.38)	(0.06, 0.18)	(0.41, 0.57)			('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumDis')	5063601957578.59	2742784393688.403	0.05	0.05	3.38	0.46	[ 56.64 896.26]	[2187.62 -650.8 ]	[1.   3.38 9.  ]	[2244.26   56.64  839.61]	4332246119.795198	6756856138.119944	1.655030624238623e-07	3	1	6288848544.780822	4332246119.795198	717
						(0.03, 0.38)	(0.02, 0.15)				('NCIES', 'CAPreOrdmax')	2913455780378.12	1496180937215.0137	0.12	0.12	2.55	0.42	[ 27.48 709.58]	[1790.04   50.17]	[1.   2.55 9.  ]	[1817.52   27.48  682.1 ]	6523309089.751323	10504926290.397377	2.3377705686151002e-07	3	1	8519356162.581924	6523309089.751323	1525
