CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	NCIES	NCtimeCmedian	SSPreOrdmax	SAtimeCmedian	SSAnsCprop	SAIES	SAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)											('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5385204319485.82	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.9090223	6144712454.443547	1.5918695364447063e-07	3	1	5822008064.298468	3894791537.9090223	620
(0.06, 0.16)	(0.4, 0.57)					(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	5229490189901.82	4556537373359.191	0.05	0.05	3.46	0.6	[185.37 885.59]	[1926.2  -493.49]	[1.   3.46 9.  ]	[2111.57  185.37  700.22]	4056260855.06886	6317084407.118279	1.604926367559634e-07	3	1	5966860292.619365	4056260855.06886	651
(0.06, 0.22)			(0.41, 0.58)	(0.2, 0.36)									('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAPreOrdmax')	5117420103328.4	4128815340735.4053	0.05	0.05	3.46	0.52	[ 65.37 902.6 ]	[2196.65 -699.72]	[1.   3.46 9.  ]	[2262.02   65.37  837.23]	4280143758.6058717	6459002889.887345	1.5139678397415943e-07	3	1	6041735315.032123	4280143758.6058717	648
(0.06, 0.16)	(0.41, 0.57)												('CAPreOrdmax', 'NCRTinterceptNumDis', 'CAPreOrdmax')	5112825440517.24	2878401077506.7046	0.05	0.05	2.67	0.59	[-122.3   847.01]	[2373.74 -212.77]	[1.   2.67 9.  ]	[2251.44 -122.3   969.31]	3954033415.2932506	6152323396.895901	1.603426004312054e-07	3	1	5807601593.392024	3954033415.2932506	634
	(0.41, 0.57)	(0.37, 0.56)			(0.0, 0.25)								('CAAnsCsum', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5134840691801.67	3815449638044.074	0.05	0.05	3.18	0.42	[-39.13 865.18]	[2428.35 -450.4 ]	[1.   3.18 9.  ]	[2389.22  -39.13  904.32]	4383042369.286418	6634455168.746441	1.6016272279710798e-07	3	1	6292432375.391254	4383042369.286418	702
	(0.38, 0.57)			(0.21, 0.44)						(0.62, 1.0)			('NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop')	4861202362949.81	3465753589999.1606	0.05	0.05	2.67	0.56	[-251.75  791.04]	[2741.89  -46.25]	[1.   2.67 9.  ]	[2490.14 -251.75 1042.79]	4555775172.651821	6476792294.567163	1.4706608087729823e-07	3	1	6195424795.182522	4555775172.651821	670
	(0.4, 0.57)			(0.21, 0.44)		(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean')	4872912311427.85	3023696714587.991	0.05	0.05	3.21	0.48	[-26.76 828.94]	[2437.81 -305.33]	[1.   3.21 9.  ]	[2411.06  -26.76  855.7 ]	4526733023.831762	6482535616.349775	1.4778870246553858e-07	3	1	6177766217.411596	4526733023.831762	669
			(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)								('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum')	5367829824520.63	5009974502885.921	0.05	0.05	3.2	0.49	[-25.47 858.54]	[2458.5  -371.18]	[1.  3.2 9. ]	[2433.03  -25.47  884.01]	4260277339.980666	6196944260.716858	1.434178930714339e-07	3	1	5984560899.643553	4260277339.980666	611
							(0.24, 0.52)	(0.06, 0.28)	(0.71, 0.75)				('NCtimeCmedian', 'SSPreOrdmax', 'SAtimeCmedian')	4584264405119.63	3603047276395.4126	0.05	0.05	2.5	0.56	[-81.62 789.46]	[2270.03   95.78]	[1.  2.5 9. ]	[2188.41  -81.62  871.08]	3892211047.216582	5975472864.575758	1.6956942776059963e-07	3	1	5668097800.802639	3892211047.216582	660
											(0.46, 0.6)	(0.16, 0.24)	('SAIES', 'SAPreOrdmax', 'SAPreOrdmax')	4290146962717.04	3243471882176.4507	0.05	0.05	2.5	0.5	[-177.8   803.13]	[2379.35  -71.07]	[1.  2.5 9. ]	[2201.55 -177.8   980.93]	3972168336.459766	6087939729.7732725	1.6766661017029783e-07	3	1	5619333158.755662	3972168336.459766	666
